"country","party_id","party","party_short","comment","party_name","polity_notes","country_short"
"Germany","#2760014","Pirates Party (PIRATEN)","PIRATEN",,"Pirates Party",,"DEU"
"Germany","#2760015","German Social Union (DSU)","DSU",,"German Social Union",,"DEU"
"Germany","#2760016","Bavarian Party (BP)","BP",,"Bavarian Party",,"DEU"
"Germany","#2760017","German People's Union (DVU)","DVU",,"German People's Union",,"DEU"
"Germany","#2760018","South Schleswig Voter Federation (SSW)","SSW",,"South Schleswig Voter Federation",,"DEU"
"Germany","#2760019","The Greys (Graue)","Graue",,"The Greys",,"DEU"
"Germany","#2760020","Ecological Democratic Party (OEDP)","OEDP",,"Ecological Democratic Party",,"DEU"
"Germany","#2760021","Party of Literal Exegesis (PBC)","PBC",,"Party of Literal Exegesis",,"DEU"
"Germany","#2760022","Pensioners/Greys (RENTNER)","RENTNER",,"Pensioners/Greys",,"DEU"
"Germany","#2760023","Generation Party / The Grey	",,,"Generation Party / The Grey	",,"DEU"
"Germany","#2760024","Party Of The Rule Of Law Offensive (Schill-Party)","Schill-Party",,"Party Of The Rule Of Law Offensive",,"DEU"
"Germany","#2760025","Free Voters (FW)","FW",,"Free Voters",,"DEU"
"Germany","#2760026","Animal Protection Party (Tierschutzpartei)",,"Tierschutzpartei","Animal Protection Party",,"DEU"
"Germany","#2760027","Marxism Leninism German Party (MLDP)","MLDP",,"Marxism Leninism German Party",,"DEU"
"Germany","#2760028","Family Party (FAMILIE)","FAMILIE",,"Family Party",,"DEU"
"Germany","#2760029","The Violet for spiritual Politics (Die Violetten)","Die Violetten",,"The Violet for spiritual Politics",,"DEU"
"Germany","#2760030","The Party (Die PARTEI)","Die PARTEI",,"The Party",,"DEU"
"Germany","#2760031","Women's Party (DIE FRAUEN)","DIE FRAUEN",,"Women's Party",,"DEU"
"Germany","#2760032","Alliance of health, peace and social equality (AGFG)","AGFG",,"Alliance of health, peace and social equality",,"DEU"
"Germany","#2760033","Anarchistic Pogo Party of Germany (APPD)","APPD",,"Anarchistic Pogo Party of Germany",,"DEU"
"Germany","#2760034","Civil Movement for Solidarity (BUESO)","BUESO",,"Civil Movement for Solidarity",,"DEU"
"Great Britain","#8260001","Conservatives (Con)","Con",,"Conservatives",,"GBR"
"Great Britain","#8260002","Labor (Lab)","Lab",,"Labor",,"GBR"
"Great Britain","#8260003","Liberal Democrats (LD)","LD",,"Liberal Democrats",,"GBR"
"Great Britain","#8260004","Scottish National Party (SNP)","SNP",,"Scottish National Party","Scottish National Party (SNP) only contests elections in Scotland.","GBR"
"Great Britain","#8260005","Green Party (GP)","GP",,"Green Party",,"GBR"
"Great Britain","#8260006","Plaid Cymru (PC)","PC",,"Plaid Cymru","Plaid Cymru (PC) only contests elections in Wales.","GBR"
"Great Britain","#8260007","United Kingdom Independence Party (UKIP)	","UKIP",,"United Kingdom Independence Party",,"GBR"
"Greece","#3000001","Pan-Hellenic Socialist Movement (PASOK)","PASOK",,"Pan-Hellenic Socialist Movement",,"GRC"
"Greece","#3000002","New Democracy (ND)","ND",,"New Democracy",,"GRC"
"Greece","#3000003","Coalition of the Radical Left (SYRIZA)","SYRIZA",,"Coalition of the Radical Left",,"GRC"
"Greece","#3000004","Communist Party of Greece (KKE)","KKE",,"Communist Party of Greece",,"GRC"
"Greece","#3000005","Ecologists - Greens (Oik. Pras // OP)","Oik. Pras // OP",,"Ecologists - Greens",,"GRC"
"Greece","#3000006","Golden Dawn (LS - XA)","LS - XA",,"Golden Dawn",,"GRC"
"Greece","#3000007","The Independent Greeks (ANEL)","ANEL",,"The Independent Greeks",,"GRC"
"Greece","#3000010","Pirate Party of Greece (KKP)","KKP",,"Pirate Party of Greece",,"GRC"
"Greece","#3000011","Recreate Greece (DX)","DX",,"Recreate Greece",,"GRC"
"Greece","#3000012","Democratic Left (DIMAR)","DIMAR",,"Democratic Left",,"GRC"
"Greece","#3000013","The River",,,"The River",,"GRC"
"Greece","#3000015","Coalition of parties",,,"Coalition of parties",,"GRC"
"Greece","#3000016","Anticapitalist Left Cooperation for the Overthrow (ANTARSYA)","ANTARSYA",,"Anticapitalist Left Cooperation for the Overthrow",,"GRC"
"Greece","#3000017","Action (D)","D",,"Action",,"GRC"
"Greece","#3000018","Democratic Revival (Diman)","Diman",,"Democratic Revival",,"GRC"
"Greece","#3000019","Popular Orthodox Rally (La.O.S)","La.O.S",,"Popular Orthodox Rally",,"GRC"
"Greece","#3000021","Union of Centrists",,,"Union of Centrists",,"GRC"
"Greece","#3000022","Movement of Democratic Socialists",,,"Movement of Democratic Socialists",,"GRC"
"Hong Kong","#3440001","Democratic Alliance for Betterment of Hong Kong (DAB)","DAB",,"Democratic Alliance for Betterment of Hong Kong",,"HKG"
"Hong Kong","#3440002","Civic Party (CPP)","CPP",,"Civic Party",,"HKG"
"Hong Kong","#3440003","Democratic Party (DP)","DP",,"Democratic Party",,"HKG"
"Hong Kong","#3440004","People Power (PP)","PP",,"People Power",,"HKG"
"Hong Kong","#3440005","Hong Kong Federation of Trade Unions (HKFTU)","HKFTU",,"Hong Kong Federation of Trade Unions",,"HKG"
"Hong Kong","#3440006","Labor Party (LAB)","LAB",,"Labor Party",,"HKG"
"Hong Kong","#3440007","League of Social Democrats (LSD)","LSD",,"League of Social Democrats",,"HKG"
"Hong Kong","#3440008","New People's Party (NPP)","NPP",,"New People's Party",,"HKG"
"Hong Kong","#3440009","Liberal Party (LP)","LP",,"Liberal Party",,"HKG"
"Hong Kong","#3440013","Neighborhood & Workers Service Centre (NWSC)","NWSC",,"Neighborhood & Workers Service Centre",,"HKG"
"Hong Kong","#3440014","Kowloon West New Dynamic (KWND)","KWND",,"Kowloon West New Dynamic",,"HKG"
"Hong Kong","#3440015","Hong Kong Association for Democracy and People's Livelihood (ADPL)","ADPL",,"Hong Kong Association for Democracy and People's Livelihood",,"HKG"
"Hong Kong","#3440016","Neo Democrats",,,"Neo Democrats",,"HKG"
"Hong Kong","#3440017","Civil Force",,,"Civil Force",,"HKG"
"Hong Kong","#3440018","Economic Synergy (3L)","3L",,"Economic Synergy",,"HKG"
"Hong Kong","#3440019","Frontier",,,"Frontier",,"HKG"
"Hong Kong","#3440020","Hong Kong Awakening Association",,,"Hong Kong Awakening Association",,"HKG"
"Hong Kong","#3440021","Party For Civic Rights And Livelihood Hong Kong",,,"Party For Civic Rights And Livelihood Hong Kong",,"HKG"
"Hong Kong","#3440022","Southern Democratic Alliance",,,"Southern Democratic Alliance",,"HKG"
"Hong Kong","#3440023","Blue Intelligent Union",,,"Blue Intelligent Union",,"HKG"
"Hong Kong","#3440024","Civic Act-Up",,,"Civic Act-Up",,"HKG"
"Hong Kong","#3440025","Democratic Alliance",,,"Democratic Alliance",,"HKG"
"Hong Kong","#3440026","April Fifth Action (AFAG)","AFAG",,"April Fifth Action",,"HKG"
"Hong Kong","#3440027","Grassroot Democrats",,,"Grassroot Democrats",,"HKG"
"Hong Kong","#3440028","Hong Kong Social Workers General Union",,,"Hong Kong Social Workers General Union",,"HKG"
"Hong Kong","#3440029","New Century Forum",,,"New Century Forum",,"HKG"
"Hong Kong","#3440030","Democrats, in general",,,"Democrats, in general",,"HKG"
"Hong Kong","#3440031","Pro-Democrats",,,"Pro-Democrats",,"HKG"
"Hong Kong","#3440032","Citizen's Party",,,"Citizen's Party",,"HKG"
"Hong Kong","#3440033","Hong Kong Confederation of Trade Unions (CTU)","CTU",,"Hong Kong Confederation of Trade Unions",,"HKG"
"Hong Kong","#3440034","Hong Kong Progressive Alliance (HKPA)","HKPA",,"Hong Kong Progressive Alliance",,"HKG"
"Hong Kong","#3440035","123 Democratic Alliance",,,"123 Democratic Alliance",,"HKG"
"Hong Kong","#3440036","Article 45 Concern Group",,,"Article 45 Concern Group",,"HKG"
"Hong Kong","#3440037","New Territories West - New Territories Alliance",,,"New Territories West - New Territories Alliance",,"HKG"
"Hong Kong","#3440038","The Pioneer",,,"The Pioneer",,"HKG"
"Hungary","#3480001","Hungarian Socialist Party (MSZP)","MSZP",,"Hungarian Socialist Party",,"HUN"
"Hungary","#3480002","Fidesz-Hungarian Civic Party Alliance Party (Fidesz - MPP)","Fidesz - MPP",,"Fidesz-Hungarian Civic Party Alliance Party",,"HUN"
"Hungary","#3480003","Jobbik The Movement for a Better Hungary (Jobbik)","Jobbik",,"Jobbik The Movement for a Better Hungary",,"HUN"
"Hungary","#3480004","Hungarian Justice and Life Party (MIEP)","MIEP",,"Hungarian Justice and Life Party",,"HUN"
"Hungary","#3480006","Hungarian Worker's Party (MMP)","MMP",,"Hungarian Worker's Party","Hungarian Worker's Party (MMP) was known as ""Workers' Party"" (MP) until 2005, when it changed the name to ""Hungarian Communist Workers' Party"" (MM). The MMP adopted its current name in May 2013.","HUN"
"Hungary","#3480008","Alliance of Free Democrats (SZDSZ)","SZDSZ",,"Alliance of Free Democrats",,"HUN"
"Hungary","#3480009","Hungarian Democratic People's Party",,,"Hungarian Democratic People's Party",,"HUN"
"Hungary","#3480012","MDF - FIDESZ - MPP Joint Candidate",,,"MDF - FIDESZ - MPP Joint Candidate",,"HUN"
"Hungary","#3480013","Independent Small Holders Party (FKgP)","FKgP",,"Independent Small Holders Party",,"HUN"
"Hungary","#3480014","UJ Szovetseg (ASZ)","ASZ",,"UJ Szovetseg","UJ Szovetseg (ASZ) joined the Hungarian Socialist Party (MSZP) (IMD code 3480001) in 1998.","HUN"
"Hungary","#3480032","Christian Democratic People's Party (KDNP)","KDNP",,"Christian Democratic People's Party",,"HUN"
"Hungary","#3480033","Alliance for Hungary - Center Party",,,"Alliance for Hungary - Center Party",,"HUN"
"Hungary","#3490007","Hungarian Democratic Forum (MDF)","MDF",,"Hungarian Democratic Forum",,"HUN"
"Iceland","#3520001","Independence Party (Sj)","Sj",,"Independence Party",,"ISL"
"Iceland","#3520002","Social Democratic Alliance (Sam)","Sam",,"Social Democratic Alliance","Social Democratic Alliance (Sam) was an alliance of the Social Democratic Party, Peoples Alliance, Women's List, and National Awakening. The parties formally merged into one party after the 1999 election.","ISL"
"Iceland","#3520003","Progressive Party (F)","F",,"Progressive Party",,"ISL"
"Iceland","#3520004","Liberal Party (FF)","FF",,"Liberal Party",,"ISL"
"Iceland","#3520005","Left-Green Movement (VG)","VG",,"Left-Green Movement",,"ISL"
"Iceland","#3520007","Bright Future (BF)","BF",,"Bright Future",,"ISL"
"Iceland","#3520008","Pirata (Pi)","Pi",,"Pirata",,"ISL"
"Iceland","#3520009","Civic Movement (B)","B",,"Civic Movement",,"ISL"
"Iceland","#3520012","Right-Green People's Party (HG)","HG",,"Right-Green People's Party",,"ISL"
"Iceland","#3520013","Icelandic Movement (IL)","IL",,"Icelandic Movement",,"ISL"
"Iceland","#3520014","Dawn -- Organization of justice, fairness and democracy (Dawn)","Dawn",,"Dawn -- Organization of justice, fairness and democracy",,"ISL"
"Iceland","#3520015","Iceland Democratic Party (IDP)","IDP",,"Iceland Democratic Party",,"ISL"
"Iceland","#3520016","Rainbow (Rebo)","Rebo",,"Rainbow",,"ISL"
"Iceland","#3520017","People's Movement (Th - Ff)","Th - Ff",,"People's Movement",,"ISL"
"Iceland","#3520018","Democratic Movement",,,"Democratic Movement",,"ISL"
"Iceland","#3520019","Social Democratic Party (A)","A",,"Social Democratic Party",,"ISL"
"Iceland","#3520020","People's Alliance (Ab)","Ab",,"People's Alliance",,"ISL"
"Iceland","#3520021","Households Party (FH)","FH",,"Households Party",,"ISL"
"Iceland","#3520022","Humanist Party (FM)","FM",,"Humanist Party",,"ISL"
"Iceland","#3520023","The Movement (H)","H",,"The Movement",,"ISL"
"Iceland","#3520024","Women's Alliance (KL)","KL",,"Women's Alliance",,"ISL"
"Iceland","#3520025","Rural Party (L)","L",,"Rural Party",,"ISL"
"Iceland","#3520026","Christian Democrats",,,"Christian Democrats",,"ISL"
"Iceland","#3520027","Anarchists",,,"Anarchists",,"ISL"
"Iceland","#3520028","Left-Green Movement and Social Democratic Alliance",,,"Left-Green Movement and Social Democratic Alliance",,"ISL"
"Iceland","#3520029","Left-Green Movement and Independence Party",,,"Left-Green Movement and Independence Party",,"ISL"
"Iceland","#3520030","New Movement",,,"New Movement",,"ISL"
"Ireland","#3720001","Fianna Fail (FF)","FF",,"Fianna Fail",,"IRL"
"Ireland","#3720002","Fine Gael (FG)","FG",,"Fine Gael",,"IRL"
"Ireland","#3720003","Labor (Lab)","Lab",,"Labor",,"IRL"
"Ireland","#3720004","Sinn Fein (SF)","SF",,"Sinn Fein",,"IRL"
"Ireland","#3720005","Greens (GP)","GP",,"Greens",,"IRL"
"Ireland","#3720006","Progressive Democrats (PD)","PD",,"Progressive Democrats",,"IRL"
"Ireland","#3720007","Socialist Party (SP)","SP",,"Socialist Party",,"IRL"
"Ireland","#3720008","Workers' Party (TWP)","TWP",,"Workers' Party",,"IRL"
"Ireland","#3720009","United Left Alliance (ULA)","ULA",,"United Left Alliance",,"IRL"
"Ireland","#3720010","People Before Profit Alliance (PBPA)","PBPA",,"People Before Profit Alliance",,"IRL"
"Ireland","#3720012","Christian Solidarity (CSP)","CSP",,"Christian Solidarity",,"IRL"
"Ireland","#3720020","Irish Socialist Network (ISN)","ISN",,"Irish Socialist Network",,"IRL"
"Ireland","#3720021","Fathers Rights-Responsibility",,,"Fathers Rights-Responsibility",,"IRL"
"Israel","#3760001","Likud - The Consolidation (L)","L",,"Likud - The Consolidation",,"ISR"
"Israel","#3760002","Israeli Labor Party (MHH)","MHH",,"Israeli Labor Party",,"ISR"
"Israel","#3760003","Sfarad's Keepers of the Torah (Shas)","Shas",,"Sfarad's Keepers of the Torah",,"ISR"
"Israel","#3760004","Energy (Meretz)","Meretz",,"Energy",,"ISR"
"Israel","#3760005","The Greens (HY)","HY",,"The Greens",,"ISR"
"Israel","#3760006","United Torah Judaism (YH)","YH",,"United Torah Judaism","United Torah Judaism (YH) is an alliance between the Degel HaTorah (Banner of the Torah) and Agudat Israel (Union of Israel). It was founded in 1992.","ISR"
"Israel","#3760007","There is a Future (YA)","YA",,"There is a Future",,"ISR"
"Israel","#3760008","The Jewish Home (HH)","HH",,"The Jewish Home","The Jewish Home (HH) was an electoral alliance of the National Religious Party (Mafdal) and Resurrection (Tkuma) in the 2013 Israeli legislative election.","ISR"
"Israel","#3760009","The Movement (Hat)","Hat",,"The Movement",,"ISR"
"Israel","#3760010","United Arab List (Ra'am)","Ra'am",,"United Arab List",,"ISR"
"Israel","#3760011","Likud - The Consolidation (L) - Yisrael Beiteinu (L - YB)",,"L) - Yisrael Beiteinu (L - YB","Likud - The Consolidation (L) - Yisrael Beiteinu","The Consolidation (Likud) - Yisrael Beiteinu (L - YB) competed as an electoral alliance in the 2013 election.","ISR"
"Israel","#3760014","National Religious Party (Mafdal)","Mafdal",,"National Religious Party",,"ISR"
"Israel","#3760015","Change (Shinui)","Shinui",,"Change",,"ISR"
"Israel","#3760016","Forward (Kadima)","Kadima",,"Forward",,"ISR"
"Israel","#3760018","The Democratic Front for Peace and Equality (H)","H",,"The Democratic Front for Peace and Equality",,"ISR"
"Israel","#3760019","National Democratic Assembly (Balad)","Balad",,"National Democratic Assembly",,"ISR"
"Israel","#3760021","Israel is Our Home (YB)","YB",,"Israel is Our Home",,"ISR"
"Israel","#3760022","Whole Nation (AmSh)","AmSh",,"Whole Nation",,"ISR"
"Israel","#3760023","Strength to Israel (OL)","OL",,"Strength to Israel",,"ISR"
"Israel","#3760024","The Israelis (HaYisraelim)","HaYisraelim",,"The Israelis",,"ISR"
"Israel","#3760025","Green Leaf (AIYa)","AIYa",,"Green Leaf",,"ISR"
"Israel","#3760026","Social Justice (Tzedek Hevrati)","Tzedek Hevrati",,"Social Justice",,"ISR"
"Israel","#3760027","Respectful Life (Haim Bekavod)","Haim Bekavod",,"Respectful Life",,"ISR"
"Israel","#3760028","New Country (Eretz Hadasha)","Eretz Hadasha",,"New Country",,"ISR"
"Israel","#3760029","Da'am Workers Party (Da'am)","Da'am",,"Da'am Workers Party",,"ISR"
"Israel","#3760030","Hope for Change (Hatikva Leshinui)",,"Hatikva Leshinui","Hope for Change",,"ISR"
"Israel","#3760031","Likud - Gesher - Tzomet Block",,,"Likud - Gesher - Tzomet Block","Likud - Gesher - Tzomet Block was an alliance for the 1996 election between the National Liberal Party (Likud), Bridge (Gesher) and Crossraods (Tzomet).","ISR"
"Israel","#3760032","We Are All Friends (Kolanu Haverim)","Kolanu Haverim",,"We Are All Friends",,"ISR"
"Israel","#3760033","Power to Influence (Koach Lehashpi'a)",,"Koach Lehashpi'a","Power to Influence",,"ISR"
"Israel","#3760034","Economy Party (Mifleget Kalkala)",,"Mifleget Kalkala","Economy Party",,"ISR"
"Israel","#3760035","We Are Brothers (Achim Anchnu)","Achim Anchnu",,"We Are Brothers",,"ISR"
"Israel","#3760036","Progressive Liberal Democratic (Mitkademet Liberalit Democratit)",,"Mitkademet Liberalit Democratit","Progressive Liberal Democratic",,"ISR"
"Israel","#3760037","Party of Light (Mifleget Or)","Mifleget Or",,"Party of Light",,"ISR"
"Israel","#3760038","The Pirates",,,"The Pirates",,"ISR"
"Israel","#3760039","Hapiratim",,,"Hapiratim",,"ISR"
"Israel","#3760040","Tradition of Patriarchs (Ancestors Heritage) (Moreshet Avot)",,"Ancestors Heritage-Moreshet Avot","Tradition of Patriarchs (Ancestors Heritage)",,"ISR"
"Israel","#3760041","One Nation (AE)","AE",,"One Nation","One Nation (AE) merged with the Israeli Labor Party (MHH) on May 23, 2005.","ISR"
"Israel","#3760042","One Future (Atid Ehad)","Atid Ehad",,"One Future",,"ISR"
"Israel","#3760043","World Alliance (Brit Olam)","Brit Olam",,"World Alliance",,"ISR"
"Israel","#3760044","Meretz Habhira - Hademocratit Shahar",,,"Meretz Habhira - Hademocratit Shahar","Meretz Habhira - Hademocratit Shahar was an ellectoral alliance between Meretz and Democratic Choice for the 2003 Israeli legislative election.","ISR"
"Israel","#3760045","Democratic Action (Da'am)","Da'am",,"Democratic Action",,"ISR"
"Israel","#3760046","The Third Way (DS)","DS",,"The Third Way",,"ISR"
"Israel","#3760047","Bridge (Gesher)","Gesher",,"Bridge",,"ISR"
"Israel","#3760048","Pensioners of Israel (Gil)","Gil",,"Pensioners of Israel",,"ISR"
"Israel","#3760049","National Union (HaLe)","HaLe",,"National Union","National Union (HaLe) was an electoral alliance of Moledet, Hatikva, Eretz Yisrael Shelanu, and Tkuma for the 2003 election.","ISR"
"Israel","#3760050","National Union - National Religious Party (HaLe - Mafdal)","HaLe - Mafdal",,"National Union - National Religious Party","National Union - National Religious Party (HaLe - Mafdal) ran on a joint list in the 2006 legislative election.","ISR"
"Israel","#3760051","Arab National Party (HaMiflaga HaLeumit HaAravit)",,"HaMiflaga HaLeumit HaAravit","Arab National Party",,"ISR"
"Israel","#3760052","Jewish National Front (Hazit Yehudit Leumit)",,"Hazit Yehudit Leumit","Jewish National Front",,"ISR"
"Israel","#3760053","Freedom Party (Herut)","Herut",,"Freedom Party",,"ISR"
"Israel","#3760054","Secular Zionist (Hetz)","Hetz",,"Secular Zionist",,"ISR"
"Israel","#3760055","A Different Israel (Israel Aheret)","Israel Aheret",,"A Different Israel",,"ISR"
"Israel","#3760056","United Society Warriors (Lehem)","Lehem",,"United Society Warriors",,"ISR"
"Israel","#3760057","Heart to the Immigrants (Lev)","Lev",,"Heart to the Immigrants",,"ISR"
"Israel","#3760058","Homeland (M)","M",,"Homeland",,"ISR"
"Israel","#3760059","Arab Democratic Party (Mada)","Mada",,"Arab Democratic Party",,"ISR"
"Israel","#3760060","Free Centre (MeHo)","MeHo",,"Free Centre",,"ISR"
"Israel","#3760061","Center Party (MiHa)","MiHa",,"Center Party",,"ISR"
"Israel","#3760062","Strengthen the Poor (Oz La'aneem)","Oz La'aneem",,"Strengthen the Poor",,"ISR"
"Israel","#3760063","United Arab List - Arab Movement for Renewal (Ra'am - Ta'al)","Ra'am - Ta'al",,"United Arab List - Arab Movement for Renewal","United Arab List - Arab Movement for Renewal (Ra'am - Ta'al) competed on a joint list in the 2006 election.","ISR"
"Israel","#3760064","Man's Rights in the Family Party (Ra'ash)","Ra'ash",,"Man's Rights in the Family Party",,"ISR"
"Israel","#3760065","Turnaround (Tafnit)","Tafnit",,"Turnaround",,"ISR"
"Israel","#3760066","Crossroads (Tzomet)","Tzomet",,"Crossroads",,"ISR"
"Israel","#3760067","Israel for Immigration (YBA)","YBA",,"Israel for Immigration","Israel for Immigration (YBA) merged with The Consolidation (Likud) (L) in 2003.","ISR"
"Israel","#3760068","Citizen And State",,,"Citizen And State",,"ISR"
"Israel","#3760069","Ahavat Israel",,,"Ahavat Israel",,"ISR"
"Israel","#3760070","Arab Parties",,,"Arab Parties",,"ISR"
"Israel","#3760071","Ezrah Umedina",,,"Ezrah Umedina",,"ISR"
"Israel","#3760072","Hadash - Balad Block",,,"Hadash - Balad Block",,"ISR"
"Israel","#3760073","Hadash-Taal",,,"Hadash-Taal",,"ISR"
"Israel","#3760074","Hatzionut Hahadasha",,,"Hatzionut Hahadasha",,"ISR"
"Israel","#3760075","Irgun Hapeula Hademocrati",,,"Irgun Hapeula Hademocrati",,"ISR"
"Israel","#3760076","Islamic Movement",,,"Islamic Movement",,"ISR"
"Israel","#3760077","Israel Aheret",,,"Israel Aheret",,"ISR"
"Israel","#3760078","Lahava",,,"Lahava",,"ISR"
"Israel","#3760079","Leader",,,"Leader",,"ISR"
"Israel","#3760081","Left",,,"Left",,"ISR"
"Israel","#3760082","Left Bloc",,,"Left Bloc",,"ISR"
"Israel","#3760083","The Generation of State Builders (Dor Bonei Ha'aretz)",,"Dor Bonei Ha'aretz","The Generation of State Builders",,"ISR"
"Israel","#3760084","Mada - Islamic Movement Block",,,"Mada - Islamic Movement Block",,"ISR"
"Israel","#3760085","MHH - Meimad",,,"MHH - Meimad",,"ISR"
"Israel","#3760086","National Union - Israel Beytenu - Moledet - Tkuma",,,"National Union - Israel Beytenu - Moledet - Tkuma",,"ISR"
"Israel","#3760087","Patz",,,"Patz",,"ISR"
"Israel","#3760088","Progressive National Alliance",,,"Progressive National Alliance",,"ISR"
"Israel","#3760089","Religious Bloc",,,"Religious Bloc",,"ISR"
"Israel","#3760090","Right Bloc",,,"Right Bloc",,"ISR"
"Israel","#3760091","Yahadut Haotra - Agudat Israel - Degel Tora",,,"Yahadut Haotra - Agudat Israel - Degel Tora",,"ISR"
"Israel","#3760092","Za'am",,,"Za'am",,"ISR"
"Israel","#3760093","Israel's Young Adults Zabar (Sabra)","Sabra",,"Israel's Young Adults Zabar",,"ISR"
"Israel","#3760102","Extreme Parties",,,"Extreme Parties",,"ISR"
"Italy","#3800001","Democratic Party (PD)","PD",,"Democratic Party",,"ITA"
"Italy","#3800002","Forward Italy (Forza Italia) (FI)","Forza Italia-FI",,"Forward Italy (Forza Italia)",,"ITA"
"Italy","#3800003","Northern League/League (LN)","LN",,"Northern League/League","Northern League/League (LN) rebranded its party name from ""Northern League"" to ""League"" for the 2018 Italian general election.","ITA"
"Italy","#3800005","Federation of the Greens (FdV)","FdV",,"Federation of the Greens",,"ITA"
"Italy","#3800006","More Europe (E+)","E+",,"More Europe",,"ITA"
"Italy","#3800008","South Tyrolean People's Party (SVP)","SVP",,"South Tyrolean People's Party",,"ITA"
"Italy","#3800009","Party of Italian Communists (PdCI)","PdCI",,"Party of Italian Communists","Party of Italian Communists (PdCI) was dissolved and re-founded as ""Communist Party of Italy"" (PCd'I) in December 2014. Together with splinters from the Communist Refoundation Party, the PCd'I then transformed into the ""Italian Communist Party"" (PCI) in June 2016.","ITA"
"Italy","#3800010","Free and Equal (LeU)","LeU",,"Free and Equal",,"ITA"
"Italy","#3800011","Democrats of the Left (DS)","DS",,"Democrats of the Left","Democrats of the Left (DS) merged into the Democratic Party (PD) in 2007.","ITA"
"Italy","#3800012","Union of Christian and Centre Democrats (UDC)","UDC",,"Union of Christian and Centre Democrats",,"ITA"
"Italy","#3800013","Communist Refoundation Party (PRC)","PRC",,"Communist Refoundation Party",,"ITA"
"Italy","#3800014","Rose in the Fist",,,"Rose in the Fist",,"ITA"
"Italy","#3800015","Italy of Values (IdV)","IdV",,"Italy of Values","Italy of Values (IdV) merged with the Popular Civic List (CP) in 2017.","ITA"
"Italy","#3800021","Daisy - Democracy is Freedom (DL)","DL",,"Daisy - Democracy is Freedom","Daisy - Democracy is Freedom (DL) joined the Democratic Party (PD) in 2007.","ITA"
"Italy","#3800022","National Alliance (AN)","AN",,"National Alliance","National Alliance (AN) merged with Forward Italy (Forza Italia) (FI) into ""The People Freedom (Popolo della Liberta)"" (PdL), which turned into a revival-party of the FI in 2013.","ITA"
"Italy","#3800024","Popular - UDEUR (PoUD)","PoUD",,"Popular - UDEUR",,"ITA"
"Italy","#3800025","Popular Civic List (CP)","CP",,"Popular Civic List",,"ITA"
"Italy","#3800026","Christian Democracy - New PSI (NPSI)","NPSI",,"Christian Democracy - New PSI",,"ITA"
"Italy","#3800027","Social Alternative (ASM)","ASM",,"Social Alternative",,"ITA"
"Italy","#3800028","Tricolour Flame (MSFT)","MSFT",,"Tricolour Flame",,"ITA"
"Italy","#3800029","The Socialists",,,"The Socialists",,"ITA"
"Italy","#3800030","Ambientalista - Ecologisti Democratici (ED)","ED",,"Ambientalista - Ecologisti Democratici",,"ITA"
"Italy","#3800032","Brothers of Italy",,,"Brothers of Italy",,"ITA"
"Italy","#3800034","Terzo Polo",,,"Terzo Polo",,"ITA"
"Italy","#3800035","Solidarieta",,,"Solidarieta",,"ITA"
"Italy","#3800036","Pensioners' Party (PP)","PP",,"Pensioners' Party",,"ITA"
"Italy","#3800037","Lista Bonino / Radicali (Bon)","Bon",,"Lista Bonino / Radicali",,"ITA"
"Italy","#3800038","The Olive (Ulivo)","Ulivo",,"The Olive",,"ITA"
"Italy","#3800039","The Union (Unione)","Unione",,"The Union",,"ITA"
"Italy","#3800040","House of Liberties (CdL)","CdL",,"House of Liberties",,"ITA"
"Japan","#3920001","Liberal Democratic Party (LDP)","LDP",,"Liberal Democratic Party",,"JPN"
"Japan","#3920002","Democratic Party of Japan (DPJ)","DPJ",,"Democratic Party of Japan",,"JPN"
"Japan","#3920003","New Komeito (NK)","NK",,"New Komeito",,"JPN"
"Japan","#3920004","Japanese Communist Party (JCP)","JCP",,"Japanese Communist Party",,"JPN"
"Japan","#3920005","Green Wind",,,"Green Wind",,"JPN"
"Japan","#3920006","Social Democratic Party (SDP)","SDP",,"Social Democratic Party",,"JPN"
"Japan","#3920007","Japan Restoration Party (JReP)","JReP",,"Japan Restoration Party",,"JPN"
"Japan","#3920010","Your Party (YP)","YP",,"Your Party",,"JPN"
"Japan","#3920011","People's Life Party (PLP)","PLP",,"People's Life Party",,"JPN"
"Japan","#3920012","New Frontier Party (NFP)","NFP",,"New Frontier Party",,"JPN"
"Japan","#3920013","New Party Harbinger (NPH)","NPH",,"New Party Harbinger",,"JPN"
"Japan","#3920014","Democratic Reform Union (DRP)","DRP",,"Democratic Reform Union","Democratic Reform Union (DRP) merged with the Democratic Party of Japan (DPJ) in 1998.","JPN"
"Japan","#3920015","New Party Daichi (NDP)","NDP",,"New Party Daichi",,"JPN"
"Japan","#3920016","People's New Party (PNP)","PNP",,"People's New Party",,"JPN"
"Japan","#3920017","Tomorrow Party of Japan (TJP)","TJP",,"Tomorrow Party of Japan",,"JPN"
"Japan","#3920018","New Socialist Party",,,"New Socialist Party",,"JPN"
"Japan","#3920019","Freedom Party",,,"Freedom Party",,"JPN"
"Japan","#3920020","Greens Japan",,,"Greens Japan",,"JPN"
"Japan","#3920021","New Renaissance Party",,,"New Renaissance Party",,"JPN"
