country,name_english,year_first,year_last,share,year_share,paris_id,name_short
AND,Democrats for Andorra,2011,2015,55.2,2011,3713,DA
GMB,United Democratic Party,1997,2007,34,1997,3715,UDP
GMB,Alliance for Patriotic Reorientation and Construction,1997,2012,79,2002,3716,APRC
GMB,National Reconciliation Party,2002,2012,9.4,2012,3717,NRP
GMB,People's Democratic Organisation for Independence and Socialism,2002,2002,15,2002,3718,PDOIS
BMU,Progressive Labour Party,1963,2012,54.6,1998,3721,PLP
BMU,National Liberal Party,1985,1989,9.8,1989,3722,NLP
BMU,United Bermuda Party,1968,2007,62.5,1985,3723,UBP
SUR,Party for Democracy and Development through Unity,2010,2010,5.1,2010,3725,DOE
SUR,Political Wing of the FAL,1996,2005,,1996,3726,PVFAL
SUR,Renewed Progressive Party,1996,1996,,1996,3727,HPP
SUR,Democratic Alternative,1991,2015,16.7,1991,3729,DA91
LVA,Latvian Unity Party,1995,1995,7.2,1995,373,LVP
SUR,Democratic National Platform 2000,2000,2000,10,2000,3730,DNP2000
SUR,National Democratic Party,1987,2015,51,2015,3731,NDP
MWI,Malawi Congress Party,1961,2014,100,1971,3732,MCP
MWI,Alliance for Democracy,1994,1999,18.9,1994,3733,AFORD
MWI,United Democratic Front,1994,2014,47.3,1999,3734,UDF
MWI,National Democratic Alliance,2004,2004,8.1,2004,3735,NDA
MWI,Republican Party,2004,2004,7.3,2004,3737,RP
BLZ,United Democratic Party,1974,2012,57,2008,3738,UDP
BLZ,People’s United Party,1954,2012,65,1954,3739,PUP
BGR,National Movement (Simeon II) for Stability and Progress,2001,2005,42.7,2001,374,NDSV
LIE,Christian Social Party,1962,1966,10.1,1962,3740,CSP
ITA,Pannella List,1994,1994,3.5,1994,3742,LP
DMA,Dominica Labour Party,1961,2014,64.8,1966,3744,DLP
DMA,United Workers' Party,1990,2014,43.7,2005,3745,UWP
DMA,Dominica Freedom Party,1970,2000,56.7,1985,3746,DFP
KAZ,Democratic Party of Kazakhstan Bright Path,2004,2004,12,2004,3747,AkZhol
KAZ,Nur Otan,2004,2012,88.4,2007,3748,NO
NLD,General League / Roman-Catholic State Party,1888,1937,30,1918,3751,RSKP
VGB,Virgin Islands Party,1971,2015,52.2,2003,3752,VIP
NPL,National Democratic Party,1991,1999,17.9,1994,3753,RPP
NPL,Madeshi People's Rights Forum Nepal,2008,2012,8.7,2008,3754,MJF
NPL,Communist Party of Nepal (Unified Marxist–Leninist),1991,2013,31.6,1999,3755,CPN-UML
NPL,Nepali Congress,1959,2013,67.9,1959,3756,NC
NPL,Communist Party of Nepal (Maoist),2008,2013,36.6,2008,3759,UCPNM
VGB,National Democratic Party,1999,2015,62.5,2015,3760,NDP
KHM,Norodom Ranariddh Party,2008,2008,5.6,2008,3761,NRP
KHM,Sam Rainsy Party,1998,2008,21.9,2003,3762,SRP
KHM,Human Rights' Party,2008,2008,6.6,2008,3763,HuRiPa
KHM,"National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia",1993,2008,45.5,1993,3764,FUNC-INPEC
KHM,Cambodian Peoples' Party / Kampuchean People's Revolutionary Party,1981,2013,100,1981,3765,KPK
LSO,All Basotho Convention,2007,2015,37.7,2015,3766,ABC
LSO,Lesotho People’s Congress,2002,2002,5.8,2002,3768,LPC
LSO,Lesotho Workers Party,2007,2007,8.4,2007,3769,LWP
CPV,Party for Democratic Convergence,1995,1995,6.7,1995,3770,PCD
LSO,Lesotho Congress for Democracy,1998,2015,60.7,1998,3771,LCD
CMR,Cameroon Democratic Union,1988,1997,100,1988,3773,UDC
CMR,Cameroon People’s Democratic Movement,2002,2013,85,2007,3774,RDPC
CMR,National Union for Democracy and Progress,1992,1997,35.5,1992,3775,UNDP
LCA,United Workers Party,1964,2011,58.6,1969,3776,UWP
BGD,National Socialist Party,1973,1973,6.7,1973,3777,JSD
LCA,People's Progressive Party,1951,1961,35.8,1954,3778,PPP
BGD,National Awami Party (Muzaffar),1973,1973,8.5,1973,3779,NAP-M
LCA,Progressive Labour Party,1982,1987,27.1,1982,3780,PLP
BGD,National Awami Party (Bhashani),1973,1973,5.3,1973,3781,NAP
BGD,Bangladesh Nationalist Party,1979,2008,73.9,1979,3782,BNP
ARM,Heritage Party,2007,2012,6,2007,3783,HePa
LCA,Saint Lucia Labour Party,1951,2011,66.5,1957,3784,SLC
CYM,People’s Progressive Movement,2005,2013,67.2,2005,3787,PPM
CYM,United Democratic Party,2005,2013,44.2,2009,3788,UnDePa
DNK,Social Democrats,1890,2015,46.1,1935,379,SD
BMU,One Bermuda Alliance,2012,2012,51.7,2012,3790,OBA
CPV,Movement for Democracy,1991,2011,66.4,1991,3793,MPD
CPV,African Party for the Independence of Cape Verde,1975,2011,95.6,1975,3796,PAICV
MUS,Militiant Socialist Movement,1983,2014,45.5,1991,3798,MSM
PAN,National Liberal Party,1940,2004,20.8,1956,380,PLN
MUS,Mauritian Social Democrat Party,1959,2014,43.5,1967,3800,PMSD
CUW,Sovereign People,2007,2012,22.7,2012,3803,PS
CUW,Movement for the Future of Curaçao,2010,2012,21.2,2012,3804,MFK
CUW,National People’s Party,1995,2012,22.1,1999,3805,PNP
CUW,New Antilles Movement,1995,2012,27.8,1995,3806,MAN
CUW,PAIS,2012,2012,17.6,2012,3807,PAIS
CUW,Party for the Restructured Antilles,1995,2012,34.2,1995,3809,PAR
CUW,Party Workers’ Liberation Front 30th of May,1995,2010,33.9,2003,3811,FOL
MOZ,Democratic Movement of Mozambique,2014,2014,8.5,2014,3813,MDM
COL,Coalition,1998,2002,10.3,1998,3815,Co
BRA,Social Democratic Party,1945,2014,42.7,1945,3816,PSD
COL,National Integration Party,2010,2010,7.4,2010,3817,PIN
GNQ,Convergence for Social Democracy,1993,2004,10.3,1993,3821,CPDS
BTN,Bhutan Peace and Prosperity Party,2008,2013,67,2008,3822,DPT
BTN,People’s Democratic Party,2008,2013,54.9,2013,3823,PDP
GNQ,Democratic Party of Equatorial Guinea,1988,2013,99.2,1988,3824,PDGE
GNQ,Liberal Party,1993,1993,6.4,1993,3826,PL
GNQ,Social Democratic Union,1993,1993,7.4,1993,3827,UDS
DEU,Social Democratic Party of Germany,1881,2013,45.8,1972,383,SPD
BEN,Benin Rebirth Party,1995,2015,22.7,1999,3831,RB
SMR,We Sammarinese,2008,2008,,2008,3832,NS
SMR,New Socialist Party,2008,2008,,2008,3833,NPS
BEN,National Rally for Democracy,1991,1991,12.1,1991,3834,RND
SMR,Party of Democrats,2001,2001,20.8,2001,3835,PD
BEN,Our Common Cause,1991,1995,10.1,1991,3836,NCC
SMR,Party of Socialists and Democrats,2006,2012,32,2008,3837,PSD
BEN,Liberal Democrats' Rally for National Reconstruction-Vivotene,1991,1991,5.6,1991,3839,RDLPN
PRY,National Republican Association – Colorado Party,1960,2013,100,1960,384,ANR-PC
SMR,San Marino Socialist Party,1920,2001,29.6,1920,3840,PSS
SMR,Popular Alliance of San Marino Democrats,1993,2012,12.1,2006,3846,AP
SYC,Seychelles People's Progressive Front / People's Party / Seychelles People's United Party,1967,2011,100,1979,3847,SPPF/PL
MLT,Christian Workers' Party,1962,1966,9.5,1962,385,CWP
KEN,New Kenya Party,1961,1961,5.1,1961,3850,NKP
GIB,Gibraltar Socialist Labour Party,1980,1996,73.1,1992,3851,GSLP
KEN,African People's Party,1963,1963,8.6,1963,3852,APP
GIB,Gibraltar Labor Party,2003,2003,8,2003,3853,GLP
GIB,Gibraltar Social Democrats,1992,2015,52.3,1996,3855,GSD
KEN,United Republican Party,2013,2013,25.9,2013,3856,URP
GRD,The National Party,1990,1990,17.4,1990,3857,TNP
GRD,New National Party,1984,2013,62.2,1999,3859,NNP
KEN,Democratic Party,1992,1997,18.6,1997,3860,DP
GRD,Grenada National Party,1957,1976,53.7,1962,3861,GNP
KEN,Forum for the Restoration of Democracy-Asili,1992,1992,16.5,1992,3862,FORD-A
KEN,Forum for the Restoration of Democracy-Kenya,1992,1997,16.5,1992,3863,FORD-K
KEN,The National Alliance,2013,2013,27.2,2013,3867,TNA
AIA,Anguilla Democratic Party,1989,2000,32.9,1999,3869,ADP
AIA,Anguilla United Movement,1980,2015,85.7,1980,3870,AUM
AIA,Anguilla Progressive Party,2005,2010,14.7,2010,3871,APP
AIA,Anguilla National Alliance,1980,2000,53.8,1984,3872,ANA
AIA,Anguilla for Good Government,1994,1994,12,1994,3873,AGG
AIA,Anguilla Strategic Alliance,2005,2005,19.3,2005,3876,ASA
GUY,Alliance for Change,2006,2015,10.3,2011,3882,AFC
ALB,alliance (PSSH/PSDSH),1997,1997,18.7,1997,3883-1,ally
DZA,alliance (AAV),2012,2012,6.2,2012,3884-1,ally
AND,alliance (Reformist Coalition),2009,2009,28.6,2009,3885-1,ally
ARG,alliance (Frente Unico),1928,1928,6.4,1928,3889-2,ally
ARG,alliance (Alianza Popular Federalista),1973,1973,14.8,1973,3889-3,ally
ARG,alliance (UNA),2015,2015,,2015,3889-4,ally
DDR,Association of Free Democrats,1990,1990,5.3,1990,389,BFD
ARM,alliance (Right and Unity),1999,1999,8.1,1999,3890-1,ally
AUT,alliance (Association of Great Germans and Rural Federation),1923,1923,10.8,1923,3892-1,ally
AUT,alliance (Einheitsliste),1927,1927,48.2,1927,3892-2,ally
AZE,alliance (Azadliq bloc),2005,2005,,2005,3893-1,ally
CHL,Christian Democratic Party,1961,1997,55.8,1965,390,PDC
BEN,alliance (PNDD-PRD),1991,1991,11.7,1991,3900-1,ally
BEN,alliance (PSD-UNSP),1991,1991,9.8,1991,3900-2,ally
BEN,alliance (MNDD-MSUP-UDRN),1991,1991,8.4,1991,3900-3,ally
BEN,alliance (Amana Alliance),2011,2011,6.5,2011,3900-4,ally
BEN,alliance (Hope Force - Union for Change),2011,2011,5,2011,3900-5,ally
BEN,alliance (Alliance RB-RP (Benin Rebirth Party-Patriotic Revival Party)),2015,2015,7.1,2015,3900-6,ally
BEN,alliance (Sun Alliance),2015,2015,6.7,2015,3900-7,ally
BEN,alliance (United Democratic Forces Alliance (FDU)),2015,2015,7.1,2015,3900-8,ally
BEN,alliance (National Alliance for Development and Democracy (AND)),2015,2015,7.6,2015,3900-9,ally
BOL,alliance (United Socialist Front),1938,1938,93.2,1938,3903-1,ally
BOL,alliance (Mining Bloc),1947,1947,,1947,3903-2,ally
BOL,alliance (UNP),1978,1978,50.9,1978,3903-3,ally
BOL,alliance (ADRN),1978,1978,11,1978,3903-4,ally
BOL,alliance (PDC / PRB),1978,1978,8.6,1978,3903-5,ally
BIH,alliance (Sloga),1998,1998,12.4,1998,3904-1,ally
BIH,alliance (HDZ-HK~HNZ),2006,2006,4.9,2006,3904-2,ally
BIH,alliance (HZ),2006,2006,3.7,2006,3904-3,ally
BGR,alliance (Democratic Party + Liberal Party + Progressive Liberal Party),1887,1887,10.9,1887,3908-1,ally
BGR,alliance (NP/PLP),1911,1911,54.2,1911,3908-2,ally
BGR,alliance (BZSN-BKP),1923,1923,6.9,1923,3908-3,ally
BGR,alliance (BZNS-NP-ORSDP),1946,1946,28.3,1946,3908-4,ally
CMR,alliance (KNC/KPP),1959,1959,37.4,1959,3911-1,ally
CHL,alliance (Confederation of Democracy),1973,1973,,1973,3915-1,ally
CHL,alliance (Unidad Popular),1973,1973,,1973,3915-2,ally
CHL,alliance (CLVF),2009,2009,,2009,3915-3,ally
HRV,alliance (Unified Opposition),1897,1901,12.8,1901,3918-2,ally
HRV,alliance (SDP/HSLS/(PGS/SBHS)),2000,2000,40.8,2000,3918-3,ally
HRV,"alliance (HDZ, incl. coalitions)",2011,2011,23.5,2011,3918-4,ally
HRV,alliance (Croatia is Growing),2015,2015,32.8,2015,3918-5,ally
HRV,alliance (Patriotic Coalition),2015,2015,34.1,2015,3918-6,ally
CYP,alliance (Democratic Party + AKEL + Movement for Social Democracy),1976,1976,71.2,1976,3920-1,ally
CZE,alliance (WG),1929,1929,5.4,1929,3921-1,ally
CZE,alliance (AB),1935,1935,6.9,1935,3921-2,ally
CZE,alliance (Civic Democratic Party - Christian Democratic Party),1992,1992,29.7,1992,3921-3,ally
DOM,alliance (PR-MNJ),1974,1974,89.8,1974,3924-1,ally
ECU,alliance (PLR/FRA Alliance),1996,1996,6.9,1996,3925-4,ally
ECU,alliance (PL/FRA),1997,1997,4.6,1997,3925-5,ally
EGY,alliance (Islamists),1987,1987,17.5,1987,3926-1,ally
SLV,alliance (UPD),1961,1961,18.8,1961,3927-1,ally
EST,alliance (STP-ERSP),1917,1917,17.7,1917,3929-1,ally
EST,alliance (Democratic Bloc),1918,1918,22.7,1918,3929-2,ally
LVA,For a Good Latvia,2010,2010,7.8,2010,393,PLL
FRA,alliance (RepG + RadI),1928,1928,23.2,1928,3933-1,ally
GMB,alliance (People's Progressive Party-Democratic Congress Alliance [PPP-DCA]),1962,1962,,1962,3934-1,ally
GEO,alliance (United Opposition (National Council/Rights)),2008,2008,17.5,2008,3935-1,ally
ITA,Republican Party,1895,1983,6.8,1895,394,PRI
GRC,alliance (United Opposition),1920,1920,68,1920,3940-1,ally
GRC,alliance (PADE),1958,1958,10.6,1958,3940-11,ally
GRC,alliance (EK/Progressive Party Alliance),1961,1961,33.7,1961,3940-12,ally
GRC,alliance (PAME),1961,1961,14.6,1961,3940-13,ally
GRC,alliance (ERE-Progressive Party),1964,1964,35.3,1964,3940-14,ally
GRC,alliance (Popular Party-National Radical Party),1935,1935,65,1935,3940-2,ally
GRC,alliance (Royal Supporters Union),1935,1935,14.8,1935,3940-3,ally
GRC,alliance (General Popular Radical Union),1936,1936,19.9,1936,3940-4,ally
GRC,alliance (inomeni parataksis ethnikofronon),1946,1946,55.1,1946,3940-5,ally
GRC,alliance (ethniki politiki enosis),1946,1946,19.3,1946,3940-6,ally
GRC,alliance (Democratic Party),1950,1950,9.7,1950,3940-7,ally
GRC,alliance (Centre National Progressive Union Party-Liberal Party),1952,1952,34.2,1952,3940-8,ally
GRC,alliance (Democratic Union),1956,1956,48.2,1956,3940-9,ally
GTM,alliance (PID/PR/FUN),1982,1982,50,1982,3942-1,ally
GTM,alliance (National Opposition Union),1982,1982,,1982,3942-2,ally
GTM,alliance (UCN-DCG-PSD),1995,1995,12.8,1995,3942-3,ally
GTM,alliance (UNE-GANA),2011,2011,22.2,2011,3942-4,ally
GTM,alliance (VIVA-EG),2011,2011,7.8,2011,3942-5,ally
GUY,alliance (APNU+AFC),2015,2015,50.3,2015,3945-1,ally
HUN,alliance (Fidesz–MDF),2002,2002,41.1,2002,3948-1,ally
HUN,alliance (MSZP-SZDSZ–MSZDP),2002,2002,48.5,2002,3948-2,ally
HUN,alliance (Fidesz-MPSZ-KDNP–MDF),2006,2006,47.3,2006,3948-3,ally
HUN,alliance (MSZP-SZDSZ),2006,2006,49.6,2006,3948-4,ally
NIC,Sandinista Renovation Movement,2006,2006,8.3,2006,395,MRS
IRQ,alliance (INM),2010,2010,24.7,2010,3953-1,ally
IRQ,alliance (Citizens coalition (Muwatin)),2014,2014,9.5,2014,3953-2,ally
ISR,alliance (Left Bloc (Hashomer Hatzair–Poale Zion Left)),1944,1944,12.4,1944,3955-1,ally
ITA,alliance (National Blocs),1921,1921,19.1,1921,3956-1,ally
ITA,alliance (National List),1924,1924,60.1,1924,3956-2,ally
ITA,alliance (Freedom Alliance),1994,1994,,1994,3956-3,ally
ITA,alliance (Progressive Alliance),1994,1994,,1994,3956-4,ally
ITA,alliance (Freedom Pole),1996,1996,42.1,1996,3956-5,ally
ITA,alliance (Centre-right coalition),2008,2008,,2008,3956-6,ally
ITA,alliance (Centre-left coalition),2008,2008,,2008,3956-7,ally
ISR,Israeli Workers List,1965,1965,7.9,1965,396,Rafi
XKX,"alliance (Coalition ""Return"")",2001,2001,11.3,2001,3963-1,ally
XKX,alliance (Alliance: LDD-PSHDK),2007,2007,10,2007,3963-2,ally
XKX,alliance (PDK-PD-LB-PSHDK-PK),2014,2014,30.4,2014,3963-3,ally
MYS,alliance (Alternative Front),2004,2004,,2004,3975-1,ally
MUS,alliance (MMM / PSM),1982,1982,63,1982,3978-1,ally
MUS,alliance (Social Alliance),2005,2005,48.8,2005,3978-11,ally
MUS,alliance (MSM-MMM),2005,2005,42.6,2005,3978-12,ally
MUS,alliance (Avenir),2010,2010,49.7,2010,3978-13,ally
MUS,alliance (Coeur),2010,2010,42,2010,3978-14,ally
MUS,alliance (MSM-PMSD),2014,2014,49.8,2014,3978-15,ally
MUS,alliance (PTR-MMM),2014,2014,38.5,2014,3978-16,ally
MUS,alliance (PAN),1982,1982,24.8,1982,3978-2,ally
MUS,alliance (MSM / MLP / PMSD),1983,1983,51.9,1983,3978-3,ally
MUS,alliance (Alliance (MSM / Labour)),1987,1987,49,1987,3978-4,ally
MUS,alliance (MSM / MMM),1991,1991,55.4,1991,3978-5,ally
MUS,alliance (Labour / PMSD),1991,1991,39.3,1991,3978-6,ally
MUS,alliance (Labour / MMM),1995,1995,65.2,1995,3978-7,ally
MUS,alliance (Alliance MSM - MMM),2000,2000,51.7,2000,3978-8,ally
MUS,alliance (Alliance PTr - PMXD),2000,2000,36.6,2000,3978-9,ally
MDA,alliance (Electoral Bloc of the Socialist Party and the Movement ‘Unity'),1994,1994,22,1994,3980-1,ally
MNG,alliance (Alliance),1992,1992,17.5,1992,3981-1,ally
MNG,alliance (Motherland-Democracy Coalition),2004,2004,44.3,2004,3981-2,ally
MNG,alliance (Justice Coalition),2012,2012,22.3,2012,3981-3,ally
MNE,alliance (Democratic Coalition),1990,1990,9.6,1990,3982-1,ally
MNE,alliance (Serb list),2006,2006,14.7,2006,3982-2,ally
MAR,alliance (PND–Al Ahd Union),2007,2007,5.5,2007,3983-1,ally
NIC,alliance (Liberal Nationalist Party (PLN) / Conservative Nationalist Party (PCN)),1936,1936,69.8,1936,3989-1,ally
NIC,alliance (UNO),1967,1967,29.1,1967,3989-2,ally
NIC,alliance (AL),1996,1996,46,1996,3989-3,ally
NIC,alliance (Traditional Conservative Party (PCT) / Constitutionalist Liberal Party (PLC)),1936,1936,0.2,1936,3989-4,ally
FRA,Democratic Centre,1967,1968,14.1,1967,399,CD
NGA,alliance (Nigerian National Alliance),1964,1964,,1964,3991-1,ally
NGA,alliance (United Progressive Grand Alliance),1964,1964,,1964,3991-2,ally
NOR,alliance (H and MV),1900,1900,40.8,1900,3993-1,ally
NOR,alliance (H and MV + FV),1903,1903,44.8,1903,3993-2,ally
NOR,alliance (V and AD),1912,1912,40,1912,3993-3,ally
PAK,alliance (United Front),1977,1977,35.7,1977,3994-1,ally
PAN,alliance (Coalition Reform and National),1932,1932,34.4,1932,3995-1,ally
PAN,alliance (United Liberal),1948,1948,40.5,1948,3995-2,ally
PAN,alliance (National Union),1968,1968,81,1968,3995-3,ally
PAN,alliance (People's Alliance),1968,1968,16.7,1968,3995-4,ally
PRY,alliance (AD),1998,1998,,1998,3996-1,ally
PER,alliance (Conde),1985,1985,11.1,1985,3997-1,ally
PER,alliance (Democratic Front),1990,1990,34.4,1990,3997-2,ally
PER,alliance (Alianza Por El Gran Cambio),2011,2011,14.4,2011,3997-3,ally
PHL,alliance (LABAN coalition),1987,1987,,1987,3998-1,ally
PHL,alliance (GAD coalition),1987,1987,,1987,3998-2,ally
PHL,alliance (LP-PDP),1992,1992,7.7,1992,3998-3,ally
PHL,alliance (Lakas-NUCD/ LDP),1995,1995,10.4,1995,3998-4,ally
PHL,alliance (TEAM Unity),2007,2007,,2007,3998-5,ally
PHL,alliance (Genuine Opposition),2007,2007,,2007,3998-6,ally
POL,alliance (Centrolew),1930,1930,17.3,1930,3999-1,ally
IRL,Sinn Fein (Provisional),2002,2011,9.9,2011,4,SF
ROU,alliance (PNL–PCD),1911,1911,37.8,1911,4002-1,ally
ROU,alliance (National Union),1931,1931,48.9,1931,4002-2,ally
ROU,alliance (National Peasants' Party–German Party),1932,1932,41.5,1932,4002-3,ally
ROU,alliance (Bloc of Democratic Parties),1946,1946,69.8,1946,4002-4,ally
RUS,alliance (Progressist Party-Party of Peaceful Renovation),1907,1907,7.7,1907,4003-1,ally
SMR,alliance (Blocco Patriotticco),1923,1923,100,1923,4008-1,ally
SMR,alliance (Lista Unica),1943,1943,100,1943,4008-2,ally
SMR,alliance (PPDS-IM-CD),1998,1998,18.6,1998,4008-3,ally
SMR,alliance (PDC-EPS-AeL),2008,2008,31.9,2008,4008-4,ally
SMR,alliance (List of Liberty),2008,2008,6.3,2008,4008-5,ally
SEN,alliance (TD),2007,2007,5,2007,4010-1,ally
SEN,alliance (BBY),2012,2012,53.1,2012,4010-2,ally
SRB,alliance (Agrarian Alliance-Independent Agrarian Party),1920,1920,9.4,1920,4011-1,ally
SRB,alliance (National Bloc),1925,1925,9.8,1925,4011-2,ally
SRB,"alliance (Coalition of Socialist Party of Serbia, Yugoslav Left and New Democracy)",1997,1997,35.7,1997,4011-3,ally
SRB,alliance (Choice For a Better Life – Boris Tadic),2012,2012,23.1,2012,4011-4,ally
SRB,alliance (Socialist Party of Serbia/Party of United Pensioners of Serbia/United Serbia),2012,2014,15.2,2012,4011-5,ally
SRB,alliance (Aleksandar Vucic - The future in which we believe),2014,2014,50,2014,4011-6,ally
SRB,alliance (New Democratic Party-Greens/League of Social Democrats of Vojvodina/Together for Serbia/Democartic Fellowship of Vojvodina Hungarians/Together for Vojvodina/Democratic Left of Roma),2014,2014,5.9,2014,4011-8,ally
SGP,alliance (singapore alliance),1963,1963,8.4,1963,4014-1,ally
ESP,alliance (Conservative Union–Conservative Party),1899,1899,53.5,1899,4019-1,ally
ESP,alliance (AR/PRRS/PRSl/UR/FRG),1933,1933,7.5,1933,4019-11,ally
ESP,alliance (Popular Front (Left)),1936,1936,48.1,1936,4019-12,ally
ESP,alliance (Right/Centre Right),1936,1936,46.5,1936,4019-13,ally
ESP,alliance (Catalan Solidarity),1907,1907,,1907,4019-2,ally
ESP,alliance (Liberal Party–Liberal Democrats),1916,1916,57,1916,4019-3,ally
ESP,alliance (Left Alliance),1918,1918,,1918,4019-4,ally
ESP,alliance (Ministerials),1919,1919,,1919,4019-5,ally
ESP,alliance (Liberals and Reformists),1923,1923,,1923,4019-6,ally
ESP,alliance (PRS/UR),1931,1931,12.6,1931,4019-7,ally
ESP,alliance (AR/IR),1931,1931,6,1931,4019-8,ally
ESP,alliance (CEDA/AN/PA/RE/PC/Falange),1933,1933,36.3,1933,4019-9,ally
LKA,alliance (CP / VLSSP),1952,1952,5.8,1952,4020-1,ally
LKA,alliance (DNA),2010,2010,5.5,2010,4020-2,ally
SUR,alliance (VHP/V7),2015,2015,35.3,2015,4021-11,ally
SUR,alliance (PNP-bloc),1969,1969,23.4,1969,4021-2,ally
SUR,alliance (VHP-bloc),1969,1973,39.1,1973,4021-3,ally
SUR,alliance (VDP),1977,1977,44.1,1977,4021-4,ally
SUR,alliance (FDO),1987,1987,85.5,1987,4021-5,ally
SUR,alliance (Alliantie),1996,1996,8.4,1996,4021-6,ally
SUR,alliance (A1),2005,2005,5.9,2005,4021-8,ally
SUR,alliance (MC),2000,2010,40.2,2010,4021-9,ally
THA,alliance (Sahachip Party-Constitutional Front Party),1946,1946,76,1946,4026-1,ally
UGA,alliance (Uganda People's Congress-Kabaka Yekka),1962,1962,51.8,1962,4032-1,ally
UKR,alliance (Democratic Bloc),1990,1990,24.7,1990,4033-1,ally
VEN,alliance (Great Patriotic Pole),2015,2015,40.9,2015,4037-1,ally
WSM,alliance (Coalition),1988,1988,16.4,1988,4039-1,ally
ZWE,alliance (Rhodesia Labour Party-Responsible Government Association alliance),1920,1920,8.5,1920,4042-1,ally
ECU,PAIS Alliance,2007,2013,69.5,2007,4044,PAIS
SLE,All People's Congress,1962,2012,100,1982,4045,APC
SLE,United National People's Party,1996,1996,22,1996,4046,UNPP
SLE,Sierra Leone People's Party,1951,2012,69.9,2002,4047,SLPP
BEL,Francophone Christian Social Party and Flemish Christian People's Party,1946,1965,47.7,1950,405,PSC-CVP
BOL,Bolivian Socialist Falange,1956,1978,7.4,1956,4051,FSB
KNA,Concerned Citizens’ Movement,1989,2015,13,2015,4054,CCM
KNA,St. Kitts-Nevis Labour Party,1937,2015,100,1940,4056,SKNLP
KNA,St. Kitts Democratic Party,1957,1957,9.2,1957,4057,SKDP
KNA,People’s Action Movement,1966,2015,47.6,1984,4058,PAM
KNA,People's Progressive Movement,1961,1961,11.1,1961,4059,PPM
KNA,Nevis Reformation Party,1971,2015,16.2,1975,4060,NRP
KNA,United Nevis Movement,1961,1966,7.3,1961,4061,UNM
GIN,Rally of the People of Guinea Rainbow,1995,2013,46.5,2013,4063,RPG
LKA,Tamil United Liberation Front,1977,1977,6.8,1977,4066,TULF
LKA,People's Liberation Front,2000,2010,9.4,2001,4067,PLF
ITA,National Fascist Party,1929,1934,99.9,1934,4069,PNF
NOR,Coalition Party,1903,1903,4.3,1903,4074,SP
HRV,League of Communists of Croatia,1990,1990,35,1990,4078,KPH/SKH
MNE,Alliance of Reform Forces for Montenegro,1990,1990,13.6,1990,4079,SRSCG
IND,Communist Party of India,1957,1967,9.9,1962,408,CPI
KEN,Baluhya Political Union,1961,1961,5.2,1961,4082,BPU
KEN,Kenya African Democratic Union,1961,1963,25,1963,4083,KADU
BLZ,National Independence Party,1961,1969,40,1965,4085,NIP
BLZ,National Party,1954,1957,23,1954,4086,NP
BLZ,Honduran Independent Party,1957,1957,13.5,1957,4087,HIP
BLZ,Christian Democratic Party,1961,1961,11.6,1961,4088,CDP
BEN,Action Front for Renewal and Development,1995,1999,6.2,1995,4089,FARD
SWE,Sweden Democrats,2010,2014,12.9,2014,409,SD
BEN,Union for Democracy and National Solidarity,1991,2015,7.1,1991,4090,UDNS
CHL,National Falange,1957,1957,9.4,1957,4096,FN
IND,Shiromani Akali Dal (Simranjit Singh Mann),1951,1951,10.6,1951,4103,SAD(M)
SML,"For Unity, Democracy, and Independence",2005,2005,39,2005,4108,UDUB
SML,"Peace, Unity, and Development Party",2005,2005,34.1,2005,4109,PUDP
SML,For Justice and Development,2005,2005,26.9,2005,4110,UCID
DZA,National Liberation Front,1962,2012,100,1977,4111,FLN
DZA,National Rally for Democracy,1997,2012,33.7,1997,4113,RND
DZA,Socialist Forces Front,1997,1997,5,1997,4114,FFS
THA,Social Action Party,1975,1996,26.8,1983,4115,PKS
NGA,Alliance for Democracy,1999,2003,12.4,1999,4116,AD
SYC,Seychelles National Party / United Opposition,1993,2007,43.8,2007,4117,SNP/UO
TCA,People’s Democratic Movement,1976,2012,59.8,1988,4120,PDM
TCA,Progressive National Party,1976,2012,61.2,1984,4121,PNP
ZMB,Zambia Democratic Congress,1996,1996,14.1,1996,4125,ZDC
ZMB,National Party,1996,1996,7.2,1996,4126,NP
ZMB,Northern Rhodesian African National Congress,1962,1968,30.5,1964,4128,ZANC
TGO,Union for the Republic,2013,2013,41.3,2013,4129,UNIR
VEN,For Social Democracy,2005,2005,9,2005,413,PODEMOS
TGO,Union of Forces for Change,2007,2013,30.8,2007,4130,UFC
TGO,Rally of the Togolese People,1963,2007,100,1963,4131,RPT
TGO,Save Togo Group,2013,2013,34.5,2013,4132,CST
TGO,Action Committee for Renewal,1994,2007,44.4,1994,4133,CAR
LBR,Congress for Democratic Change,2005,2011,23.4,2005,4136,CDC
LBR,Liberty Party,2005,2011,14.1,2005,4139,LPC
LBR,Unity Party,1985,2011,32.9,2011,4140,UP
LBR,National Patriotic Party,1997,2005,75.3,1997,4142,NPP
LBR,National Democratic Party of Liberia,1985,1985,50.9,1985,4143,NDPL
ATG,Antigua Labour Party,1951,2014,87.4,1951,4144,ALPB
ATG,Barbuda Democratic Movement,1960,1960,6,1960,4146,BDM
ATG,Antigua National Party,1956,1956,12.5,1956,4147,ANP
ATG,United People’s Movement,1984,1984,23,1984,4148,UPM
ATG,United National Democratic Party,1989,1989,31,1989,4149,UNDP
