"ctr_n","ctr","pty_n","pty","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty","abbr","name","name_english","name_other","comment","country"
"Cyprus",196,"New Horizons",13,2001,2001,3,2001,1,196000013,"","New Horizons","","","","CYP"
"Cyprus",196,"Progressive Party of Working People",15,2001,2011,34.7,2001,3,196000015,"","Progressive Party of Working People","","","","CYP"
"Cyprus",196,"United Democrats",16,2001,2006,2.6,2001,2,196000016,"","United Democrats","","","","CYP"
"Czech Republic",203,"ceskoslovenská sociální demokracie",11,1992,2006,32.3,1998,5,203000011,"CSSD","Československá sociální demokracie","Czechoslovak Social Democratic Party","","","CZE"
"Czech Republic",203,"cs.strana socialistická",14,1990,1990,2.7,1990,1,203000014,"CSS","Čs.strana socialistická","Czechoslovakian Socialist Party","","","CZE"
"Czech Republic",203,"demokratické unie",17,1996,1998,2.8,1996,2,203000017,"DEU","Demokratické unie","Democratic Union","","","CZE"
"Czech Republic",203,"hnutí duchodcu za životní jistoty",20,1992,1998,3.8,1992,3,203000020,"HDZJ","Hnutí důchodců za životní jistoty","Pensioners for a Secure Life","","","CZE"
"Czech Republic",203,"hnutí za samosprávnou demokracii - spolecnost pro moravu a slezsko",23,1990,1992,10,1990,2,203000023,"MORSL/HSD-SMS","Hnutí za samosprávnou demokracii - Společnost pro Moravu a Slezsko","Movement for Autonomous Democracy - Party for Moravia and Silesia","","","CZE"
"Czech Republic",203,"klub angažovaných nestraníku",27,1992,1992,2.7,1992,1,203000027,"KAN","Klub angažovaných nestraníků","Club of Committed Non-Party Members","","","CZE"
"Czech Republic",203,"komunistická strana cech a moravy",29,1996,2006,18.5,2002,4,203000029,"KSČM","Komunistická strana Čech a Moravy","Communist Party of Bohemia and Moravia","","","CZE"
"Czech Republic",203,"komunistická strana ceskoslovenska",30,1990,1990,13.2,1990,1,203000030,"KSC","Komunistická strana Československa","The Communist Party of Czechoslovakia","","","CZE"
"Czech Republic",203,"krestanská a demokratická unie - ceskoslovenská strana lidová",32,1992,2006,9,1998,4,203000032,"KDU-ČSL","Křesťanská a demokratická unie - Československá strana lidová","Christian and Democratic Union - Czechoslovak People's Party","","","CZE"
"Czech Republic",203,"obcanská demokratická aliance",44,1992,2002,6.4,1996,3,203000044,"ODA","Občanská demokratická aliance","Civic Democratic Alliance","","","CZE"
"Czech Republic",203,"obcanská demokratická strana",45,1996,2006,35.4,2006,4,203000045,"ODS","Obcanská demokratická strana","Civic Democratic Party","","","CZE"
"Czech Republic",203,"obcanská hnutí",46,1992,1992,4.6,1992,1,203000046,"OH","Občanská hnutí","Civic Movement","","","CZE"
"Czech Republic",203,"obcanské fórum",48,1990,1990,49.5,1990,1,203000048,"OF","Občanské fórum","Civic Forum","","","CZE"
"Czech Republic",203,"sdružení pro republiku-republikánská strana ceskoslovenska",56,1992,1998,8,1996,3,203000056,"SPR-RSC","Sdružení pro republiku-Republikánská strana Československa","Association for the Republic-Republican Party of Czechoslovakia","","","CZE"
"Czech Republic",203,"snk evropští demokraté",57,2006,2006,2.1,2006,1,203000057,"SNK ED","SNK Evropští demokraté","SNK European Democrats","","","CZE"
"Czech Republic",203,"ceskoslovenská sociální demokracie",58,1990,1990,4.1,1990,1,203000058,"SD","Československá sociální demokracie","Czechoslovak Social Democratic Party","","","CZE"
"Czech Republic",203,"spojenectví zemedel.a venkova",59,1990,1990,4.1,1990,1,203000059,"SZV","Spojenectví zeměděl.a venkova","Alliance of Peasants and Countryside","","","CZE"
"Czech Republic",203,"sruzeni nezavislych",60,2002,2002,2.8,2002,1,203000060,"SN","Sruzeni nezavislych","Association of Independents","","","CZE"
"Czech Republic",203,"strana ceskoslovenských podnikatelu, živnostníku a rolníku",63,1992,1992,3.1,1992,1,203000063,"SCPZR","Strana československých podnikatelů, živnostníků a rolníků","Party of Czechoslovak Entrepreneurs, Small Businesses and Farmers","","","CZE"
"Czech Republic",203,"strana zelených",71,1990,2006,6.3,2006,4,203000071,"SZ","Strana zelených","Green Party","","","CZE"
"Czech Republic",203,"svobodné demokraté-liberální strana národne sociální",72,1996,1996,2,1996,1,203000072,"SD-LSNS","Svobodné demokraté-Liberální strana národne sociální","Free Democrats- National Social Liberal Party","","","CZE"
"Czech Republic",203,"unie svobody",74,1998,1998,8.6,1998,1,203000074,"US","Unie svobody","Freedom Union","","","CZE"
"Benin",204,"Forces Cauris pour Un Benin Emergent",2,2011,2011,33.3,2011,1,204000002,"","Forces Cauris pour Un Benin Emergent","","","","BEN"
"Benin",204,"Front D’Action pour le Renouveau et le Developpement (FARD-ALAFIA)",5,1995,1995,6.2,1995,1,204000005,"","Front D’Action pour le Renouveau et le Developpement (FARD-ALAFIA)","","","","BEN"
"Benin",204,"La Renaissance du Benin",7,1995,1995,14.6,1995,1,204000007,"","La Renaissance du Benin","","","","BEN"
"Benin",204,"Mouvement National pour la Democratie et le Developpement",8,1995,1995,2,1995,1,204000008,"","Mouvement National pour la Democratie et le Developpement","","","","BEN"
"Benin",204,"Notre Cause Commune",10,1991,1995,10.1,1991,2,204000010,"","Notre Cause Commune","","","","BEN"
"Benin",204,"Parti Communiste du Benin",12,1995,1995,3.3,1995,1,204000012,"","Parti Communiste du Benin","","","","BEN"
"Benin",204,"Parti du Renouveau Democratique",13,1995,1995,15.4,1995,1,204000013,"","Parti du Renouveau Democratique","","","","BEN"
"Benin",204,"Parti Social-Democrate",15,1995,1995,7.7,1995,1,204000015,"","Parti Social-Democrate","","","","BEN"
"Benin",204,"Rassemblement Africain pour le Progres et la Solidarite",16,1995,1995,2.6,1995,1,204000016,"","Rassemblement Africain pour le Progres et la Solidarite","","","","BEN"
"Benin",204,"Rassemblement des Democrates Liberaux pour le Reconstruction Nationale",17,1991,2011,5.6,1991,3,204000017,"","Rassemblement des Democrates Liberaux pour le Reconstruction Nationale","","","","BEN"
"Benin",204,"Rassemblement National pour la Democratie",18,1991,1995,12.1,1991,2,204000018,"","Rassemblement National pour la Democratie","","","","BEN"
"Benin",204,"Union Democratique pour le Developpement Economique et Social",23,1991,1991,2.5,1991,1,204000023,"","Union Democratique pour le Developpement Economique et Social","","","","BEN"
"Benin",204,"Union Nationale pour la Democratie et le Progres",24,1991,1995,3.1,1991,2,204000024,"","Union Nationale pour la Democratie et le Progres","","","","BEN"
"Benin",204,"Union pour la Democratie et la Solidarite Nationale",25,1991,1995,7.1,1991,2,204000025,"","Union pour la Democratie et la Solidarite Nationale","","","","BEN"
"Benin",204,"Union pour le Benin",27,2011,2011,4.5,2011,1,204000027,"","Union pour le Benin","","","","BEN"
"Denmark",208,"bondepartiet",2,1935,1939,3.2,1935,2,208000002,"","Bondepartiet","Farmers' Party","","","DNK"
"Denmark",208,"centrum demokraterne",5,1981,2005,8.3,1981,8,208000005,"","Centrum demokraterne","Centre Democrats","","","DNK"
"Denmark",208,"danks folkeparti",6,1998,2011,13.8,2007,5,208000006,"","Danks folkeparti","Danish People's Party","","","DNK"
"Denmark",208,"danmarks kommunistiske parti",7,1939,1979,12.5,1945,11,208000007,"","Danmarks kommunistiske parti","Danish Communist Party","","","DNK"
"Denmark",208,"danmarks nationalsocialistiske arbejderparti",8,1939,1943,2.2,1943,2,208000008,"","Danmarks nationalsocialistiske arbejderparti","Danish National Socialist Party","","","DNK"
"Denmark",208,"de uafhængige",9,1953,1960,3.3,1960,3,208000009,"","De uafhængige","The Independents (a right-wing splinter of Venstre)","","","DNK"
"Denmark",208,"det radikale venstre",10,1903,2011,20.6,1918,42,208000010,"","Det radikale venstre","Radical Liberals (Left)","","","DNK"
"Denmark",208,"enhedslisten - de rød-grønne",11,1990,2011,6.6,2011,7,208000011,"","Enhedslisten - de Rød-Grønne","Red-Green-Unitary List","","","DNK"
"Denmark",208,"erhverspartiet",12,1920,1920,2.9,1920,2,208000012,"","Erhverspartiet","Industry and Trade Party","","","DNK"
"Denmark",208,"forenede venstre",13,1881,1884,3.2,1884,2,208000013,"","Forenede Venstre","United Left (1870-1915)","","","DNK"
"Denmark",208,"forhandlende venstre",14,1892,1909,21.2,1892,7,208000014,"","Forhandlende Venstre","Moderate Left (1892-1910)","","","DNK"
"Denmark",208,"fremskridtspartiet",15,1973,2001,15.9,1973,12,208000015,"","Fremskridtspartiet","Progress Party","","","DNK"
"Denmark",208,"højre",17,1849,1915,41.8,1866,32,208000017,"","Højre","Right; For 1860-75, it includes results of the Mellemparti (Middle Party); In general, it includes all conservative candidates.","","","DNK"
"Denmark",208,"konservative folkeparti",18,1918,2011,23.4,1984,37,208000018,"","Konservative folkeparti","Conservative People's Party","","","DNK"
"Denmark",208,"kristeligt folkeparti",19,1975,2001,5.3,1975,7,208000019,"","Kristeligt folkeparti","Christian People's Party","","","DNK"
"Denmark",208,"retsforbundet",20,1939,1957,8.2,1950,6,208000020,"","Retsforbundet","Justice Alliance (or Georgists or Single-Tax Party)","","","DNK"
"Denmark",208,"socialdemokratiet",22,1872,2011,46.1,1935,56,208000022,"","Socialdemokrater","Social Democrats","","","DNK"
"Denmark",208,"socialistisk folkeparti",23,1960,2011,14.6,1987,20,208000023,"","Socialistisk folkeparti","Socialist People's Party","","","DNK"
"Denmark",208,"venstre, danmarks liberale parti",24,1849,2011,65.9,1873,69,208000024,"","Venstre","Liberals (Left); Since 1910, it includes Forenede Venstre and Forhandlende Venstre.","","","DNK"
"Denmark",208,"venstresocialisterne",25,1977,2011,3.7,1979,9,208000025,"","Venstresocialisterne","Left Socialists (Liberal Socialists)","","","DNK"
"Denmark",208,"liberal alliance",32,2011,2011,5,2011,1,208000032,"","Liberal Alliance","Liberal Alliance","","","DNK"
"Denmark",208,"ny alliance",34,2007,2007,2.8,2007,1,208000034,"","Ny Alliance","New Alliance","","","DNK"
"Dominica",212,"dominica freedom party",1,1995,2005,35.8,1995,3,212000001,"","Dominica Freedom Party","DFP","","","DMA"
"Dominica",212,"dominica labour party",2,1995,2005,52,2005,3,212000002,"","Dominica Labour Party","DLP","","","DMA"
"Dominica",212,"united workers' party",3,1995,2005,43.7,2005,3,212000003,"","United Workers' Party","UWP","","","DMA"
"Dominican Republic",214,"bloque institucional socialdemocrata",6,1994,2006,2.5,2006,4,214000006,"BIS","Bloque Institucional Socialdemocrata","Institutional Social Democratic Bloc","","","DOM"
"Dominican Republic",214,"movimiento de conciliacion nacional",11,1970,1998,3.7,1970,5,214000011,"MCN","Movimiento de Conciliacion Nacional","Movement of National Reconciliation","","","DOM"
"Dominican Republic",214,"movimiento de integracion democratica",12,1970,1982,20.4,1970,3,214000012,"MIDA","Movimiento de Integracion Democratica","Movement of Democratic Integration","","","DOM"
"Dominican Republic",214,"movimiento municipal del pueblo",19,1974,1982,4.4,1974,2,214000019,"","Movimiento Municipal Del Pueblo","","","","DOM"
"Dominican Republic",214,"movimiento nacional de la juventud",21,1970,1970,4.3,1970,1,214000021,"MNJ","Movimiento Nacional de la Juventud","National Youth Movement","","","DOM"
"Dominican Republic",214,"movimiento voluntad popular",27,1974,1974,5,1974,1,214000027,"","Movimiento Voluntad Popular","","","","DOM"
"Dominican Republic",214,"partido de la liberacion dominicana",33,1978,2006,46.4,2006,7,214000033,"PLD","Partido de la Liberacion Dominicana","Dominican Liberation Party","","","DOM"
"Dominican Republic",214,"partido democrata popular",38,1974,2006,13.9,1974,5,214000038,"PDP","Partido Democrata Popular","Popular Democratic Party","","","DOM"
"Dominican Republic",214,"partido liberal de la republica dominicana (la estructura)",42,1986,2006,5.3,1986,2,214000042,"PLRD (LE)","Partido Liberal de la Republica Dominicana (La Estructura)","Liberal Party of the Dominican Republic","","","DOM"
"Dominican Republic",214,"partido nacionalista revolucionario democratico",46,1962,1966,3.5,1962,2,214000046,"PNRD","Partido Nacionalista Revolucionario Democratico","Democratic Revolutionary Nationalist Party","","","DOM"
"Dominican Republic",214,"partido quiqueyano democrata",49,1970,2002,13.6,1970,7,214000049,"PQD","Partido Quiqueyano Democrata","Democratic Quisqueyano Party","","","DOM"
"Dominican Republic",214,"partido reformista",51,1966,1982,56.5,1966,4,214000051,"PR","Partido Reformista","Reformist Party","","","DOM"
"Dominican Republic",214,"partido reformista - movimiento nacional de la juventud",52,1974,1974,76.7,1974,1,214000052,"PR-MNJ","Partido Reformista - Movimiento Nacional de la Juventud","","","","DOM"
"Dominican Republic",214,"partido reformista social cristiano",53,1986,2006,40.5,1986,5,214000053,"PRSC","Partido Reformista Social Cristiano","Social Christian Reformist Party","","","DOM"
"Dominican Republic",214,"partido revolucionario dominicano",55,1962,2006,56.7,1962,9,214000055,"PRD","Partido Revolucionario Dominicano","Dominican Revolutionary Party","","","DOM"
"Dominican Republic",214,"partido revolucionario independiente",57,1994,2006,2.5,1994,4,214000057,"PRI","Partido Revolucionario Independiente","Independent Revolutionary Party","","","DOM"
"Dominican Republic",214,"partido revolucionario social cristiano",58,1962,1978,5.2,1962,4,214000058,"PRSC","Partido Revolucionario Social Cristiano","Social Christian Revolutionary Party","","","DOM"
"Dominican Republic",214,"unidad democrática",63,1986,1998,2.4,1994,3,214000063,"UD","Unidad Democrática","Democratic Unity","","","DOM"
"Dominican Republic",214,"union civica nacional",64,1962,1982,30.2,1962,4,214000064,"UCN","Union Civica Nacional","National Civic Union","","","DOM"
"Ecuador",218,"Coalición Institucionalista Democrata",2,1979,1979,6.3,1979,1,218000002,"","Coalición Institucionalista Democrata","Democrat Institutionalist Coalition","","","ECU"
"Ecuador",218,"Concentración de Fuerzas Populares",3,1979,2006,31,1979,4,218000003,"","Concentración de Fuerzas Populares","Concentration of Popular Forces","","","ECU"
"Ecuador",218,"Democracia Popular",4,1984,1998,19,1998,6,218000004,"","Democracia Popular","Popular Democracy","","","ECU"
"Ecuador",218,"Frente Amplio de Izquierda",5,1988,1988,6.9,1988,1,218000005,"","Frente Amplio de Izquierda","Broad Left Front","","","ECU"
"Ecuador",218,"Frente Radical Alfarista",7,1984,1998,8,1984,4,218000007,"","Frente Radical Alfarista","Alfarista Radical Front","","","ECU"
"Ecuador",218,"Movimiento Alianza País, Patria Altiva I Soberana",14,2013,2013,52.3,2013,1,218000014,"","Movimiento Alianza País, Patria Altiva I Soberana","Country Alliance Movement, Altiva I Sovereign Fatherland","","","ECU"
"Ecuador",218,"Movimiento Ciudadano Nuevo País",17,1998,2006,9.2,1998,2,218000017,"","Movimiento Ciudadano Nuevo País","New Country Citizens' Movement","","","ECU"
"Ecuador",218,"Movimiento Creo, Creando Oportunidades",20,2013,2013,11.4,2013,1,218000020,"","Movimiento Creo, Creando Oportunidades","Grow, Creating Opportunities Movement","","","ECU"
"Ecuador",218,"Movimiento Red Ética y Democracia",30,2006,2006,3.6,2006,1,218000030,"","Movimiento Red Ética y Democracia","Web Ethics and Democracy Movement","","","ECU"
"Ecuador",218,"Movimiento Ruptura",33,2013,2013,2.5,2013,1,218000033,"","Movimiento Ruptura","Rupture Movement","","","ECU"
"Ecuador",218,"Movimiento Suma, Sociedad Unida Más Acción",34,2013,2013,3,2013,1,218000034,"","Movimiento Suma, Sociedad Unida Más Acción","Sum, More Action United Society Movement","","","ECU"
"Ecuador",218,"Movimiento Unidad Plurinacional Pachakutik-Nuevo Pais",39,1996,2006,10.8,1996,2,218000039,"","Movimiento Unidad Plurinacional Pachakutik-Nuevo Pais","Multinational Unity Movement of Pachakutik-New Country","","","ECU"
"Ecuador",218,"Partido Acción Popular Revolucionaria Ecuatoriana",44,1996,1996,3,1996,1,218000044,"","Partido Acción Popular Revolucionaria Ecuatoriana","Ecuadorian Revolutionary Popular Action Party","","","ECU"
"Ecuador",218,"Partido Avanza",45,2013,2013,2.9,2013,1,218000045,"","Partido Avanza","Advance Party","","","ECU"
"Ecuador",218,"Partido Conservador Ecuatoriano",46,1979,1998,7.8,1979,5,218000046,"","Partido Conservador Ecuatoriano","Ecuadorian Conservative Party","","","ECU"
"Ecuador",218,"Partido Demócrata",47,1984,1984,9.1,1984,1,218000047,"","Partido Demócrata","Democrat Party","","","ECU"
"Ecuador",218,"Partido Izquierda Democratica",48,1979,2006,21.8,1988,8,218000048,"","Partido Izquierda Democratica","Democratic-Left Party","","","ECU"
"Ecuador",218,"Partido Liberal Radical",49,1979,1979,8,1979,1,218000049,"","Partido Liberal Radical","Radical Liberal Party","","","ECU"
"Ecuador",218,"Partido Movimiento Popular Democrática",50,1979,2006,6.1,1984,7,218000050,"","Partido Movimiento Popular Democrática","Popular Democratic Movement Party","","","ECU"
"Ecuador",218,"Partido Nacionalista Revolucionario",51,1979,1979,7.5,1979,1,218000051,"","Partido Nacionalista Revolucionario","Revolutionary Nationalist Party","","","ECU"
"Ecuador",218,"Partido Renovador Institucional Acción Nacional",52,2006,2013,16.3,2006,2,218000052,"","Partido Renovador Institucional Acción Nacional","National Institutional Action Renewal Party","","","ECU"
"Ecuador",218,"Partido Roldosista Ecuatoriano",53,1984,2013,20.4,1996,8,218000053,"","Partido Roldosista Ecuatoriano","Ecuadorian Roldosista Party","","","ECU"
"Ecuador",218,"Partido Social Cristiano",54,1979,2013,30.4,1996,9,218000054,"","Partido Social Cristiano","Christian Social Party","","","ECU"
"Ecuador",218,"Partido Socialista - Frente Amplio",55,2006,2013,2.7,2006,2,218000055,"","Partido Socialista - Frente Amplio","Socialist Party - Broad Front","","","ECU"
"Ecuador",218,"Partido Socialista Ecuatoriana",56,1990,1992,8.9,1990,2,218000056,"","Partido Socialista Ecuatoriana","Ecuadorian Socialist Party","","","ECU"
"Ecuador",218,"Partido Sociedad Patriótica",57,2006,2013,8.1,2006,2,218000057,"","Partido Sociedad Patriótica","Patriotic Society Party","","","ECU"
"Ecuador",218,"Partido Unidad Republicana",58,1992,1992,17.6,1992,1,218000058,"","Partido Unidad Republicana","Republican Unity Party","","","ECU"
"Ecuador",218,"Partido Union Democrata Cristiana",59,2006,2006,5.3,2006,1,218000059,"","Partido Union Democrata Cristiana","Democratic Christian Union Party","","","ECU"
"El Salvador",222,"Christian Democratic Party",1,1994,2009,17.9,1994,6,222000001,"","Partido Demócrata Cristiano","Christian Democratic Party","","","SLV"
"El Salvador",222,"Christian Social Renewal Party",3,1997,1997,3.6,1997,1,222000003,"","Partido Renovación Social Cristiano","Christian Social Renewal Party","","","SLV"
"El Salvador",222,"Democratic Change",6,2006,2012,3.1,2006,3,222000006,"","Cambio Demócratico","Democratic Change","","","SLV"
"El Salvador",222,"Democratic Convergence",7,1994,1997,4.4,1994,2,222000007,"","Convergencia Demócratica","Democratic Convergence","","","SLV"
"El Salvador",222,"Democratic Liberal Party",8,1997,2000,3.2,1997,2,222000008,"","Partido Liberal Democrático","Democratic Liberal Party","","","SLV"
"El Salvador",222,"Farabundo Martí National Liberation Front",10,1994,2012,42.6,2009,7,222000010,"","Frente Farabundo Martí para la Liberación Nacional","Farabundo Martí National Liberation Front","","","SLV"
"El Salvador",222,"Grand Alliance for National Unity",12,2012,2012,9.6,2012,1,222000012,"","Gran Alianza por la Unidad Nacional","Grand Alliance for National Unity","","","SLV"
"El Salvador",222,"National Action Party",14,2000,2003,3.7,2000,2,222000014,"","Partido Acción Nacional","National Action Party","","","SLV"
"El Salvador",222,"National Coalition",15,2012,2012,6.4,2012,1,222000015,"","Concertación Nacional","National Coalition","","","SLV"
"El Salvador",222,"National Conciliation Party",16,1994,2009,13,2003,6,222000016,"","Partido de Conciliación Nacional","National Conciliation Party","","","SLV"
"El Salvador",222,"National Republican Alliance",18,1994,2012,45,1994,7,222000018,"","Alianza Republicana Nacionalista","National Republican Alliance","","","SLV"
"El Salvador",222,"Political Party of Hope",20,2012,2012,2.2,2012,1,222000020,"","Partido Politico de la Esperanza","Political Party of Hope","","","SLV"
"El Salvador",222,"United Democratic Center",29,2000,2003,6.3,2003,2,222000029,"","Centro Democrático Unido","United Democratic Center","","","SLV"
"El Salvador",222,"Unity Movement",30,1994,1997,2.5,1994,2,222000030,"","Movimiento de Unidad","Unity Movement","","","SLV"
"Equatorial Guinea",226,"convención liberal democrática",1,1993,1993,2.5,1993,1,226000001,"CLD","Convención Liberal Democrática","Liberal Democratic Convention","","","GNQ"
"Equatorial Guinea",226,"convergencia socialdemocráta popular",2,1993,1993,10.3,1993,1,226000002,"CSDP","Convergencia Socialdemocráta Popular","Social Democratic People Convention","","","GNQ"
"Equatorial Guinea",226,"partido democrático de guinea ecuatorial",3,1993,1993,69.8,1993,1,226000003,"PDGE","Partido Democrático de Guinea Ecuatorial","Democratic Party of Equatorial Guinea","","","GNQ"
"Equatorial Guinea",226,"partido liberal",4,1993,1993,6.4,1993,1,226000004,"PL","Partido Liberal","Liberal Party","","","GNQ"
"Equatorial Guinea",226,"unión demócrata social",8,1993,1993,7.4,1993,1,226000008,"UDS","Unión Demócrata Social","Social Democratic Union","","","GNQ"
"Estonia",233,"eesti ettevõtjate erakond",3,1992,1992,2.4,1992,1,233000003,"","Eesti Ettevõtjate Erakond","Estonian Entrepreneurs' Party","","","EST"
"Estonia",233,"eesti keskerakond",6,1995,2011,26.1,2007,5,233000006,"","Eesti Keskerakond","Estonian Centre Party","","","EST"
"Estonia",233,"eesti koonderakond",7,1999,1999,7.6,1999,1,233000007,"","Eesti Koonderakond","Estonian Coalition Party including Estonian Country League (Eesti Maaliit, EML) and Estonian Party of Pensioners and Families (Eesti Pensionäride ja Perede Erakond, EPPE)","","","EST"
"Estonia",233,"eesti kristlik rahvapartei",8,1999,2003,2.4,1999,2,233000008,"","Eesti Kristlik Rahvapartei","Estonian Christian People's Party","","","EST"
"Estonia",233,"eesti maarahva erakond",9,1999,1999,7.3,1999,1,233000009,"","Eesti Maarahva Erakond","Estonian Country People's Party","","","EST"
"Estonia",233,"eesti pensionäride liit",10,1992,1992,3.7,1992,1,233000010,"","Eesti Pensionäride Liit","Estonian Pensioner's Union","","","EST"
"Estonia",233,"eesti rahvusliku sõltumatuse partei",12,1992,1992,8.8,1992,1,233000012,"","Eesti Rahvusliku Sõltumatuse Partei","Estonian National Independence Party","","","EST"
"Estonia",233,"eesti reformierakond",13,1995,2011,28.6,2011,5,233000013,"","Eesti Reformierakond","Estonian Reform Party","","","EST"
"Estonia",233,"eestimaa rahvaliit",18,2003,2011,13,2003,3,233000018,"","Eestimaa Rahvaliit","Estonian People's Union","","","EST"
"Estonia",233,"eestimaa Ühendatud rahvapartei",19,1999,1999,6.1,1999,1,233000019,"","Eestimaa Ühendatud Rahvapartei","Estonian United People's Party; a joint list of Russian parties plus Estonian Social Democratic Labour Party","","","EST"
"Estonia",233,"Erakond Eestimaa Rohelised",21,2007,2011,7.1,2007,2,233000021,"","Erakond Eestimaa Rohelised","Estonian Greens","","","EST"
"Estonia",233,"Erakonda Isamaa Ja Res Publica Liit",22,2007,2011,20.5,2011,2,233000022,"","Erakond Isamaa Ja Res Publica Liit","Union of Pro Patria and Res Publica","","","EST"
"Estonia",233,"erakond isamaaliit",23,1999,2003,16.1,1999,2,233000023,"","Erakond Isamaaliit","Pro Patria","","","EST"
"Estonia",233,"mõõdukad",28,1999,1999,15.2,1999,1,233000028,"","Mõõdukad","Moderates","","","EST"
"Estonia",233,"parempoolsed",30,1995,1995,5,1995,1,233000030,"","Parempoolsed","People's Party of Republicans and Conservatives (aka. Right-wingers. )","","","EST"
"Estonia",233,"põllumeeste kogu",31,1992,1999,2.9,1992,2,233000031,"","Põllumeeste Kogu","Farmers' Union","","","EST"
"Estonia",233,"rahvaerakond mõõdukad",32,2003,2003,7,2003,1,233000032,"","Rahvaerakond Mõõdukad","People's Party Moderates","","","EST"
"Estonia",233,"Sotsiaaldemokraatilik Erakond",33,2007,2011,17.1,2011,2,233000033,"","Sotsiaaldemokraatlik Erakond","Social Democratic Party","","","EST"
"Estonia",233,"tuleviku eesti erakond",34,1995,1995,2.6,1995,1,233000034,"","Tuleviku Eesti Erakond","Future Estonia Party","","","EST"
"Estonia",233,"Ühendus vabariigi eest - res publica",35,2003,2003,24.6,2003,1,233000035,"","Ühendus Vabariigi Eest - Res Publica","Union for the Republic - Res Publica","","","EST"
"Estonia",233,"eestimaa Ühendatud rahvapartei",36,1992,2003,2.2,2003,2,233000036,"","Vasakvõimalus","Left Alternative","","","EST"
"Estonia",233,"vene erakond eestis",37,1999,2011,2,1999,4,233000037,"","Vene Erakond Eestis","Russian Party in Estonia","","","EST"
"Finland",246,"demokraattinen vaihtoehto",1,1987,1987,4.3,1987,1,246000001,"","Demokraattinen vaihtoehto","Democratic Alternative","","","FIN"
"Finland",246,"isänmaallinen kansanliike",2,1936,1939,8.3,1936,2,246000002,"","Isänmaallinen kansanliike","Patriotic People's Movement","","","FIN"
"Finland",246,"kansallinen edistyspuolue",3,1919,1948,13.8,1919,11,246000003,"","Kansallinen edistyspuolue","National Progressive Party","","","FIN"
"Finland",246,"kansallinen kokoomuspuolue",4,1919,2007,23.2,1987,26,246000004,"","Kansallinen kokoomuspuolue","National Coalition Party","","","FIN"
"Finland",246,"keskustapuolue",6,1966,1987,21.2,1966,6,246000006,"","Keskustapuolue","Centre Party","","","FIN"
"Finland",246,"liberaalinen kansanpuolue",7,1966,1999,6.5,1966,6,246000007,"","Liberaalinen kansanpuolue","Liberal People's Party","","","FIN"
"Finland",246,"maalaisliitto",8,1907,1962,27.3,1930,23,246000008,"","Maalaisliitto","Agrarian Union","","","FIN"
"Finland",246,"nuorsuomalaienen puolue",9,1907,1916,14.9,1911,7,246000009,"","Nuorsuomalaienen puolue","Young Finns","","","FIN"
"Finland",246,"pientalonpojat",10,1962,1962,2.2,1962,1,246000010,"","Pientalonpojat","Small Holders' Party","","","FIN"
"Finland",246,"ruotsalainen kansanpuolue-svenska folkspartiet",11,1907,2007,13.5,1910,35,246000011,"","Ruotsalainen kansanpuolue-Svenska Folkspartiet","Swedish People's Party","","","FIN"
"Finland",246,"sosialistinen työväen ja pienviljelijäin puolue",13,1929,1929,13.5,1929,1,246000013,"","Sosialistinen työväen ja pienviljelijäin puolue","Socialist Workers' and Small Holders' Party","","","FIN"
"Finland",246,"suomalainen puolue",14,1907,1917,30.2,1917,8,246000014,"","Suomalainen puolue","Finnish Party (or Old Finns or compilers)","","","FIN"
"Finland",246,"suomen kansan demokraattinen liitto",15,1945,1987,23.2,1945,13,246000015,"","Suomen kansan demokraattinen liitto","People's Democratic Movement","","","FIN"
"Finland",246,"suomen kansanpuolue",17,1951,1962,7.9,1954,4,246000017,"","Suomen kansanpuolue","Finnish People's Party","","","FIN"
"Finland",246,"suomen keskusta",18,1991,2007,24.9,1991,5,246000018,"","Suomen Keskusta","Finnish Center","","","FIN"
"Finland",246,"suomen kristillinen liitto",19,1975,1999,4.8,1979,6,246000019,"","Suomen kristillinen liitto","Christian League","","","FIN"
"Finland",246,"suomen kristillinen työväen puolue",20,1907,1917,2.7,1909,8,246000020,"","Suomen Kristillinen Työväen Puolue","Christian Labour Union","","","FIN"
"Finland",246,"suomen maaseudun puolue",21,1970,1991,10.5,1970,7,246000021,"","Suomen maaseudun puolue","Rural Party","","","FIN"
"Finland",246,"suomen pienviljelijäin puolue",23,1930,1945,3.4,1933,5,246000023,"","Suomen pienviljelijäin puolue","Finnish Small Holders' Party","","","FIN"
"Finland",246,"suomen sosialidemokraattinen puolue",24,1907,2007,47.3,1916,35,246000024,"","Suomen sosialidemokraattinen puolue","Social Democratic Party","","","FIN"
"Finland",246,"suomen sosialistinen työväenpuolue",25,1922,1922,14.8,1922,1,246000025,"","Suomen sosialistinen työväenpuolue","Finnish Socialist Workers' Party","","","FIN"
"Finland",246,"suomen työväenpuolue",26,1924,1927,12.1,1927,2,246000026,"","Suomen työväenpuolue","Finnish Labour Party","","","FIN"
"Finland",246,"työväen ja pienviljelijäin sosialidemokraattinen liitto",27,1962,1966,4.4,1962,2,246000027,"","Työväen ja pienviljelijäin sosialidemokraattinen liitto","Social Democratic League of Workers and Small Holders","","","FIN"
