country,name_short,name_english,year_first,year_last,party_id,partyfacts_id
POL,,Polish Western Union,1991,1993,92711,2890
POL,SRP,Self-Defence of the Polish Republic,1993,2011,92622,727
POL,UP,Union of Labour,1991,2007,92322,1104
POL,,Union of Real Politics,1991,2001,92432,283
PRT,,Democratic Renewal Party,1985,1995,35312,1600
PRT,,Ecologist Party ‘The Greens',1983,2016,35110,886
PRT,,Left Bloc,1999,2016,35211,1310
PRT,,National Solidarity Party,1991,2002,35951,181
PRT,,Popular Democratic Movement,1975,1987,35310,1688
PRT,,Popular Democratic Union,1975,1999,35210,896
PRT,AD-PPM,Popular Monarchist Party,1975,1985,35710,1480
PRT,,Portuguese Communist Party,1975,2015,35220,310
PRT,AD-CDS,Social Democratic Center-Popular Party,1975,2016,35520,1308
PRT,AD-PSD,Social Democratic Party,1975,2016,35313,1359
PRT,PS,Socialist Party,1975,2016,35311,655
PRT,MFA,,1974,2016,35999,
ROU,PNTCD,Christian Democratic National Peasants’ Party,1990,2016,93521,1750
ROU,ADP,Democratic Agrarian Party of Romania,1990,1996,93810,1085
ROU,,Democratic Group of the Centre,1990,1992,93529,477
ROU,DP,Democratic Party - National Salvation Front,1990,2016,93221,1715
ROU,REM,Ecological Movement of Romania,1990,1996,93111,1511
ROU,,Greater Romania Party,1992,2012,93712,1305
ROU,UDMR,Hungarian Democratic Alliance of Romania,1990,2016,93951,1105
ROU,NLP,National Liberal Party,1990,2016,93430,874
ROU,,People's Party - Dan Dianconescu,2013,2016,93981,2474
ROU,,Romanian Ecological Party,1990,2008,93112,1373
ROU,RNUP,Romanian National Unity Party,1990,2008,93711,1451
ROU,PSDR,Romanian Social Democratic Party,1990,2000,93320,1034
ROU,,Romanian Socialist Democratic Party,1990,1996,93222,1078
ROU,FDSN,Social Democratic Pole of Romania,1989,2016,93223,276
ROU,,Socialist Labour Party,1992,2004,93713,1217
ROU,PC,,2001,2016,93003,
ROU,UNPR,,2010,2016,93004,
SVK,ANO,Alliance of the New Citizen,2002,2010,96424,217
SVK,Most-Hid,Bridge,2010,2016,96955,258
SVK,KDH,Christian Democratic Movement,1990,2016,96521,63
SVK,,Communist Party of Slovakia,1994,2010,96222,340
SVK,,Democratic Party,1990,1998,96420,983
SVK,DUS,Democratic Union of Slovakia,1994,1998,96421,707
SVK,Smer-SD,Direction-Social Democracy,2002,2016,96423,311
SVK,SAS,Freedom and Solidarity,2010,2016,96440,1386
SVK,,Green Party of Slovakia,1990,1994,96111,1569
SVK,SMK,Hungarian Coalition,1990,2016,96952,349
SVK,HZDS,Movement for a Democratic Slovakia,1992,2012,96711,560
SVK,,Ordinary People and Independent Personalities,2012,2016,96620,2130
SVK,SOP,Party of Civic Understanding,1998,2004,96422,9
SVK,KSCS,Party of the Democratic Left,1989,2006,96220,1242
SVK,PAV,Public Against Violence,1990,1992,96430,5
SVK,SDK,Slovak Democratic and Christian Union - Democartic Party,1998,2016,96523,582
SVK,SNS,Slovak National Party,1990,2016,96710,730
SVK,ZRS,Workers’ Association of Slovakia,1994,2002,96210,230
SVN,DeSUS,Democratic Party of Pensioners of Slovenia,1996,2016,97951,467
SVN,DSS,Democratic Party of Slovenia,1990,1996,97430,1479
SVN,Zares,For Real,2008,2014,97440,474
SVN,ZS,Greens of Slovenia,1990,1996,97110,1494
SVN,LGV,Gregor Virant's Civic List,2012,2014,97450,98
SVN,LDS,Liberal Democracy of Slovenia,1990,2014,97421,975
SVN,NSi,New Slovenian Christian People’s Party,2000,2016,97522,1618
SVN,,Party of Slovenian Youth,2000,2008,97952,1401
SVN,SKD,Slovenian Christian Democrats,1990,2000,97520,644
SVN,SDS,Slovenian Democratic Party,1990,2016,97330,472
SVN,,Slovenian National Party,1993,2016,97710,96
SVN,SKZ,Slovenian People's Party,1990,2016,97521,764
SVN,SD,Social Democratic Party,1990,2016,97322,
SVN,PS,Zoran Janković's List - Positive Slovenia,2012,2016,97340,1773
SVN,SMC,,2014,2016,97001,
SVN,ZaAB,,2014,2016,97002,
SVN,LDSt,,1990,2016,97999,
SWE,BF/CP,Centre Party,1944,2016,11810,199
SWE,KD,Christian Democratic Community Party,1964,2016,11520,651
SWE,MP,Green Ecology Party,1982,2016,11110,456
SWE,,Left Party,1944,2016,11220,830
SWE,FP,Liberals,1944,2016,11420,1274
SWE,M,Moderate Coalition Party,1944,2016,11620,690
SWE,,New Democracy,1991,2006,11951,343
SWE,SDA,Social Democratic Labour Party,1944,2016,11320,487
SWE,S,Sweden Democrats,1988,2016,11710,409
USA,DEM,Democratic Party,1945,2016,61320,432
USA,REP,Republican Party,1947,2016,61620,809
