country,partyfacts_id,name_short,name,name_english,left_right,year_first,year_last,share,share_year,tags
CZE,1796,OH,Obcanské hnuti,Civic Movement,-0.13,1991,1994,4.6,1992,"tags position: centre // centre-left
tags ideology: liberalism // social liberalism // [ national liberalism ] // environmentalism
tags used: 5"
CZE,8109,OKSZP,Országos Keresztényszocialista Párt,Provincial Christian-Socialist Party // Hungarian National and German Party,1.27,1919,1936,1.2,1925,"tags position: right-wing
tags ideology: [ catholic church and politics ] // [ hungarian irredentism ] // anti-communism
tags used: 2"
CZE,9002,P,Přísaha,Oath,0.1,2021,2018,4.7,2021,"tags position: centre // big tent
tags ideology: [ anti-corruption ] // populism
tags used: 3"
CZE,972,RMS,Republikanska Miroslava Sladka,Republicans of Miroslav Sladek,1.68,2001,2013,0.9,2002,"tags position: right-wing // far-right
tags ideology: national conservatism // [ austrian school ] // euroscepticism // [ opposition to immigration ] // [ non-interventionism ] // [ anti-romani sentiment ] // [ anti-german sentiment ] // [ czech nationalism ]
tags used: 4"
CZE,5246,RSZML/AS,Republikánská strana zemědělského a malorolnického lidu // Agrární strana,Republican Party of Farmers and Peasants // Agrarian Party,0.74,1899,1938,15,1929,"tags position: centre-right
tags ideology: agrarianism // conservatism
tags used: 3"
CZE,1657,SPR — RSČ,Sdružení pro Republiku — Republikánská strana Československa,Coalition for Republic — Republican Party of Czechoslovakia,1.67,1989,2001,8,1996,"tags position: right-wing // far-right
tags ideology: national conservatism // [ austrian school ] // euroscepticism // [ opposition to immigration ] // [ non-interventionism ] // [ anti-romani sentiment ] // [ anti-german sentiment ] // [ czech nationalism ]
tags used: 4"
CZE,751,SNK-ED,SNK Evropští demokraté,SNK European Democrats,0.36,2006,2018,2.1,2006,"tags position: centre // centre-right
tags ideology: liberal conservatism // pro-europeanism
tags used: 4"
CZE,1707,SN — VA,Starostové a Nezávislí — Vaše Alternativa,Mayors and Independents — Your Option,0.17,2009,2018,5.2,2017,"tags position: centre // reuters // centre-right
tags ideology: liberalism
tags used: 4"
CZE,8229,SNJ,Strana národní jednoty or Strana národního sjednocení,Party of National Unity,1.37,1938,1939,,,"tags position: right-wing // far-right
tags ideology: nationalism // conservatism // [ authoritarianism ]
tags used: 4"
CZE,1272,SPOZ / SPO,Strana Práv Občanů — Zemanovci / Strana Práv Občanů,Party of Civic Rights — Zeman's people / Party of Civic Rights,-0.62,2009,2018,4.3,2010,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
CZE,254,SSO,Strana svobodných občanů,Party of Free Citizens,0.87,2009,2018,2.5,2013,"tags position: right-wing
tags ideology: classical liberalism // [ right-libertarianism ] // [ libertarian conservatism ] // liberal conservatism // national conservatism // euroscepticism
tags used: 5"
CZE,8923,SZR,Strana zdravého rozumu,Party of Common Sense,1.17,2002,2018,1.6,2014,"tags position: right-wing
tags ideology: nationalism // conservatism // euroscepticism // [ opposition to immigration ]
tags used: 4"
CZE,1554,SZ,Strana zelených,Green Party,-0.28,1989,2018,6.3,2006,"tags position: centre-left
tags ideology: green politics // social liberalism // pro-europeanism
tags used: 4"
CZE,293,S — JB,Suverenita — blok Jany Bobošíkové,Sovereignty — Jana Bobosikova Bloc,2.13,2009,2018,3.7,2010,"tags position: far-right
tags ideology: [ ultranationalism ] // social conservatism // right-wing populism // euroscepticism
tags used: 4"
CZE,6125,SPD,Svoboda a přímá demokracie,Freedom and Direct Democracy,1.72,2015,2018,10.6,2017,"tags position: right-wing // far-right
tags ideology: right-wing populism // [ czech nationalism ] // [ direct democracy ] // [ opposition to immigration ] // [ criticism of islam ] // euroscepticism
tags used: 4"
CZE,223,TOP09,Tradice Odpovědnost Prosperita 09,Tradition Responsibility Prosperity 09,0.31,2010,2018,16.7,2010,"tags position: centre-right
tags ideology: liberal conservatism // christian democracy // liberalism // pro-europeanism
tags used: 5"
CZE,9003,Tri,Trikolóra,Tricolour Citizens' Movement,1.56,2019,2018,2.8,2021,"tags position: right-wing
tags ideology: national conservatism // social conservatism // [ fiscal conservatism ] // [ laissez-faire ] // euroscepticism
tags used: 4"
CZE,905,US,Unie svobody,Freedom Union,0.54,1990,2001,8.6,1998,"tags position: centre-right
tags ideology: [ liberalism in the czech lands ] // liberal conservatism
tags used: 2"
CZE,104,US/DEU,Unie svobody / Demokratická unie,Freedom Union / Democratic Union,0.54,2001,2004,8.6,1998,"tags position: centre-right
tags ideology: [ liberalism in the czech lands ] // liberal conservatism
tags used: 2"
CZE,2049,UPD,Úsvit přímé demokracie,Dawn of Direct Democracy,1.98,2011,2018,6.9,2013,"tags position: far-right
tags ideology: right-wing populism // [ direct democracy ] // euroscepticism
tags used: 3"
CZE,1202,VV,Věci veřejné,Public Affairs,0.48,2001,2015,10.9,2010,"tags position: centre-right
tags ideology: conservative liberalism // [ direct democracy ] // populism
tags used: 3"
CZE,6305,VPN,Verejnosť proti násiliu,Public Against Violence,0.08,1989,1991,10.4,1990,"tags position: centre
tags ideology: liberalism // pro-europeanism
tags used: 3"
DNK,4070,A,Alternativet,The Alternative,-0.66,2015,2018,4.7,2015,"tags position: centre-left // europe elects // left-wing
tags ideology: green politics // progressivism // pro-europeanism
tags used: 6"
DNK,800,CD,Centrumdemokraterne,Centre Democrats,-0.08,1976,2005,8.3,1981,"tags position: centre
tags ideology: [ centre ] // social democracy // liberal conservatism
tags used: 3"
DNK,277,DKP,Danmarks Kommunistiske Parti,Communist Party of Denmark,-2.23,1919,2018,12.5,1945,"tags position: far-left
tags ideology: communism // marxism-leninism
tags used: 3"
DNK,1900,DNSAP,Danmarks Nationalsocialistiske Arbejderparti,National Socialist Workers’ Party of Denmark,1.66,1930,1945,2.1,1943,"tags position: far-right
tags ideology: nationalism // [ nazism ] // [ fascism ] // [ collaboration with the axis powers ] // [ antisemitism ]
tags used: 2"
DNK,1022,DF,Dansk Folkeparti,Danish Peoples Party,1.7,1995,2018,20.6,2015,"tags position: right-wing
tags ideology: nationalism // national conservatism // right-wing populism // euroscepticism
tags used: 5"
DNK,637,DS,Dansk Samling,Danish Union,0.37,1945,1953,3.1,1945,"tags position: right-wing
tags ideology: [ not found. ] // national conservatism // [ christian nationalism ] // third way // euroscepticism
tags used: 4"
DNK,1507,RV,Det Radikale Venstre,Danish Social-Liberal Party / Radical Liberal Party,-0.2,1905,2018,20.7,1918,"tags position: centre // reuters // centre-left // deutsche welle
tags ideology: social liberalism
tags used: 5"
DNK,932,DU,De Uafhængige,Independents Party,0.48,1953,1973,3.3,1960,"tags position: centre-right
tags ideology: classical liberalism // [ elitism ]
tags used: 2"
DNK,1527,Enh,Enhedslisten / De Rød-Grønne,Red-Green Alliance,-1.33,1989,2018,7.6,2015,"tags position: left-wing // europe elects // google books // far-left
tags ideology: socialism // [ eco-socialism ] // euroscepticism // democratic socialism
tags used: 7"
DNK,1676,FK,Fælles Kurs,Common Course,-1.64,1987,1990,2.2,1987,"tags position: left-wing // far-left
tags ideology: communism // euroscepticism
tags used: 4"
DNK,1601,FrP,Fremskridtspartiet,Progress Party,1.64,1973,2018,15.9,1973,"tags position: far-right
tags ideology: right-wing populism // [ islamophobia ] // economic liberalism
tags used: 3"
DNK,536,KF,Konservative Folkeparti,Conservative People's Party,0.66,1915,2018,23.7,1901,"tags position: centre-right
tags ideology: conservatism // liberal conservatism
tags used: 3"
DNK,53,KrF/KD,Kristeligt Folkeparti / Kristendemokraterne,Christian People's Party / Christian Democrats,0.29,1970,2018,5.3,1975,"tags position: centre // centre-right
tags ideology: christian democracy // social conservatism // environmentalism
tags used: 5"
DNK,7339,NB,Nye Borgerlige,The New Right,1.54,2015,2018,2.4,2019,"tags position: right-wing // far-right
tags ideology: conservatism // national conservatism // economic liberalism // nationalism // right-wing populism // euroscepticism // [ opposition to immigration ] // [ islamophobia ]
tags used: 8"
DNK,212,LA,[Ny] Liberal Alliance,[New] Liberal Alliance,0.78,2007,2018,7.4,2015,"tags position: centre-right // right-wing
tags ideology: classical liberalism // [ right-libertarianism ] // euroscepticism
tags used: 4"
DNK,6651,Siumut,Siumut,Forward,-0.61,1971,2018,5.6,1979,"tags position: centre-left
tags ideology: social democracy // [ the west australian ] // [ greenlandic independence ] // [ dr (broadcaster) ]
tags used: 2"
DNK,1200,SP,Slesvigsk Parti,Schleswig Party,0.11,1950,1977,0.8,1926,"tags position: centre
tags ideology: regionalism // [ ethnic party ]
tags used: 2"
DNK,379,SD,Socialdemokraterne,Social Democrats,-0.78,1871,2018,46.1,1935,"tags position: centre-left
tags ideology: social democracy // democratic socialism
tags used: 3"
DNK,329,SF,Socialistisk Folkeparti,Socialist Peoples Party,-0.93,1959,2018,14.6,1987,"tags position: centre-left // left-wing // euronews // encyclopædia britannica
tags ideology: democratic socialism // green politics
tags used: 6"
DNK,7338,SK,Stram Kurs,Hard Line,1.71,2017,2018,1.8,2019,"tags position: far-right
tags ideology: [ ethnic nationalism ] // [ opposition to immigration ] // [ islamophobia ] // euroscepticism
tags used: 2"
DNK,1204,V,Venstre,Liberal Party,0.52,1870,2018,49.4,1903,"tags position: centre-right
tags ideology: conservative liberalism // [ nordic agrarian parties ]
tags used: 2"
DNK,1136,VS,Venstresocialisterne,Left Socialists,-1.5,1968,1987,3.7,1979,"tags position: far-left
tags ideology: socialism // [ revolutionary socialism ] // [ anti-capitalism ]
tags used: 2"
DJI,6244,FRUD,Front pour la restauration de l’unite et de la democratie,Front for the Restoration of Unity and Democracy,-0.42,1991,2018,62.7,2003,"tags position: centre-left
tags ideology: [ afar people ] // third way // [ liberal socialism ]
tags used: 2"
DJI,7543,UMP,Union pour la Majorité Présidentielle,Union for the Presidential Majority,-0.61,2003,2018,94.1,2008,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
DMA,3746,DFP,Dominica Freedom Party,Dominica Freedom Party,0.92,1995,2018,35.8,1995,"tags position: centre-right // right-wing
tags ideology: conservatism
tags used: 3"
DMA,3744,DLP,Dominica Labour Party,Dominica Labour Party,-0.61,1955,2018,52,2005,"tags position: centre-left
tags ideology: social democracy // [ labour movement ]
tags used: 2"
DOM,4184,BIS,Bloque Institucional Socialdemocrata,Institutional Social Democratic Bloc,-1,1994,2006,2.5,2006,"tags position: centre-left // left-wing
tags ideology: social democracy // left-wing populism // democratic socialism // left-wing nationalism
tags used: 6"
DOM,1225,PLD,Partido de la Liberación,Dominican Liberation Party,-0.28,1973,2018,46.4,2006,"tags position: centre // centre-left
tags ideology: social democracy // third way // social liberalism // republicanism // populism // civic nationalism
tags used: 8"
DOM,4728,PD,Partido Dominicano,Dominican Party,1.89,1931,1962,93,1947,"tags position: far-right
tags ideology: [ economic nationalism ] // right-wing populism // [ authoritarianism ]
tags used: 2"
DOM,4195,PQDC,Partido Quisqueyano Demócrata Cristiano,Quisqueyano Christian Democratic Party,0.71,1970,2002,13.6,1970,"tags position: centre-right
tags ideology: social conservatism // nationalism // christian democracy
tags used: 4"
DOM,7429,PR,Partido Reformista,Reformist Party,0.76,1963,1984,56.4,1966,"tags position: centre-right // right-wing
tags ideology: reformism // christian democracy // economic liberalism // conservatism
tags used: 6"
DOM,194,PRSC,Partido Reformista Social Cristiano,Social Christian Reformist Party,0.76,1962,2018,40.5,1986,"tags position: centre-right // right-wing
tags ideology: reformism // christian democracy // economic liberalism // conservatism
tags used: 6"
DOM,1441,PRD,Partido Revolucionario Dominicano,Dominican Revolutionary Party,-0.24,1939,2018,56.7,1962,"tags position: centre // centre-left
tags ideology: populism // third way
tags used: 4"
DOM,7544,PRM,Partido Revolucionario Moderno,Modern Revolutionary Party,-0.27,2014,2018,20.4,2016,"tags position: centre
tags ideology: social democracy // social liberalism // [ pluralism (political philosophy) ] // reformism
tags used: 4"
DOM,8346,PR,Partido Rojo,"""Red"" Party",0.74,1865,1930,,,"tags position: centre-right // right-wing
tags ideology: [ paternalistic conservatism ] // populism // [ authoritarianism ]
tags used: 3"
COD,5772,ABAKO,Alliance of Bakongo,Alliance des Bakongo,0.54,1955,1965,9.5,1960,"tags position: centre-right
tags ideology: [ congolese nationalism (democratic republic of the congo) ] // liberal conservatism
tags used: 2"
COD,6588,CONAKAT,Confédération des associations tribales du Katanga,Confederation of Tribal Associations of Katanga,1.32,1958,1965,5.4,1965,"tags position: right-wing
tags ideology: nationalism // [ tribalism ] // anti-communism
tags used: 3"
COD,6208,FR,Forces du Renouveau,Forces for Renewal,0.19,2003,2018,7.6,2006,"tags position: centre-right
tags ideology: federalism // liberalism
tags used: 3"
COD,7426,MNC-K,Mouvement national Congolais - Kalonji,Congolese National Movement - Kalonji,0.01,1959,1965,6.6,1960,"tags position:
tags ideology: [ congolese nationalism (democratic republic of the congo) ] // [ patrice lumumba ] // civic nationalism // federalism // [ tribalism ] // [ pan-africanism ]
tags used: 2"
COD,6050,MNC-L,Mouvement national Congolais - Lumumba,Congolese National Movement - Lumumba,0.01,1959,1965,23.4,1960,"tags position:
tags ideology: [ congolese nationalism (democratic republic of the congo) ] // [ patrice lumumba ] // civic nationalism // federalism // [ tribalism ] // [ pan-africanism ]
tags used: 2"
COD,5089,MLC,Mouvement pour la Liberation du Congo,Movement for the Liberation of the Congo,0.76,2003,2018,12.8,2006,"tags position: right-wing
tags ideology: [ congolese nationalism (democratic republic of the congo) ] // populism // christian democracy
tags used: 3"
COD,5598,MSR,Mouvement Social pour le Renouveau,Social Movement for Renewal,-0.61,2006,2018,5.6,2011,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
COD,5090,PPRD,Parti du Peuple pour la Reconstruction et la Démocratie,People's Party for Reconstruction and Democracy,-0.78,2002,2018,22.2,2006,"tags position: centre-left // left-wing
tags ideology: social democracy
tags used: 3"
COD,5597,PALU,Parti Lumumbiste Unifié,Unified Lumumbist Party,-1.27,1964,2018,6.8,2006,"tags position: left-wing
tags ideology: [ patrice lumumba ] // [ pan-africanism ] // [ african socialism ] // [ african nationalism ] // left-wing nationalism
tags used: 2"
COD,8946,RCD,Rassemblement Congolais pour la Démocratie,Congolese Rally for Democracy,-0.14,2003,2018,18.8,2003,"tags position: centre
tags ideology: social liberalism
tags used: 2"
COD,5092,UDPS,Union pour la Démocratie et le Progrès Social,Union for Democracy and Social Progress,-0.46,1982,2018,12.1,2011,"tags position: centre-left
tags ideology: progressivism // social democracy // democratic socialism // social liberalism
tags used: 5"
COD,6063,UNC,Union pour la nation congolaise,Union for the Congolese Nation,-0.61,2011,2015,7.7,2011,"tags position: centre-left
tags ideology: social democracy // [ liberal democracy ]
tags used: 2"
ECU,4044,PAIS,Alianza PAIS,PAIS Alliance,-0.61,2006,2018,52.3,2013,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
ECU,4348,CFP,Concentración de Fuerzas Populares,Concentration of Popular Forces,-0.41,1949,1983,30.9,1979,"tags position: centre-left
tags ideology: populism // progressivism
tags used: 3"
ECU,4198,FRA,Frente Radical Alfarista,Alfarista Radical Front,0.17,1972,1998,8,1984,"tags position: centre // centre-right
tags ideology: liberalism
tags used: 3"
ECU,8614,FE,Fuerza Ecuador,Ecuador's Force,-0.22,2014,2018,4.8,2017,"tags position: big tent // centre-left
tags ideology: populism
tags used: 3"
ECU,797,ID,Izquierda Democrática,Democratic Left,-0.35,1970,2013,21.8,1988,"tags position: centre-left
tags ideology: social democracy // third way // social liberalism
tags used: 4"
ECU,4269,CREO,"Movimiento Creo, Creando Oportunidades","Grow, Creating Opportunities Movement",0.52,2013,2018,11.4,2013,"tags position: centre-right
tags ideology: liberal conservatism // [ el país ] // classical liberalism
tags used: 3"
ECU,827,MUPP — NP,Movimiento de Unidad Plurinacional Pachakutik — Nuevo País,Pachakutik Plurinational Unity Movement — New Country,-1.03,1996,2018,10.8,1996,"tags position: left-wing
tags ideology: environmentalism // [ indigenismo ]
tags used: 2"
ECU,7487,PCE/FADI,Partido Comunista del Ecuador / Frente Amplio de Izquierda,Communist Party of Ecuador / Broad Front of the Left,-2.25,1926,1995,6.1,1986,"tags position: far-left
tags ideology: communism // marxism-leninism
tags used: 3"
ECU,4349,PCE,Partido Conservador Ecuatoriano,Ecuadorian Conservative Party,1.07,1855,2002,7.8,1979,"tags position: right-wing
tags ideology: conservatism
tags used: 2"
ECU,4270,PLRE,Partido Liberal/Partido Liberal Radical Ecuatoriano,Liberal Party/Eduadorian Radical Liberal Party,0.08,1925,2002,8,1979,"tags position: centre
tags ideology: liberalism // [ classical radicalism ]
tags used: 2"
ECU,1131,PRIAN,Partido Renovador Institucional Acción Nacional,Institutional Renewal Party of National Action,0.44,2002,2014,16.3,2006,"tags position: centre-right
tags ideology: populism
tags used: 2"
ECU,950,PSC,Partido Social Cristiano [Movimiento],Social Christian Party [Movement],0.77,1951,2018,30.4,1996,"tags position: centre-right
tags ideology: christian democracy // conservatism // social conservatism
tags used: 4"
ECU,246,PSP,Partido Sociedad Patriótica,Patriotic Society Party,0.1,2002,2018,8.1,2006,"tags position: centre-left // centre-right
tags ideology: populism // [ personalism ]
tags used: 3"
ECU,8320,PP,Progressive Party,Partido Progresista,-0.77,1883,2018,,,"tags position: centre-left
tags ideology: social democracy // progressivism // democratic socialism
tags used: 4"
ECU,885,PS — FA,Socialist Party — Broad Front,Partido Socialista — Frente Amplio,-1.29,1926,2018,6.9,1977,"tags position: left-wing
tags ideology: socialism
tags used: 2"
ECU,1405,UDC/DP,Unión Demócrata Cristiana / Democracia Popular,Christian Democratic Union / Popular Democracy,0.52,1977,2013,35,1998,"tags position: centre-right
tags ideology: [ centre ] // christian democracy // conservatism
tags used: 3"
EGY,8038,HMDI,al-Ḥizb al-Maṣrī al-Dimuqrāṭī al-Ijtmāʿī,Egyptian Social Democratic Party,-0.24,2011,2018,3.1,2011,"tags position: centre-left
tags ideology: secularism // social democracy // social liberalism // liberalism
tags used: 5"
EGY,2371,MB,al-Ikhwān al-Muslimūn,Muslim Brotherhood,1.25,1928,2018,19.8,2010,"tags position: right-wing
tags ideology: [ pan-islamism ] // [ sunni islam ] // [ islamism ] // [ al jazeera ] // conservatism // [ carnegie endowment for international peace ] // [ salafi movement ] // social conservatism // [ anti-zionism ] // anti-communism
tags used: 4"
EGY,5153,ASU,al-Ittiḥād al-Ištirākī al-ʿArabī,Arab Socialist Union,-1.18,1962,1978,100,1964,"tags position: left-wing
tags ideology: [ pan-arabism ] // [ arab nationalism ] // [ arab socialism ] // secularism // [ nasserism ] // left-wing populism
tags used: 3"
EGY,6210,EB,Al-kutla al-miṣrīya,Egyptian Bloc,-0.08,2011,2012,6.7,2011,"tags position: centre-left
tags ideology: liberalism // secularism
tags used: 3"
EGY,5871,FEP,Al Messreyoun Al Ahrar,Free Egyptians Party,0.14,2011,2018,18.5,2015,"tags position: centre // centre-right
tags ideology: [ egyptian nationalism ] // liberalism // secularism
tags used: 4"
EGY,6289,EP,El-Ghad Party,Tomorrow Party,0.03,2001,2018,7.3,2005,"tags position: centre
tags ideology: secularism // liberalism // [ liberal democracy ] // reformism
tags used: 4"
EGY,6508,LCP,Ḥizb al-aḥrār al-dustūriyyīn,Liberal Constitutional Party,-0.23,1922,1952,28,1945,"tags position: centre-left
tags ideology: [ constitutional monarchy ] // social liberalism
tags used: 2"
EGY,2370,HDW,Hizb al-Dimuqratiyah al-Wataniyah,National Democratic Party,-0.4,1978,2011,88.5,1979,"tags position: big tent
tags ideology: [ egyptian nationalism ] // [ centre ] // social democracy
tags used: 2"
EGY,5129,FJP,Ḥizb al-Ḥurriya wa al-’Adala,Freedom and Justice Party,1.15,2011,2014,47.2,2011,"tags position: right-wing
tags ideology: [ islamism ] // social conservatism // conservatism // [ mixed economy ]
tags used: 3"
EGY,2303,Wafd,Ḥizb Al-Wafd Al-Jadīd,New Wafd Party,0.48,1978,2018,12.9,1984,"tags position: centre-right
tags ideology: [ egyptian nationalism ] // civic nationalism // [ national liberalism ] // liberal conservatism // secularism // economic liberalism // conservative liberalism
tags used: 6"
EGY,7107,HAI,Ḥizb al-ʾAḥrār al-Ištirākiyyīn,Liberal Socialists Party,0.64,1976,2011,17.5,1987,"tags position: centre-right
tags ideology: [ liberalism and progressivism within islam ] // economic liberalism
tags used: 2"
EGY,6930,NFP,Nation's Future Party,Nation's Future Party,0.01,2014,2018,9.3,2015,"tags position: big tent
tags ideology: [ egyptian nationalism ] // populism // secularism // [ militarism ]
tags used: 3"
EGY,6507,SIP,Saadist Institutional Party,Saadist Institutional Party,0.09,1938,1952,47.3,1945,"tags position: centre
tags ideology: [ royalist ] // liberalism
tags used: 2"
EGY,2372,NPUP,Tagammu,National Progressive Unionist Party,-1.23,1977,2018,0.9,2008,"tags position: left-wing
tags ideology: [ nasserism ] // left-wing nationalism // democratic socialism // left-wing populism
tags used: 4"
SLV,1709,ARENA,Alianza Republicana Nacionalista,Nationalist Republican Alliance,1.15,1981,2018,45,1994,"tags position: right-wing
tags ideology: conservatism // nationalism // anti-communism // economic liberalism
tags used: 5"
SLV,1456,CD,Cambio Democrático,Democratic Change,-0.62,2005,2018,3.1,2006,"tags position: centre-left
tags ideology: social democracy // progressivism
tags used: 3"
SLV,978,FMLN,Frente Farabundo Martí para la Liberación Nacional,Farabundo Martí National Liberation Front,-1.56,1980,2018,42.6,2009,"tags position: left-wing // far-left
tags ideology: [ socialism of the 21st century ] // left-wing nationalism // left-wing populism // marxism-leninism
tags used: 5"
SLV,4224,GANA,Gran Alianza por la Unidad Nacional,Grand Alliance for National Unity,0.65,2010,2018,9.6,2012,"tags position: centre-right
tags ideology: social conservatism // economic liberalism // populism
tags used: 4"
SLV,8085,NI,Nuevas Ideas,New Ideas,0.28,2018,2018,37.8,2018,"tags position: centre // centre-right
tags ideology: populism // reformism // social conservatism
tags used: 5"
SLV,686,PCN,Partido de Conciliación [Concertación] Nacional,National Conciliation [Coalition] Party,0.78,1961,2018,6.4,2012,"tags position: centre-right
tags ideology: nationalism // [ national liberalism ] // conservatism
tags used: 3"
SLV,11,PDC,Partido Demócrata Cristiano,Christian Democratic Party,0.25,1960,2018,17.9,1994,"tags position: centre
tags ideology: christian democracy
tags used: 2"
SLV,6302,PPP,Partido Nacional Pro-Patria,"National Party of the Fatherland / National ""Pro Patria"" Party",1.42,1931,1944,100,1939,"tags position: far-right
tags ideology: [ fascism ] // anti-communism // conservatism // agrarianism // [ oligarchy ]
tags used: 4"
GNQ,3821,CPDS,Convergencia para la Democracia Social,Convergence for Social Democracy,-0.79,1990,2018,10.3,1993,"tags position: centre-left
tags ideology: democratic socialism // social democracy
tags used: 3"
GNQ,6249,IPGE,Idea Popular de Guinea Ecuatorial,Popular Idea of Equatorial Guinea,-1.14,1959,1979,22.9,1968,"tags position: left-wing
tags ideology: [ african nationalism ] // left-wing nationalism // [ decolonization ] // progressivism // [ marxism ]
tags used: 3"
GNQ,3824,PDGE,Partido Democrático de Guinea Ecuatorial,Democratic Party of Equatorial Guinea,0.16,1987,2018,69.8,1993,"tags position: big tent
tags ideology: [ african nationalism ] // [ fang people ] // [ militarism ] // [ authoritarianism ] // populism
tags used: 2"
GNQ,6454,CSDP,Social Democratic and Popular Convergence,Social Democratic and Popular Convergence,-0.79,1993,2008,10.3,1993,"tags position: centre-left
tags ideology: democratic socialism // social democracy
tags used: 3"
GNQ,6064,UP,Unión Popular de Guinea Ecuatorial,Popular Union of Equatorial Guinea,0.7,1992,2004,6.4,1999,"tags position: centre-right
tags ideology: christian democracy // conservatism
tags used: 3"
ERI,8431,EPLF,Hizbawi Ginbar Harenet Ertra,Eritrean People's Liberation Front,-1.56,1970,1994,,,"tags position: far-left // left-wing
tags ideology: [ eritrean nationalism ] // left-wing nationalism // secularism // marxism-leninism // [ maoism ] // socialism
tags used: 6"
ERI,4904,PFDJ,People's Front for Democracy and Justice,People's Front for Democracy and Justice,-1.15,1994,2018,100,1992,"tags position: big tent
tags ideology: [ eritrean nationalism ] // secularism // left-wing nationalism // socialism
tags used: 4"
ERI,8432,COPWE,Ya'ityopya Sareto'adaroc Parti 'Adaraj Komisen,Commission for Organizing the Party of the Working People of Ethiopia,-2.25,1979,1984,,,"tags position: far-left
tags ideology: communism // marxism-leninism
tags used: 3"
EST,6803,CPSU,Communist Party of the Soviet Union,Communist Party of the Soviet Union,-2.23,1912,1991,37.4,1918,"tags position: far-left
tags ideology: communism // marxism-leninism
tags used: 3"
EST,8922,EIP,Eesti Iseseisvuspartei,Estonian Independence Party,1.98,1999,2015,1.3,2014,"tags position: far-right
tags ideology: [ estonian nationalism ] // right-wing populism // euroscepticism
tags used: 3"
EST,533,EK,Eesti Keskerakond,Estonian Centre Party,-0.2,1995,2018,26.1,2007,"tags position: centre-left
tags ideology: populism // social liberalism
tags used: 3"
EST,4094,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People’s Party,1.77,2012,2018,8.1,,"tags position: right-wing // far-right
tags ideology: national conservatism // right-wing populism
tags used: 4"
EST,790,EKD,Eesti Kristlikud Demokraadid,Estonian Christian Democrats,0.6,1990,2018,2.4,1999,"tags position:
tags ideology: christian democracy // euroscepticism
tags used: 2"
EST,7238,EKP,Eestimaa Kommunistlik Partei,Communist Party of Estonia,-2.16,1920,1990,92.8,1940,"tags position:
tags ideology: communism // marxism-leninism
tags used: 2"
EST,174,EME,Eesti Maarahva Erakond,Estonian Country People's Party,-0.15,1994,1999,7.3,1999,"tags position: centre // centre-left
tags ideology: agrarianism
tags used: 3"
EST,110,ERL,Eestimaa Rahvalliit,People's Union of Estonia,-0.16,2000,2012,13,2003,"tags position: centre // centre-left
tags ideology: agrarianism
tags used: 3"
EST,821,ER,Eesti Reformierakond,Estonian Reform Party,0.24,1994,2018,28.6,2011,"tags position: centre-right
tags ideology: liberalism // classical liberalism
tags used: 3"
EST,5850,EER,Eesti Rohelised,Estonian Greens (1991),-0.29,1991,1998,2.6,1992,"tags position: centre-left
tags ideology: green politics // social liberalism
tags used: 3"
EST,7244,ESDTP,Eesti Sotsiaaldemokraatiline Tööliste Partei,Estonian Social Democratic Workers' Party,-0.86,1905,1925,14.5,1917,"tags position: left-wing // centre-left
tags ideology: democratic socialism // nationalism // [ patriotism ] // reformism
tags used: 5"
EST,869,ESDTP,Eesti Sotsiaaldemokraatlik Tööpartei,Estonian Social Democratic Labour Party,-1.15,1990,2008,17.1,2003,"tags position: left-wing
tags ideology: democratic socialism
tags used: 2"
EST,3271,EV,Eesti Vabaerakond,Estonian Free Party,0.66,2014,2020,8.7,2015,"tags position: centre-right
tags ideology: conservatism // conservative liberalism
tags used: 3"
EST,3692,EVP,Eesti Vasakpartei,Estonian Left Party,-1.16,1992,1995,2.3,1995,"tags position: left-wing
tags ideology: democratic socialism
tags used: 2"
EST,7341,ELE,Elurikkuse Erakond,Richness of Life,-0.24,2018,2020,1.2,2019,"tags position: centre
tags ideology: green politics // [ grassroots democracy ] // [ decentralization ] // [ e-democracy ] // euroscepticism
tags used: 3"
EST,7340,E200,Erakond Eesti 200,Estonia 200,-0.06,2018,2018,4.4,2019,"tags position: centre
tags ideology: liberalism // social liberalism // pro-europeanism
tags used: 4"
EST,685,IRL,Erakond Isamaa ja Res Publica Liit,Union of Pro Patria and Res Publica,0.97,2006,2018,20.5,2011,"tags position: centre-right // right-wing
tags ideology: national conservatism // christian democracy // economic liberalism
tags used: 5"
EST,1040,EER,Erakonna Eestimaa Rohelised,Estonian Greens,-0.29,2006,2018,7.1,2007,"tags position: centre-left
tags ideology: green politics // social liberalism
tags used: 3"
EST,779,I,Isamaaliit,Pro Patria Union,0.8,1995,2006,16.1,1999,"tags position: centre-right
tags ideology: national conservatism // christian democracy
tags used: 3"
EST,331,R,Rahvarinne,Popular Front,-0.22,1988,1993,12.2,1992,"tags position: centre // centre-left
tags ideology: social liberalism // environmentalism
tags used: 4"
