country,name_short,name_english,year_first,year_last,share,share_year,party_id,partyfacts_id
SRB,SPO,Serbian Renewal Movement,1990,2016,20,1997,2176,2176
SRB,SPS,Socialist Party of Serbia,1990,2016,48.1,1990,2178,2178
SRB,PUPS,Party of United Pensioners of Serbia,2012,2016,,2012,2179,2179
SRB,P-CJ,Turnover – Cedomir Jovanovic,2012,2012,6.8,2012,2180,2180
SRB,URS,United Regions of Serbia,2012,2012,5.8,2012,2181,2181
SRB,DOS,Democratic Opposition of Serbia,2000,2000,65.7,2000,2188,2188
SRB,DS,Democratic Party,1990,2016,25.5,2007,2189,2189
SRB,DSS,Democratic Party of Serbia,1992,2016,18.6,2007,2190,2190
SRB,ZES,For a European Serbia Alliance,2008,2008,39.3,2008,2192,2192
SRB,G17+,G17 Plus,2003,2007,11.6,2003,2193,2193
SRB,PS-TN,Let's get Serbia moving - Tomislav Nikolic,2012,2012,25.2,2012,2195,2195
SRB,LDP,Liberal Democratic Party,2007,2016,6,2007,2196,2196
SRB,ND,New Democracy,1992,2000,3.6,2000,2197,2197
SRB,GSS,Civic Alliance of Serbia,1993,2000,3.6,2000,2202,2202
SRB,SVM,Alliance of Vojvodina Hungarians,2000,2000,2.4,2000,2203,2203
UKR,NDPU,People’s Democratic Party of Ukraine,1998,1998,5.2,1998,2206,2206
UKR,Rukh,People's Movement of Ukraine,1990,1998,9.7,1998,2207,2207
UKR,SDPU(O),Social Democratic Party of Ukraine (United),2002,2002,6.5,2002,2210,2210
UKR,SPU,Socialist Party of the Ukraine,1998,2006,8.8,1998,2211,2211
UKR,KPU,Communist Party of Ukraine,1994,2012,25.4,1998,2220,2220
UKR,ZYU,For a United Ukraine!,2002,2002,12.3,2002,2224,2224
UKR,PZU,Party of Greens of Ukraine,1990,1998,5.6,1998,2226,2226
UKR,BYuT,Yulia Tymoshenko Bloc,2002,2012,32.1,2007,2228,2228
UKR,NUNS,Our Ukraine – People's Self-Defense Bloc,2002,2007,24.5,2002,2231,2231
UKR,PR,Party of Regions,2006,2012,35.9,2007,2234,2234
RUS,APR,Agrarian Party of Russia,1993,1993,8,1993,2235,2235
RUS,KPRF,Communist Party ot the Russian Federation,1993,2016,24.8,1999,2236,2236
RUS,DPR,Democratic Party of Russia,1993,1993,5.5,1993,2238,2238
RUS,OVR,Fatherland – All Russia,1999,1999,13.6,1999,2240,2240
RUS,Y,Unity,1999,1999,23.8,1999,2242,2242
RUS,SR,Just Russia,2007,2016,13.5,2011,2244,2244
RUS,LDPR,Liberal Democratic Party of Russia,1993,2016,22.9,1993,2245,2245
RUS,Rodina,Motherland -- National Patriotic Union,2003,2003,9.2,2003,2246,2246
RUS,NDR,Our Home - Russia,1995,1995,10.3,1995,2247,2247
RUS,PRES,Party of Russian Unity and Accord,1993,1993,6.7,1993,2249,2249
RUS,Yabloko,"Russian United Democratic Party """"Yabloko""""",1993,1999,7.9,1993,2252,2252
RUS,DVR,Russia’s Democratic Choice,1993,1993,15.5,1993,2253,2253
RUS,SPS,Union of Right Forces,1999,1999,8.7,1999,2255,2255
RUS,ER,United Russia,2003,2016,65,2007,2256,2256
RUS,ZR,Women of Russia,1993,1993,8.1,1993,2257,2257
MDA,AMN,Party Alliance Our Moldova,2009,2009,7.4,2009,2259,2259
MDA,PCRM,Party of Communists of the Republic of Moldova,1998,2014,50.1,2001,2260,2260
MDA,PFD,Party of Democratic Forces,1998,1998,8.8,1998,2261,2261
MDA,PDAM,Agrarian Democratic Party of Moldova,1994,1994,43.2,1994,2262,2262
MDA,BTI,Bloc of Peasants and Intellectuals,1994,1994,9.2,1994,2263,2263
MDA,CDPP,Christian Democratic People's Party,1994,2005,9.1,2005,2264,2264
MDA,PDM,Democratic Party of Moldova,2009,2019,23.6,2019,2265,2265
MDA,CDM,Electoral Bloc Democratic Convention of Moldova,1998,1998,19.4,1998,2266,2266
MDA,BMD,"Electoral Bloc """"Democratic Moldova""""",2005,2005,28.5,2005,2267,2267
MDA,PMDP,"Electoral Bloc """"For a Democratic and Prosperous Moldova""""",1998,1998,18.2,1998,2268,2268
MDA,BEAB,Electoral Block 'Braghis Alliance',2001,2001,13.4,2001,2269,2269
MDA,PLDM,Liberal Democratic Party of Moldova,2009,2014,29.4,2010,2271,2271
MDA,PL,Liberal Party,2009,2014,14.7,2009,2272,2272
ITA,FdI,Brothers of Italy,2013,2018,4.4,2018,2280,2280
ITA,SC,Civic Choice,2013,2013,8.3,2013,2281,2281
SVK,MKDM,Hungarian Christian Democratic Movement,1994,1994,4.7,1994,2283,2283
BEL,BWP-POB,Belgian Labour Party,1900,1939,39.4,1925,2289,2289
IRL,FP,Farmers' Party,1921,1927,12.1,1923,2292,2292
XKX,PDK,Democratic Party of Kosovo,2001,2019,34.3,2007,2294,2294
XKX,LDK,Democratic League of Kosovo,2001,2019,45.7,2001,2295,2295
XKX,VV!,Self-determination,2010,2019,27.5,2017,2296,2296
ALB,LSI,Socialist Movement for Integration,2005,2017,14.3,2017,2297,2297
AGO,MPLA,People's Movement for the Liberation of Angola – Labour Party,1975,2017,100,1980,2298,2298
BGD,BAL,Bangladesh People's League,1973,2018,86,2018,2299,2299
BEN,FCBE,Cowry Forces for an Emerging Benin,2007,2015,37.6,2007,2300,2300
BWA,BDP,Botswana Democratic Party,1965,2019,80.6,1965,2301,2301
ZMB,PF,Patriotic Front,2006,2016,41,2016,2302,2302
EGY,Wafd,New Wafd Party,1984,2015,15.1,1984,2303,2303
IDN,Golkar,Party of the Functional Groups,1971,2019,74.5,1997,2304,2304
KOR,MD,[United] Democratic Party,2008,2012,36.5,2012,2305,2305
KOR,LFP / AUP,Liberty Forward Party / Advancement Unification Party,2008,2008,6.8,2008,2306,2306
KOR,HD-SD,New World Party -- The Grand National Party,2000,2012,42.8,2012,2307,2307
JAM,JLP,Jamaica Labour Party,1944,2016,100,1983,2308,2308
JAM,PNP,People's National Party,1944,2016,60.6,1993,2309,2309
GHA,NDC,National Democratic Congress,1992,2016,77.5,1992,2311,2311
GHA,NPP,New Patriotic Party,1996,2016,55.6,2004,2312,2312
NGA,ANPP,All Nigeria People's Party,1999,2011,31.2,1999,2313,2313
MOZ,FRELIMO,Liberation Front of Mozambique,1977,2019,100,1977,2314,2314
MOZ,RENAMO,Mozambican National Resistance,1994,2019,38.8,1999,2315,2315
KEN,KANU,Kenya African National Union,1961,2017,100,1969,2316,2316
MYS,UMNO,United Malays National Organisation,1955,2018,58.9,1955,2318,2318
MLI,RPM,Rally for Mali,2002,2013,33.3,2002,2319,2319
MUS,PT,Labour Party,1953,2019,60,1959,2320,2320
MNG,AN,Democratic Party,1990,2016,45,1996,2321,2321
MNG,MAN,Mongolian People's [Revolutionary] Party,1951,2016,100,1954,2322,2322
MAR,USFP,Socialist Union of Popular Forces,1977,2016,15.4,2002,2324,2324
NER,PNDS,Nigerien Party for Democracy and Socialism,1993,2016,44.1,2016,2325,2325
THA,PP,Democrat Party,1946,2019,35.2,2011,2327,2327
TZA,CCM,Party of the Revolution,1980,2015,100,1980,2328,2328
SEN,PDS,Senegalese Democratic Party,1978,2017,69.2,2007,2329,2329
PHL,PLP,Liberal Party,1946,2019,64.1,1949,2330,2330
NAM,SWAPO,South West Africa People's Organization,1989,2019,80,2014,2331,2331
ZMB,FDD,Forum for Democracy and Development,2001,2006,15.6,2001,2332,2332
ZMB,MMD,Movement for Multi-party Democracy,1991,2011,74.8,1991,2333,2333
ZMB,UNIP,United National Independence Party,1962,2006,100,1973,2334,2334
ZMB,UPND,United Party for National Development,2001,2016,40.6,2016,2335,2335
BWA,BNF,Botswana National Front,1969,2009,37.1,1994,2336,2336
BWA,BCP,Botswana Congress Party,1999,2019,20.4,2014,2337,2337
BGD,JEB,Islam Conference Bangladesh,1991,1991,6.1,1991,2340,2340
BGD,JD,National Party (Ershad),1986,2018,83.9,1988,2341,2341
AGO,UNITA,National Union for the Total Independence of Angola,1992,2017,34.1,1992,2343,2343
TZA,Chadema,Party for Democracy and Progress,1995,2015,31.8,2015,2344,2344
TZA,CCW,Civic United Front,1995,2015,14.2,2005,2345,2345
SRB,NS,New Serbia,2000,2016,3.2,2000,2346,2346
GEO,KDM,Christian Democratic Movement,2008,2008,8.6,2008,2349,2349
NER,MNSD-N,National Movement for the Development of Society,1989,2016,100,1989,2350,2350
NER,ANDP,Nigerien Alliance for Democracy and Progress,1993,2011,15.3,1993,2351,2351
NER,CDS,Democratic and Social Convention,1993,2004,29.7,1995,2352,2352
NGA,ACN,Action Congress of Nigeria,2007,2011,18.4,2011,2353,2353
NGA,PDP,People's Democratic Party,1999,2019,71.9,2007,2354,2354
NAM,UDF,United Democratic Front,1989,1989,5.7,1989,2355,2355
NAM,DTA,Democratic Turnhalle Alliance,1978,2019,82.2,1978,2356,2356
NAM,CD,Congress of Democrats,1999,2004,9.9,1999,2358,2358
KEN,PNU,Party of National Unity,2007,2007,20.5,2007,2359,2359
KEN,ODM,Orange Democratic Movement,2007,2017,48.6,2007,2360,2360
KEN,WDM-K,Wiper Democratic Movement – Kenya,2007,2017,9,2013,2362,2362
BEN,PRD,Democratic Renewal Party,1991,2015,21.5,2007,2365,2365
BEN,G-13,G13 Baobab Alliance,2011,2011,5.9,2011,2366,2366
BEN,PSD,Social Democratic Party,1991,2019,9.3,1999,2368,2368
EGY,NDP,National Democratic Party,1976,2010,86.7,2000,2370,2370
EGY,MB,Muslim Brotherhood,1987,1987,,1987,2371,2371
THA,PCT,Thai Nation Party / Chart Thai Party,1975,2007,23.8,1983,2373,2373
THA,PPP,People's Power Party,2007,2007,39.6,2007,2376,2376
THA,PPD,Motherland Party,2007,2007,5.6,2007,2377,2377
SEN,AFP,Alliance of the Forces of Progress,2001,2001,16.1,2001,2379,2379
SEN,PS/UPS,Socialist Party / Senegalese Progressive Union,1959,2001,100,1968,2380,2380
SEN,AJ/PADS,And-Jëf / African Party for Democracy and Socialism,1998,1998,4.9,1998,2382,2382
PAK,PPP,Pakistan Peoples Party,1970,2018,60.1,1977,2383,2383
PAK,PML(N),Pakistan Muslim League (Nawaz ),1993,2018,48.6,2013,2384,2384
PAK,PML(Q),Pakistan Muslim League (Quaid e Azam Group),2002,2008,25.7,2002,2385,2385
PAK,MQM / HPG,Muttahida Quami Movement /Worship of the Real Group,1990,2013,7.4,2008,2387,2387
PHL,Lakas-CMD,Lakas – Christian Muslim Democrats,1992,2013,49,1998,2388,2388
PHL,PNP,Nacionalist Party,1907,2019,100,1938,2389,2389
LUX,PPCM,Party of Peasants and Middle Classes,1931,1931,6.9,1931,2398,2398
LUX,PNI,Independent National Party,1919,1925,14.9,1922,2399,2399
LUX,PPI,Independent People's Party,1918,1919,9.4,1918,2400,2400
LUX,LD,Democratic List,1937,1937,9.8,1937,2401,2401
ESP,AR,Republican Action,1931,1933,1.1,1933,2413,2413
ITA,PPI,Italian People's Party,1919,1924,20.5,1919,2418,2418
ITA,PR,Radical Party,1904,1913,12.2,1913,2419,2419
USA,PP,Progressive Party (Roosevelt),1912,1914,8.7,1912,2425,2425
USA,SPA,Socialist Party of America,1912,1912,6.9,1912,2427,2427
JPN,Seiyūkai,Seiyūkai Club,1928,1932,58.2,1932,2439,2439
IRL,CG,Society of the Gaels,1922,1933,39,1923,2442,2442
IRL,NCP,National Centre Party,1933,1933,9.2,1933,2443,2443
IRL,SF(T+),Sinn Féin (Pro-Treaty),1921,1921,45.3,1921,2444,2444
MKD,NSDP,New Social Democratic Party,2006,2016,6,2006,2447,2447
MKD,SM,Union of Macedonia,1994,1994,29.5,1994,2448,2448
KOR,Uri,Our Party,2004,2004,38.3,2004,2452,2452
HUN,Egyutt,Together -- Party for a New Era,2014,2014,1.5,2014,2458,2458
MUS,MMM,Mauritian Militant Movement,1976,2019,63.6,1982,2460,2460
MUS,PMXD,Mauritian Party of Xavier-Luc Duval,2000,2005,,2000,2461,2461
MUS,OPR,Organisation of the People of Rodrigues,2019,2019,3.2,2019,2463,2463
PHL,KAMPI,Partner of the Free Filipino,2007,2007,19.2,2007,2465,2465
PHL,KMB,Nationalist People's Coalition,1992,2019,30.4,2001,2466,2466
MNG,IZN,Civil Will-Green Party,2004,2012,5.5,2012,2468,2468
TUR,HADEP,People's Democracy Party,2002,2011,6.2,2002,2472,2472
ROU,FC,Civic Force,2012,2012,0.7,2012,2473,2473
ROU,PP-DD,People's Party – Dan Diaconescu,2012,2012,14,2012,2474,2474
MLI,US-RDA,Sudanese Union – African Democratic Rally,1947,1992,100,1959,2475,2475
MLI,URD,Union for the Republic and Democracy,2007,2013,23.1,2007,2476,2476
MLI,ADEMA-PASJ,"The Alliance for Democracy in Mali – Pan-African Party for Liberty, Solidarity and Justice",1992,2013,62.8,1997,2477,2477
MLI,CNID,National Congress for Democratic Initiative,1992,2002,9.4,2002,2478,2478
MAR,PJD,Justice and Development Party,2002,2016,27.9,2016,2479,2479
MAR,RNI,National Rally of Independents,1984,2016,17.2,1984,2480,2480
MAR,MP,Popular Movement,1970,2016,25,1970,2481,2481
MAR,I,Istiqlal / Independence Party,1963,2016,30,1963,2482,2482
MYS,PAS,Pan-Malaysian Islamic Party,1955,2018,21.3,1959,2483,2483
MYS,MCA,Malaysian Chinese Association,1955,2013,20.1,1955,2484,2484
MYS,Keadilan,People's Justice Party,1999,2018,20.4,2013,2485,2485
MYS,DAP,Democratic Action Party,1969,2018,21,1986,2486,2486
BRA,PCB,Brazilian Communist Party,1945,1945,8.6,1945,2489,2489
IND,SP,Socialist Party,1998,2009,4.9,1998,2491,2491
IND,TDP,Telugu Desam Party,1999,1999,3.7,1999,2492,2492
IND,AITMC,All India Trinamool Congress,2014,2014,6.3,2014,2494,2494
IND,JD(U),Janata Dal (United),2009,2009,3.7,2009,2498,2498
IRL,SF,Sinn Fein / We Ourselves,1957,1957,5.3,1957,2507,2507
ISL,BF,Bright Future,2013,2016,8.2,2013,2517,2517
HRV,KK,Kukuriku Coalition,2011,2016,41.1,2011,2522,2522
ARG,FPV-PJ,Front for Victory,2005,2015,50.2,2007,2530,2530
ESP,PC,Carlist Party,1933,1933,0,1933,2540,2540
KOR,UPP,United Progressive Party,2012,2012,10.3,2012,2543,2543
KOR,ULD,United Liberal Party,1996,2000,16.2,1996,2545,2545
KOR,DLP,Democratic Labour Party,2004,2008,13,2004,2546,2546
KOR,DP,Democratic Party,1992,1996,29.2,1992,2547,2547
KOR,MDP,Millenium Democratic Party,2000,2004,35.9,2000,2548,2548
KOR,NUP,National Unification Party,1992,1992,17.4,1992,2549,2549
MDA,PSM,Socialist Party of Moldova,1994,1994,,1994,2551,2551
MDA,PSRM,Party of Socialists of the Republic of Moldova,2014,2019,31.2,2019,2553,2553
PER,UN,National Unity,2001,2006,15.3,2006,2554,2554
IDN,PKS,Prosperous Justice Party / Welfare and Justice Party,2004,2019,8.2,2019,2556,2556
IDN,PAN,National Mandate Party,1999,2019,7.6,2014,2557,2557
IDN,PPP,United Development Party,1977,2019,29.3,1977,2558,2558
IDN,PKB,National Awakening Party,1999,2019,12.6,1999,2559,2559
IDN,PDIP,Indonesian Democratic Party of Struggle,1999,2019,33.8,1999,2560,2560
IDN,PD,Democratic Party,2004,2019,20.9,2009,2561,2561
LBN,FM,Future Movement,2005,2009,28.1,2005,2562,2562
LBN,FPM,Free Patriotic Movement,2005,2018,17.2,2018,2564,2564
LBN,PSP,Progressive Socialist Party,1960,2018,12.5,2005,2565,2565
LBN,Kateab,Lebanese Phalanges Party,1960,2009,9.1,1968,2566,2566
EST,indep,independent,1938,1990,42.6,1938,2567,2567
ALB,indep,independent,1923,1997,18.2,1923,2569,2569
ARM,indep,independent,1995,1995,37.9,1995,2582,2582
AUS,indep,independent,1931,1943,12.8,1943,2586,2586
AZE,indep,independent,1990,2015,48.2,2010,2593,2593
BLR,indep,independent,1995,2019,94.5,2012,2603,2603
BEN,indep,independent,1947,1957,12.1,1957,2611,2611
BOL,indep,independent,1933,1949,20.9,1944,2615,2615
BGR,indep,independent,1901,1902,14.6,1902,2633,2633
CHL,indep,independent,1915,1932,10.1,1932,2639,2639
CYP,indep,independent,1960,1960,5.2,1960,2652,2652
DNK,indep,independent,1909,1909,5.7,1909,2658,2658
EGY,indep,independent,1926,2015,61.8,2015,2670,2670
GEO,indep,independent,1992,1995,26.7,1992,2691,2691
GHA,indep,independent,1951,1956,15.4,1954,2704,2704
GRC,indep,independent,1905,1935,8.5,1905,2708,2708
GTM,indep,independent,1953,1953,7.1,1953,2711,2711
HUN,indep,independent,1920,1985,38.9,1975,2719,2719
IND,indep,independent,1926,1996,28.8,1930,2726,2726
IRL,indep,independent,1922,2016,12.2,2011,2735,2735
JAM,indep,independent,1944,1955,30.2,1944,2744,2744
JPN,indep,independent,1902,2017,17.9,1904,2748,2748
KEN,indep,independent,2017,2017,4,2017,2752,2752
KOR,indep,independent,1948,1978,62.9,1950,2757,2757
LVA,indep,independent,1990,1990,10.3,1990,2766,2766
LBN,indep,independent,1943,1972,80.5,1951,2770,2770
LTU,indep,independent,1990,2016,47.4,1990,2778,2778
MKD,indep,independent,1994,1994,13.8,1994,2784,2784
MYS,indep,independent,1959,2004,5.9,1974,2789,2789
MLT,indep,independent,1927,1945,23.8,1945,2798,2798
MUS,indep,independent,1953,1963,12.9,1953,2802,2802
MNG,indep,independent,1990,2012,8.8,1990,2816,2816
MNE,indep,independent,1906,1914,81.6,1906,2820,2820
MAR,indep,independent,1963,1977,66.3,1970,2825,2825
NAM,indep,independent,1926,1926,15.4,1926,2835,2835
NZL,indep,independent,1902,1935,14.7,1911,2842,2842
NER,indep,independent,1996,1996,6.1,1996,2849,2849
NGA,indep,independent,1923,1964,100,1943,2854,2854
PAK,indep,independent,1970,2018,100,1985,2867,2867
PAN,indep,independent,1972,2019,100,1972,2871,2871
PHL,indep,independent,1907,2019,26.8,1912,2884,2884
POL,indep,independent,1952,1985,16.1,1985,2888,2888
RUS,indep,independent,1906,1995,26.8,1979,2897,2897
ZAF,indep,independent,1910,1933,27.3,1933,2923,2923
ESP,indep,independent,1933,1933,4.9,1933,2927,2927
LKA,indep,independent,1947,1977,29.1,1947,2930,2930
TWN,indep,independent,1969,1983,27.3,1969,2941,2941
TZA,indep,independent,1960,1960,16.9,1960,2946,2946
THA,indep,independent,1933,1983,100,1933,2951,2951
TUR,indep,independent,1931,1969,9.5,1931,2956,2956
UKR,indep,independent,1994,2019,54.9,1994,2960,2960
ZMB,indep,independent,1954,2016,45.7,1954,2984,2984
GEO,GD,Georgian Dream – Democratic Georgia,2012,2016,55,2012,2988,2988
SVN,SMC,Party of Miro Cerar / Modern Center Party,2014,2018,34.5,2014,3098,3098
FRA,PRS,Republican-Socialist Party,1928,1936,7.6,1936,3102,3102
MNE,SNP-CG,Socialist People’s Party of Montenegro,1998,2016,36.1,1998,3104,3104
FRA,RI,Independent Radicals,1902,1932,16.8,1902,3108,3108
SVN,ZaAB,Alliance of Alenka Bratusek,2018,2018,5.1,2018,3114,3114
CYP,SYM,Citizen's Alliance,2016,2016,6,2016,3117,3117
ISR,Gil,Pensioners of Israel,2006,2006,5.9,2006,3121,3121
ISR,Hat,The Movement,2013,2013,5,2013,3127,3127
ISR,Yesh,There is a Future,2013,2015,14.3,2013,3128,3128
ISR,Meretz,Energy,1992,2003,9.6,1992,3131,3131
HRV,AM,Youth Action,2016,2016,,2016,3136,3136
HRV,CL-LP,Croatian Labourists – Labour Party,2011,2011,4.2,2011,3143,3143
FRA,UR/AD,Republican Union / Democratic Alliance,1910,1936,35.4,1924,3159,3159
FRA,GR,Left Republicans,1902,1936,29.7,1902,3160,3160
MNE,SRS,Serbian Radical Party,2006,2006,,2006,3161,3161
MNE,DPS,Democratic Party of Socialists of Montenegro,1998,2016,43.2,2009,3162,3162
MNE,DZB-PCG-KECG,So that we live better -- Victory is Montenegro's -- (Democratic) List for European Montenegro -- Coalition for European Montenegro,1998,2012,51.9,2009,3163,3163
MNE,LSCG,Liberal Alliance of Montenegro,1998,2002,7.9,2001,3164,3164
LBN,Amal,Amal Movement,2005,2018,11.7,2018,3165,3165
LBN,Marada,Marada Movement,2009,2009,2.3,2009,3166,3166
BIH,HDZ1990,Croatian Democratic Union 1990,2006,2006,,2006,3168,3168
BIH,DNS,Democratic People's Alliance,2018,2018,5.9,2018,3170,3170
BIH,SBB BIH,Union for a Better Future,2010,2018,8.7,2014,3171,3171
SRB,DSHV,Democratic Alliance of Croats in Vojvodina,2012,2016,,2012,3174,3174
SRB,SNS,Serbian Progressive Party,2014,2016,,2014,3177,3177
MDA,MS-PRR,Republican Socio-Political Movement Equality,2019,2019,8.3,2019,3180,3180
MNE,SDP CG,Social Democratic Party of Montenegro,1998,2016,11.1,2009,3185,3185
BGR,BBZ,Bulgaria Without Censorship,2014,2014,5.7,2014,3188,3188
BGR,RB,Reformist Bloc,2014,2014,8.9,2014,3189,3189
LVA,NsL,For Latvia from the Heart,2014,2014,6.8,2014,3193,3193
LVA,LRa,Latvian Association of Regions,2014,2014,6.7,2014,3194,3194
FIN,SMP,Finnish Rural Party,1970,1987,10.5,1970,3202,3202
ESP,PODEMOS,We Can,2015,2019,13.4,2016,3203,3203
ROU,PMP,People's Movement Party,2016,2016,5.4,2016,3210,3210
GRC,KIDISO,Movement of Democratic Socialists,2019,2019,,2019,3212,3212
LVA,LAAT,Latvian Development,2018,2018,,2018,3213,3213
ESP,C's,Citizens -- Party of the Citizenry,2015,2019,13.9,2015,3217,3217
ESP,Vox,Voice,2019,2019,15.1,2019,3218,3218
POL,RN,National Movement,2019,2019,1.1,2019,3224,3224
LBN,LF,Lebanese Forces,2005,2018,10.9,2018,3235,3235
LBN,Hizb,Hezbollah,2005,2018,10.9,2005,3238,3238
XKX,AAK,Alliance for the Future of Kosovo,2001,2019,11.5,2019,3243,3243
MNE,NOVA,New Serbian Democracy,2009,2016,10.1,2012,3252,3252
MNE,HGI,Croatian Civic Initiative,2006,2009,1.2,2006,3253,3253
MNE,BS,Bosniak Party,2009,2012,4.2,2012,3255,3255
UKR,Fatherland,"All Ukrainian Union """"Fatherland""""",2014,2019,8.2,2019,3266,3266
UKR,Freedom,"All Ukrainian Union """"Freedom"""" / Svoboda",2014,2014,4.7,2014,3267,3267
ALB,PDIU,"Party for Justice, Integration and Unity",2017,2017,4.8,2017,3270,3270
EST,EV,Free Party,2015,2015,8.7,2015,3271,3271
ISR,Kulanu,All of Us,2015,2015,7.5,2015,3273,3273
TZA,NCCR-Ma,National Convention for Construction and Reform – Mageuzi,1995,1995,21.8,1995,3276,3276
SGP,PAP,People's Action Party,1955,2015,86.7,1968,3277,3277
SGP,WP,Workers' Party of Singapore,1968,2015,16.7,1988,3278,3278
SGP,NSP,National Solidarity Party,1991,2011,12,2011,3279,3279
GRC,KF,Liberal Party,1910,1958,84.8,1910,3280,3280
RWA,FPR,Rwandan Patriotic Front,1995,2018,78.8,2008,3283,3283
SGP,indep,independent,1948,1968,50.5,1948,3298,3298
AUT,HB,Homeland Bloc,1930,1930,6.2,1930,3304,3304
ZWE,ZANU-PF,Zimbabwe African National Union – Patriotic Front,1980,2018,80.5,1990,3305,3305
BRB,indep,independent,1946,1966,10.4,1951,3325,3325
KHM,indep,independent,1947,1947,13.3,1947,3355,3355
CPV,indep,independent,1973,1973,100,1973,3367,3367
GNQ,indep,independent,1983,1983,100,1983,3391,3391
GMB,indep,independent,1947,2012,46.3,1951,3397,3397
GIN,indep,independent,1952,1952,15.6,1952,3415,3415
GUY,indep,independent,1947,1957,57.1,1947,3427,3427
IRQ,indep,independent,1930,2000,96.3,1948,3433,3433
KAZ,indep,independent,1994,1999,36.2,1994,3439,3439
LSO,indep,independent,1960,1960,10,1960,3445,3445
LBR,indep,independent,2005,2017,15.7,2017,3451,3451
MWI,indep,independent,1956,2019,54.5,1956,3457,3457
NPL,indep,independent,1971,1991,87.2,1971,3463,3463
SLE,indep,independent,1951,2018,47.4,1967,3505,3505
TGO,indep,independent,1946,2018,30,1946,3523,3523
TTO,indep,independent,1946,1950,49,1950,3529,3529
ZWE,indep,independent,1920,2018,29.5,1920,3547,3547
TZA,TLP,Tanzania Labour Party,2000,2000,9.2,2000,3553,3553
AGO,CASA-CE,Broad Convergence for the Salvation of Angola – Electoral Coalition,2017,2017,9.5,2017,3556,3556
ZWE,MDC,Movement for Democratic Change,2000,2005,47,2000,3558,3558
ZWE,MDC-T,Movement for Democratic Change – Tsvangirai,2008,2018,43,2008,3559,3559
ZWE,MDC-N,Movement for Democratic Change – Ncube,2008,2018,8.4,2008,3560,3560
SGP,SDP,Singapore Democratic Party,1988,1997,12,1991,3561,3561
DZA,indep,independent,1997,2012,9.9,2007,3563,3563
BFA,indep,independent,1957,1957,1.5,1957,3569,3569
ETH,indep,independent,1957,1973,100,1957,3575,3575
JOR,indep,independent,1954,2013,95,1954,3593,3593
KGZ,indep,independent,1995,2000,69.5,2000,3599,3599
LBY,indep,independent,2012,2014,100,2014,3605,3605
UGA,indep,independent,1958,2016,75.5,1989,3617,3617
YEM,indep,independent,1971,1997,80.5,1971,3623,3623
BWA,BIP,Botswana Independence Party,1969,1969,6,1969,3631,3631
BWA,BPP,Botswana People’s Party,1965,1984,14.2,1965,3632,3632
MYS,BN,National Front,1974,2018,65.2,1995,3637,3637
LBY,JCP,Justice and Construction Party,2012,2012,10.3,2012,3638,3638
LBY,NFC,National Forces Alliance,2012,2012,48.1,2012,3639,3639
CAN,CPC,Conservative Party of Canada (1867),1900,1940,57,1917,3642,3642
MNE,NS,People’s Party,1998,2006,11.1,2001,3645,3645
BLR,LDPB,Liberal Democratic Party,2019,2019,5.4,2019,3646,3646
HRV,ZL,Joint List Bloc,1995,1995,18.3,1995,3648,3648
SGP,SUF/DPP,Singapore United Front / Democratic Progressive Party,1976,1984,9.9,1984,3651,3651
NIC,PLI,Independent Liberal Party,1967,2016,31.6,2011,3656,3656
RWA,PL,Liberal Party,2003,2018,10.6,2003,3657,3657
RWA,PSD,Social Democratic Party,2003,2018,13.1,2008,3658,3658
GHA,CPP,Convention People's Party,1951,1965,100,1965,3660,3660
TWN,TSU,Taiwan Solidarity Union,2001,2005,8.5,2001,3664,3664
TWN,PFP,People First Party,2001,2016,20.3,2001,3665,3665
TWN,C/NP,Chinese / New Party,1995,1996,13.6,1996,3666,3666
URY,NE,New Space,1989,1994,9,1989,3671,3671
ISR,HH,Jewish Home,2013,2019,9.1,2013,3677,3677
AUT,CS,Christian Social Party,1919,1930,44.2,1927,3678,3678
CMR,SDF,Social Democratic Front,1997,2013,23.5,1997,3682,3682
FIN,SP / V,Finnish Party / Old Finns,1907,1917,30.2,1917,3684,3684
BRB,DLP,Democratic Labour Party,1956,2018,67,2008,3686,3686
BEL,FP,Front Party,1929,1939,8.4,1939,3689,3689
BRB,NDP,National Democratic Party,1994,1994,12.1,1994,3693,3693
BRB,BLP,Barbados Labour Party,1946,2018,72.8,2018,3694,3694
BRB,BNP,Barbados National Party,1961,1966,22.1,1961,3695,3695
XKX,ORA,Reformist Party ORA,2004,2004,6.2,2004,3701,3701
XKX,AKR,New Kosovo Alliance,2007,2019,12.3,2007,3703,3703
XKX,LDD,Democratic League of Dardania,2007,2007,,2007,3704,3704
GMB,UDP,United Democratic Party,1997,2017,37,2017,3715,3715
GMB,APRC,Alliance for Patriotic Reorientation and Construction,1997,2017,79,2002,3716,3716
GMB,NRP,National Reconciliation Party,2002,2017,9.4,2012,3717,3717
GMB,PDOIS,People's Democratic Organisation for Independence and Socialism,2002,2017,15,2002,3718,3718
SUR,DOE,Party for Democracy and Development through Unity,2010,2010,5.1,2010,3725,3725
SUR,PVFAL,Political Wing of the FAL,1996,2005,,1996,3726,3726
SUR,HPP,Renewed Progressive Party,1977,1996,,1977,3727,3727
SUR,BVD,Basic Party for Renewal and Democracy,2005,2005,,2005,3728,3728
