"","ctr_n","pty","abbr","name","name_english","information","ctr","pty_n","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty","country"
"589","Dominican Republic",21,"MNJ","Movimiento Nacional de la Juventud","National Youth Movement",,214,"movimiento nacional de la juventud",1970,1970,4.3,1970,1,214000021,"DOM"
"590","Dominican Republic",27,,"Movimiento Voluntad Popular",,,214,"movimiento voluntad popular",1974,1974,5,1974,1,214000027,"DOM"
"591","Dominican Republic",33,"PLD","Partido de la Liberacion Dominicana","Dominican Liberation Party",,214,"partido de la liberacion dominicana",1978,2016,54.6,2010,9,214000033,"DOM"
"592","Dominican Republic",38,"PDP","Partido Democrata Popular","Popular Democratic Party",,214,"partido democrata popular",1974,2006,13.9,1974,5,214000038,"DOM"
"593","Dominican Republic",42,"PLRD (LE)","Partido Liberal de la Republica Dominicana (La Estructura)","Liberal Party of the Dominican Republic",,214,"partido liberal de la republica dominicana (la estructura)",1986,2006,5.3,1986,2,214000042,"DOM"
"594","Dominican Republic",46,"PNRD","Partido Nacionalista Revolucionario Democratico","Democratic Revolutionary Nationalist Party",,214,"partido nacionalista revolucionario democratico",1962,1966,3.5,1962,2,214000046,"DOM"
"595","Dominican Republic",49,"PQD","Partido Quiqueyano Democrata","Democratic Quisqueyano Party",,214,"partido quiqueyano democrata",1970,2002,13.6,1970,7,214000049,"DOM"
"596","Dominican Republic",51,"PR","Partido Reformista","Reformist Party",,214,"partido reformista",1966,1982,56.5,1966,4,214000051,"DOM"
"597","Dominican Republic",52,"PR-MNJ","Partido Reformista - Movimiento Nacional de la Juventud",,,214,"partido reformista - movimiento nacional de la juventud",1974,1974,76.7,1974,1,214000052,"DOM"
"598","Dominican Republic",53,"PRSC","Partido Reformista Social Cristiano","Social Christian Reformist Party",,214,"partido reformista social cristiano",1986,2016,40.5,1986,7,214000053,"DOM"
"599","Dominican Republic",55,"PRD","Partido Revolucionario Dominicano","Dominican Revolutionary Party",,214,"partido revolucionario dominicano",1962,2016,56.7,1962,11,214000055,"DOM"
"600","Dominican Republic",57,"PRI","Partido Revolucionario Independiente","Independent Revolutionary Party",,214,"partido revolucionario independiente",1994,2016,2.5,1994,6,214000057,"DOM"
"601","Dominican Republic",58,"PRSC","Partido Revolucionario Social Cristiano","Social Christian Revolutionary Party",,214,"partido revolucionario social cristiano",1962,1978,5.2,1962,4,214000058,"DOM"
"602","Dominican Republic",63,"UD","Unidad Democrática","Democratic Unity",,214,"unidad democrática",1986,1998,2.4,1994,3,214000063,"DOM"
"603","Dominican Republic",64,"UCN","Union Civica Nacional","National Civic Union",,214,"union civica nacional",1962,1982,30.2,1962,4,214000064,"DOM"
"604","Dominican Republic",68,"BIS","Bloque Institucional Social Demócrata","Institutional Social Democratic Block",,214,"bloque institucional social democrata",2016,2016,2.1,2016,1,214000068,"DOM"
"605","Dominican Republic",71,"MODA","Movimiento Democrático Alternativo","Alternative Democratic Movement",,214,"movimiento democratico alternativo",2016,2016,2.1,2016,1,214000071,"DOM"
"606","Dominican Republic",77,"PUN","Partido de Unidad Nacional","National Unity Party",,214,"partido de unidad nacional",2016,2016,3.2,2016,1,214000077,"DOM"
"607","Dominican Republic",83,"PRM","Partido Revolucionario Moderno","Modern Revolutionary Party",,214,"partido revolucionario moderno",2016,2016,20.4,2016,1,214000083,"DOM"
"608","Ecuador",2,,"Coalición Institucionalista Democrata","Democrat Institutionalist Coalition",,218,"Coalición Institucionalista Democrata",1979,1979,6.3,1979,1,218000002,"ECU"
"609","Ecuador",3,,"Concentración de Fuerzas Populares","Concentration of Popular Forces",,218,"Concentración de Fuerzas Populares",1979,2006,31,1979,4,218000003,"ECU"
"610","Ecuador",4,,"Democracia Popular","Popular Democracy",,218,"Democracia Popular",1984,1998,19,1998,6,218000004,"ECU"
"611","Ecuador",5,,"Frente Amplio de Izquierda","Broad Left Front",,218,"Frente Amplio de Izquierda",1988,1988,6.9,1988,1,218000005,"ECU"
"612","Ecuador",7,,"Frente Radical Alfarista","Alfarista Radical Front",,218,"Frente Radical Alfarista",1984,1998,8,1984,4,218000007,"ECU"
"613","Ecuador",14,,"Movimiento Alianza País, Patria Altiva I Soberana","Country Alliance Movement, Altiva I Sovereign Fatherland",,218,"Movimiento Alianza Pais, Patria Altiva I Soberana",2013,2013,51.4,2013,1,218000014,"ECU"
"614","Ecuador",17,,"Movimiento Ciudadano Nuevo País","New Country Citizens' Movement",,218,"Movimiento Ciudadano Nuevo País",1998,2006,9.2,1998,2,218000017,"ECU"
"615","Ecuador",20,,"Movimiento Creo, Creando Oportunidades","Grow, Creating Opportunities Movement",,218,"Movimiento CREO, Creando Oportunidades",2013,2013,10.9,2013,1,218000020,"ECU"
"616","Ecuador",29,,"Movimiento Patria Altiva I Soberana","Altiva I Sovereign Fatherland Movement",,218,"Movimiento Patria Altiva I Soberana",2009,2009,41.1,2009,1,218000029,"ECU"
"617","Ecuador",30,,"Movimiento Red Ética y Democracia","Web Ethics and Democracy Movement",,218,"Movimiento Red Ética y Democracia",2006,2006,3.6,2006,1,218000030,"ECU"
"618","Ecuador",33,,"Movimiento Ruptura","Rupture Movement",,218,"Movimiento Ruptura",2013,2013,2.4,2013,1,218000033,"ECU"
"619","Ecuador",34,,"Movimiento Suma, Sociedad Unida Más Acción","Sum, More Action United Society Movement",,218,"Movimiento SUMA, Sociedad Unida MÃ¡s AcciÃ³n",2013,2013,3.2,2013,1,218000034,"ECU"
"620","Ecuador",39,,"Movimiento Unidad Plurinacional Pachakutik-Nuevo Pais","Multinational Unity Movement of Pachakutik-New Country",,218,"Movimiento Unidad Plurinacional Pachakutik - Nuevo Pais",1996,2009,10.8,1996,3,218000039,"ECU"
"621","Ecuador",44,,"Partido Acción Popular Revolucionaria Ecuatoriana","Ecuadorian Revolutionary Popular Action Party",,218,"Partido Acción Popular Revolucionaria Ecuatoriana",1996,1996,3,1996,1,218000044,"ECU"
"622","Ecuador",45,,"Partido Avanza","Advance Party",,218,"Partido Avanza",2013,2013,3.1,2013,1,218000045,"ECU"
"623","Ecuador",46,,"Partido Conservador Ecuatoriano","Ecuadorian Conservative Party",,218,"Partido Conservador Ecuatoriano",1979,1998,7.8,1979,5,218000046,"ECU"
"624","Ecuador",47,,"Partido Demócrata","Democrat Party",,218,"Partido Demócrata",1984,1984,9.1,1984,1,218000047,"ECU"
"625","Ecuador",48,,"Partido Izquierda Democratica","Democratic-Left Party",,218,"Partido Izquierda Democratica",1979,2009,21.8,1988,9,218000048,"ECU"
"626","Ecuador",49,,"Partido Liberal Radical","Radical Liberal Party",,218,"Partido Liberal Radical",1979,1979,8,1979,1,218000049,"ECU"
"627","Ecuador",50,,"Partido Movimiento Popular Democrática","Popular Democratic Movement Party",,218,"Partido Movimiento Popular Democrática",1979,2009,6.1,1984,8,218000050,"ECU"
"628","Ecuador",51,,"Partido Nacionalista Revolucionario","Revolutionary Nationalist Party",,218,"Partido Nacionalista Revolucionario",1979,1979,7.5,1979,1,218000051,"ECU"
"629","Ecuador",52,,"Partido Renovador Institucional Acción Nacional","National Institutional Action Renewal Party",,218,"Partido Renovador Institucional Acción Nacional",2006,2013,16.3,2006,3,218000052,"ECU"
"630","Ecuador",53,,"Partido Roldosista Ecuatoriano","Ecuadorian Roldosista Party",,218,"Partido Roldosista Ecuatoriano",1984,2013,20.4,1996,9,218000053,"ECU"
"631","Ecuador",54,,"Partido Social Cristiano","Christian Social Party",,218,"Partido Social Cristiano",1979,2013,30.4,1996,10,218000054,"ECU"
"632","Ecuador",55,,"Partido Socialista - Frente Amplio","Socialist Party - Broad Front",,218,"Partido Socialista - Frente Amplio",2006,2013,2.7,2006,3,218000055,"ECU"
"633","Ecuador",56,,"Partido Socialista Ecuatoriana","Ecuadorian Socialist Party",,218,"Partido Socialista Ecuatoriana",1990,1992,8.9,1990,2,218000056,"ECU"
"634","Ecuador",57,,"Partido Sociedad Patriótica","Patriotic Society Party",,218,"Partido Sociedad Patriótica",2006,2006,8.1,2006,1,218000057,"ECU"
"635","Ecuador",58,,"Partido Unidad Republicana","Republican Unity Party",,218,"Partido Unidad Republicana",1992,1992,17.6,1992,1,218000058,"ECU"
"636","Ecuador",59,,"Partido Union Democrata Cristiana","Democratic Christian Union Party",,218,"Partido Union Democrata Cristiana",2006,2009,5.3,2006,2,218000059,"ECU"
"637","Ecuador",62,,"Partido Sociedad Patriotica ""21 de Enero""",,,218,"Partido Sociedad PatriÃ³tica ""21 De Enero""",2009,2013,12.9,2009,2,218000062,"ECU"
"638","El Salvador",1,,"Partido Demócrata Cristiano","Christian Democratic Party",,222,"Christian Democratic Party",1994,2015,17.9,1994,7,222000001,"SLV"
"639","El Salvador",3,,"Partido Renovación Social Cristiano","Christian Social Renewal Party",,222,"Christian Social Renewal Party",1997,1997,3.6,1997,1,222000003,"SLV"
"640","El Salvador",6,,"Cambio Demócratico","Democratic Change",,222,"Democratic Change",2006,2015,3.1,2006,4,222000006,"SLV"
"641","El Salvador",7,,"Convergencia Demócratica","Democratic Convergence",,222,"Democratic Convergence",1994,1997,4.4,1994,2,222000007,"SLV"
"642","El Salvador",8,,"Partido Liberal Democrático","Democratic Liberal Party",,222,"Democratic Liberal Party",1997,2000,3.2,1997,2,222000008,"SLV"
"643","El Salvador",10,,"Frente Farabundo Martí para la Liberación Nacional","Farabundo Martí National Liberation Front",,222,"Farabundo Martí National Liberation Front",1994,2015,42.6,2009,8,222000010,"SLV"
"644","El Salvador",12,,"Gran Alianza por la Unidad Nacional","Grand Alliance for National Unity",,222,"Grand Alliance for National Unity",2012,2015,9.6,2012,2,222000012,"SLV"
"645","El Salvador",14,,"Partido Acción Nacional","National Action Party",,222,"National Action Party",2000,2003,3.7,2000,2,222000014,"SLV"
"646","El Salvador",15,,"Concertación Nacional","National Coalition",,222,"National Coalition",2012,2015,6.8,2015,2,222000015,"SLV"
"647","El Salvador",16,,"Partido de Conciliación Nacional","National Conciliation Party",,222,"National Conciliation Party",1994,2009,13,2003,6,222000016,"SLV"
"648","El Salvador",18,,"Alianza Republicana Nacionalista","National Republican Alliance",,222,"Nationalist Republican Alliance",1994,2015,45,1994,8,222000018,"SLV"
"649","El Salvador",20,,"Partido Politico de la Esperanza","Political Party of Hope",,222,"Political Party of Hope",2012,2012,2.2,2012,1,222000020,"SLV"
"650","El Salvador",29,,"Centro Democrático Unido","United Democratic Center",,222,"United Democratic Center",2000,2003,6.3,2003,2,222000029,"SLV"
"651","El Salvador",30,,"Movimiento de Unidad","Unity Movement",,222,"Unity Movement",1994,1997,2.5,1994,2,222000030,"SLV"
"652","Equatorial Guinea",1,"CLD","Convención Liberal Democrática","Liberal Democratic Convention",,226,"convención liberal democrática",1993,1993,2.5,1993,1,226000001,"GNQ"
"653","Equatorial Guinea",2,"CSDP","Convergencia Socialdemocráta Popular","Social Democratic People Convention",,226,"convergencia socialdemocráta popular",1993,1993,10.3,1993,1,226000002,"GNQ"
"654","Equatorial Guinea",3,"PDGE","Partido Democrático de Guinea Ecuatorial","Democratic Party of Equatorial Guinea",,226,"partido democrático de guinea ecuatorial",1993,1993,69.8,1993,1,226000003,"GNQ"
"655","Equatorial Guinea",4,"PL","Partido Liberal","Liberal Party",,226,"partido liberal",1993,1993,6.4,1993,1,226000004,"GNQ"
"656","Equatorial Guinea",8,"UDS","Unión Demócrata Social","Social Democratic Union",,226,"unión demócrata social",1993,1993,7.4,1993,1,226000008,"GNQ"
"657","Estonia",6,,"Eesti Keskerakond","Estonian Centre Party",,233,"eesti keskerakond",1995,2015,26.1,2007,6,233000006,"EST"
"658","Estonia",7,,"Eesti Koonderakond","Estonian Coalition Party including Estonian Country League (Eesti Maaliit, EML) and Estonian Party of Pensioners and Families (Eesti Pensionäride ja Perede Erakond, EPPE)",,233,"eesti koonderakond",1999,1999,7.6,1999,1,233000007,"EST"
"659","Estonia",8,,"Eesti Kristlik Rahvapartei","Estonian Christian People's Party",,233,"eesti kristlik rahvapartei",1999,2003,2.4,1999,2,233000008,"EST"
"660","Estonia",9,,"Eesti Maarahva Erakond","Estonian Country People's Party",,233,"eesti maarahva erakond",1999,1999,7.3,1999,1,233000009,"EST"
"661","Estonia",12,,"Eesti Rahvusliku Sõltumatuse Partei","Estonian National Independence Party",,233,"eesti rahvusliku soltumatuse partei",1992,1992,11.5,1992,1,233000012,"EST"
"662","Estonia",13,,"Eesti Reformierakond","Estonian Reform Party",,233,"eesti reformierakond",1995,2015,28.6,2011,6,233000013,"EST"
"663","Estonia",18,,"Eestimaa Rahvaliit","Estonian People's Union",,233,"eestimaa rahvaliit",2003,2011,13,2003,3,233000018,"EST"
"664","Estonia",19,,"Eestimaa Ühendatud Rahvapartei","Estonian United People's Party; a joint list of Russian parties plus Estonian Social Democratic Labour Party",,233,"eestimaa Ühendatud rahvapartei",1999,1999,6.1,1999,1,233000019,"EST"
"665","Estonia",21,,"Erakond Eestimaa Rohelised","Estonian Greens",,233,"Erakond Eestimaa Rohelised",2007,2015,7.1,2007,3,233000021,"EST"
"666","Estonia",22,,"Erakond Isamaa Ja Res Publica Liit","Union of Pro Patria and Res Publica",,233,"Erakonda Isamaa Ja Res Publica Liit",2007,2015,20.5,2011,3,233000022,"EST"
"667","Estonia",23,,"Erakond Isamaaliit","Pro Patria",,233,"erakond isamaaliit",1999,2003,16.1,1999,2,233000023,"EST"
"668","Estonia",28,,"Mõõdukad","Moderates",,233,"mõõdukad",1999,1999,15.2,1999,1,233000028,"EST"
"669","Estonia",30,,"Parempoolsed","People's Party of Republicans and Conservatives (aka. Right-wingers. )",,233,"parempoolsed",1995,1995,5,1995,1,233000030,"EST"
"670","Estonia",32,,"Rahvaerakond Mõõdukad","People's Party Moderates",,233,"rahvaerakond mõõdukad",2003,2003,7,2003,1,233000032,"EST"
"671","Estonia",33,,"Sotsiaaldemokraatlik Erakond","Social Democratic Party",,233,"Sotsiaaldemokraatilik Erakond",2007,2015,17.1,2011,3,233000033,"EST"
"672","Estonia",34,,"Tuleviku Eesti Erakond","Future Estonia Party",,233,"tuleviku eesti erakond",1995,1995,2.6,1995,1,233000034,"EST"
"673","Estonia",35,,"Ühendus Vabariigi Eest - Res Publica","Union for the Republic - Res Publica",,233,"Ühendus vabariigi eest - res publica",2003,2003,24.6,2003,1,233000035,"EST"
"674","Estonia",36,,"Vasakvõimalus","Left Alternative",,233,"eestimaa Ühendatud rahvapartei",1992,2003,2.2,2003,2,233000036,"EST"
"675","Estonia",37,,"Vene Erakond Eestis","Russian Party in Estonia",,233,"vene erakond eestis",1999,2011,2,1999,4,233000037,"EST"
"676","Estonia",38,,"Eesti Konservatiivne Rahvaerakond","Conservative People's Party of Estonia",,233,"Eesti Konservatiivne Rahvaerakond",2015,2015,8.1,2015,1,233000038,"EST"
"677","Estonia",39,,"Eesti Vabaerakond","Estonia Free Party",,233,"Eesti Vabaerakond",2015,2015,9.1,2015,1,233000039,"EST"
"678","Ethiopia",1,"ANDP","Afar National Democratic Party",,,231,"Afar National Democratic Party",2010,2010,3.4,2010,1,231000001,"ETH"
"679","Ethiopia",13,"Forum","Ethiopian Federal Democratic Unity Forum","Medrek",,231,"Ethiopian Federal Democratic Unity Forum",2010,2010,4.8,2010,1,231000013,"ETH"
"680","Ethiopia",34,"SPDP","Somali People's Democratic Party",,,231,"Somali People's Democratic Party",2010,2010,9.1,2010,1,231000034,"ETH"
"681","Faroe Islands",1,,"Sambandsflokkurin","Unionist Party",,234,"unionist party",1906,2015,72.3,1910,35,234000001,"FRO"
"682","Faroe Islands",2,,"Sjálvstýrisflokkurin","Self-Government Party",,234,"Self-Government PartyÂ ",1906,2015,51.7,1916,34,234000002,"FRO"
"683","Faroe Islands",3,,"Javnaðarflokkurin","Social Democratic Party",,234,"social democratic party",1928,2015,28.1,1946,26,234000003,"FRO"
"684","Faroe Islands",5,,"Vinnuflokkurin","Business Party",,234,"business party",1936,1936,8.1,1936,1,234000005,"FRO"
"685","Faroe Islands",6,,"Fólkaflokkurin","People’s Party",,234,"people's party",1940,2015,43.4,1945,23,234000006,"FRO"
"686","Faroe Islands",8,,"Tjóðveldisflokkurin","Republican Party",,234,"republican party",1950,2015,23.9,1958,19,234000008,"FRO"
"687","Faroe Islands",9,,"Framburðsflokkurin","Progress Party",,234,"The Progress Party",1958,2015,8.2,1980,13,234000009,"FRO"
"688","Faroe Islands",10,,"Framsóknarflokkurin","Progressionist’s Party",,234,"progressionist's party",1988,1988,2.1,1988,1,234000010,"FRO"
"689","Faroe Islands",11,,"Sosialitiski Loysingarflokkurin","Socialist Separatists Party",,234,"socialist separatists party",1990,1990,2.3,1990,1,234000011,"FRO"
"690","Faroe Islands",13,,"Hin Føroyski Flokkurin","Faroese Party",,234,"faroese party",1994,1994,2.4,1994,1,234000013,"FRO"
"691","Faroe Islands",14,,"Miðflokkurin","Centre Party",,234,"centre party",1994,2015,8.4,2008,7,234000014,"FRO"
"692","Faroe Islands",15,,"Verkamannafylkingin","Workers’ Movement",,234,"workers' movement",1994,1998,9.5,1994,2,234000015,"FRO"
"693","Faroe Islands",16,,"Hin Stuttligi Flokkurin","Funny Party",,234,"funny party",2004,2004,2.4,2004,1,234000016,"FRO"
"694","Fiji",3,,"FijiFirst",,,242,"fijifirst",2014,2014,61.3,2014,1,242000003,"FJI"
"695","Fiji",4,,"National Federation Party",,,242,"national federation party",2014,2014,5.5,2014,1,242000004,"FJI"
"696","Fiji",6,,"People’s Democratic Party",,,242,"people's democratic party",2014,2014,3,2014,1,242000006,"FJI"
"697","Fiji",7,,"Social Democratic Liberal Party",,,242,"social democratic liberal party",2014,2014,28,2014,1,242000007,"FJI"
"698","Finland",1,,"Demokraattinen vaihtoehto","Democratic Alternative",,246,"demokraattinen vaihtoehto",1987,1987,4.3,1987,1,246000001,"FIN"
"699","Finland",2,,"Isänmaallinen kansanliike","Patriotic People's Movement",,246,"isänmaallinen kansanliike",1936,1939,8.3,1936,2,246000002,"FIN"
"700","Finland",3,,"Kansallinen edistyspuolue","National Progressive Party",,246,"kansallinen edistyspuolue",1919,1948,13.8,1919,11,246000003,"FIN"
"701","Finland",4,,"Kansallinen kokoomuspuolue","National Coalition Party",,246,"kansallinen kokoomuspuolue",1919,2015,23.2,1987,28,246000004,"FIN"
"702","Finland",6,,"Keskustapuolue","Centre Party",,246,"keskustapuolue",1966,1987,21.2,1966,6,246000006,"FIN"
"703","Finland",7,,"Liberaalinen kansanpuolue","Liberal People's Party",,246,"liberaalinen kansanpuolue",1966,1999,6.5,1966,6,246000007,"FIN"
"704","Finland",8,,"Maalaisliitto","Agrarian Union",,246,"maalaisliitto",1907,1962,27.3,1930,23,246000008,"FIN"
"705","Finland",9,,"Nuorsuomalaienen puolue","Young Finns",,246,"nuorsuomalaienen puolue",1907,1916,14.9,1911,7,246000009,"FIN"
"706","Finland",10,,"Pientalonpojat","Small Holders' Party",,246,"pientalonpojat",1962,1962,2.2,1962,1,246000010,"FIN"
"707","Finland",11,,"Ruotsalainen kansanpuolue-Svenska Folkspartiet","Swedish People's Party",,246,"ruotsalainen kansanpuolue-svenska folkspartiet",1907,2015,13.5,1910,37,246000011,"FIN"
"708","Finland",13,,"Sosialistinen työväen ja pienviljelijäin puolue","Socialist Workers' and Small Holders' Party",,246,"sosialistinen työväen ja pienviljelijäin puolue",1929,1929,13.5,1929,1,246000013,"FIN"
"709","Finland",14,,"Suomalainen puolue","Finnish Party (or Old Finns or compilers)",,246,"suomalainen puolue",1907,1917,30.2,1917,8,246000014,"FIN"
"710","Finland",15,,"Suomen kansan demokraattinen liitto","People's Democratic Movement",,246,"suomen kansan demokraattinen liitto",1945,1987,23.2,1945,13,246000015,"FIN"
"711","Finland",17,,"Suomen kansanpuolue","Finnish People's Party",,246,"suomen kansanpuolue",1951,1962,7.9,1954,4,246000017,"FIN"
"712","Finland",18,,"Suomen Keskusta","Finnish Center",,246,"suomen keskusta",1991,2015,24.9,1991,7,246000018,"FIN"
"713","Finland",19,,"Suomen kristillinen liitto","Christian League",,246,"suomen kristillinen liitto",1975,1999,4.8,1979,6,246000019,"FIN"
"714","Finland",20,,"Suomen Kristillinen Työväen Puolue","Christian Labour Union",,246,"suomen kristillinen työväen puolue",1907,1917,2.7,1909,8,246000020,"FIN"
"715","Finland",21,,"Suomen maaseudun puolue","Rural Party",,246,"suomen maaseudun puolue",1970,1991,10.5,1970,7,246000021,"FIN"
"716","Finland",23,,"Suomen pienviljelijäin puolue","Finnish Small Holders' Party",,246,"suomen pienviljelijäin puolue",1930,1945,3.4,1933,5,246000023,"FIN"
"717","Finland",24,,"Suomen sosialidemokraattinen puolue","Social Democratic Party",,246,"suomen sosialidemokraattinen puolue",1907,2015,47.3,1916,37,246000024,"FIN"
"718","Finland",25,,"Suomen sosialistinen työväenpuolue","Finnish Socialist Workers' Party",,246,"suomen sosialistinen työväenpuolue",1922,1922,14.8,1922,1,246000025,"FIN"
"719","Finland",26,,"Suomen työväenpuolue","Finnish Labour Party",,246,"suomen työväenpuolue",1924,1927,12.1,1927,2,246000026,"FIN"
"720","Finland",27,,"Työväen ja pienviljelijäin sosialidemokraattinen liitto","Social Democratic League of Workers and Small Holders",,246,"työväen ja pienviljelijäin sosialidemokraattinen liitto",1962,1966,4.4,1962,2,246000027,"FIN"
"721","Finland",28,,"Vasemmistoliitto","Left Wing Alliance",,246,"vasemmistoliitto",1991,2015,11.2,1995,7,246000028,"FIN"
"722","Finland",29,,"Vihreä liitto","Green League",,246,"vihre liitto",1987,2015,9.3,2015,8,246000029,"FIN"
"723","Finland",38,,"Perussuomalaiset","True Finns",,246,"perussuomalaiset",1999,2015,19.1,2011,5,246000038,"FIN"
"724","Finland",45,,"Suomen Kristillisdemokraatit","Christian Democrats in Finland",,246,"suomen kristillisdemokraatit",2003,2015,5.4,2003,4,246000045,"FIN"
"725","France",1,,"Aujour'hui l'Ecologie","Ecology Today",,250,"aujour'hui l'ecologie",1981,2017,4.3,2017,2,250000001,"FRA"
"726","France",7,,"Front National","National Front",,250,"front national",1973,2017,15.6,1997,11,250000007,"FRA"
"727","France",8,,"Génération Écologie","Ecology Generation",,250,"génération Écologie",1993,1993,3.7,1993,1,250000008,"FRA"
"728","France",9,,"Les Verts","The Greens",,250,"The Greens",1986,2012,5.5,2012,6,250000009,"FRA"
"729","France",12,,"Mouvement de citoyen","Citizen's Movement",,250,"mouvement de citoyen",1997,1997,2.2,1997,1,250000012,"FRA"
"730","France",17,,"Parti Communiste Français","French Communist Party",,250,"parti communiste français",1973,2017,21.3,1973,10,250000017,"FRA"
"731","France",18,,"Parti Radical de Gauche","Radical Party of the Left",,250,"Radical Party of the Left",2002,2017,2.9,2012,4,250000018,"FRA"
"732","France",19,,"Parti Socialiste","Socialist Party",,250,"parti socialiste",1973,2017,36.2,1981,8,250000019,"FRA"
"733","France",23,,"Rassemblement pour la République","Rally for the Republic",,250,"rassemblement pour la république",1978,1997,22.3,1978,6,250000023,"FRA"
"734","France",29,,"Union pour un Mouvement Populaire","Union for a Popular Movement",,250,"union pour un mouvement populaire",2002,2012,39.9,2007,3,250000029,"FRA"
"735","France",30,,"Nouveau Centre","New Center",,250,"New Center",2012,2012,2.2,2012,1,250000030,"FRA"
"736","France",32,,"Front de gauche","Left Front",,250,"Left Front",2012,2012,6.9,2012,1,250000032,"FRA"
"737","Gambia",1,"APRC","Alliance for Patriotic Reorientation and Construction",,,270,"alliance for patriotic reorientation and construction",1997,2017,59.8,2007,4,270000001,"GMB"
"738","Gambia",3,"NRP","National Reconciliation Party",,,270,"national reconciliation party",1997,2017,9.4,2012,4,270000003,"GMB"
"739","Gambia",4,"PDOIS","People's Democratic Organisation for Independence and Socialism",,,270,"people's democratic organisation for independence and socialism",1997,2017,8.9,2017,2,270000004,"GMB"
"740","Gambia",5,"PPP","People's Progressive Party",,,270,"People's Progressive Party",2017,2017,2.5,2017,1,270000005,"GMB"
"741","Gambia",6,"UDP","United Democratic Party",,,270,"united democratic party",1997,2017,37.5,2017,3,270000006,"GMB"
"742","Gambia",7,"GDC","Gambia Democratic Congress",,,270,"Gambia Democratic Congress",2017,2017,17.4,2017,1,270000007,"GMB"
"743","Georgia",3,,"Georgian Dream",,,268,"Georgian Dream",2012,2012,54.2,2012,1,268000003,"GEO"
"744","Georgia",8,,"Labour Party of Georgia",,,268,"Labour Party of Georgia",2012,2016,2.3,2016,2,268000008,"GEO"
"745","Georgia",14,,"United National Movement",,,268,"United National Movement",2012,2012,40.5,2012,1,268000014,"GEO"
"746","Georgia",17,,"Free Democrats",,,268,"Free Democrats",2016,2016,4.7,2016,1,268000017,"GEO"
"747","Georgia",31,,"United National Movement",,,268,"United National Movement",2016,2016,26.6,2016,1,268000031,"GEO"
"748","Germany",1,,"Antisemiten","Antisemites",,276,"antisemiten",1890,1903,3.7,1898,3,276000001,"DEU"
"749","Germany",3,,"Bayernpartei","Bavarian Party",,276,"bayernpartei",1949,2013,4.2,1949,6,276000003,"DEU"
"750","Germany",5,,"Bündnis '90/Die Grünen","Alliance '90-The Greens",,276,"bï¿½ndnis '90/die grï¿½nen",1994,1998,6.9,1994,2,276000005,"DEU"
"751","Germany",7,,"Christlich Demokratische Union","Christian Democratic Union",,276,"christlich demokratische union",1949,2013,44.4,1953,18,276000007,"DEU"
"752","Germany",8,,"Christlich Soziale Union","Christian Social Union",,276,"christlich-soziale union in bayern",1949,2009,10.6,1976,16,276000008,"DEU"
"753","Germany",9,,"Christlich-Sozialer Volksdienst (Evangelische Bewegung)","Christian-Social People’s Service (Evangelical Movement)",,276,"christlich-sozialer volksdienst (evangelische bewegung)",1930,1930,2.5,1930,1,276000009,"DEU"
"754","Germany",11,,"Deutsch-Demokratische Partei","German Democratic Party",,276,"deutsch-demokratische partei",1919,1924,18.6,1919,4,276000011,"DEU"
"755","Germany",13,,"Deutsche Freiheitliche Volkspartei","German Freedom People's Party",,276,"deutsche freiheitliche volkspartei",1924,1924,6.6,1924,1,276000013,"DEU"
"756","Germany",14,,"Deutsche Freisinnige Partei","German Liberal Party",,276,"deutsche freisinnige partei",1884,1890,17.6,1884,3,276000014,"DEU"
"757","Germany",15,,"Deutsche Konservative","German Conservative",,276,"deutsche konservative",1871,1912,16.3,1881,13,276000015,"DEU"
"758","Germany",17,,"Deutsche Partei","German Party",,276,"deutsche partei",1949,1957,4,1949,3,276000017,"DEU"
"759","Germany",20,,"Deutsche Reichspartei (i)","German Empire Party",,276,"deutsche reichspartei (i)",1871,1912,13.6,1878,13,276000020,"DEU"
"760","Germany",21,,"Deutsche Staatspartei","German State Party",,276,"deutsche staatspartei",1928,1932,4.8,1928,3,276000021,"DEU"
"761","Germany",22,,"Deutsche Volkspartei","German People's Party",,276,"deutsche volkspartei",1871,1930,13.9,1920,17,276000022,"DEU"
"762","Germany",23,,"Deutsches Landvolk","German Countrymen",,276,"deutsches landvolk",1930,1930,3.2,1930,1,276000023,"DEU"
"763","Germany",24,,"Deutsch-Nationale Volkspartei","German Nationalist People’s Party",,276,"deutsch-nationale volkspartei",1919,1932,20.3,1924,8,276000024,"DEU"
"764","Germany",25,,"Die Grünen","The Greens",,276,"die grï¿½nen",1983,2013,10,2009,7,276000025,"DEU"
"765","Germany",27,,"Elsässer","Regional party in Alsace-Lorraine",,276,"elsässer",1881,1881,2.9,1881,1,276000027,"DEU"
"766","Germany",29,,"Forschrittliche Volkspartei","Progressive People's Party",,276,"forschrittliche volkspartei",1912,1912,12.3,1912,1,276000029,"DEU"
"767","Germany",30,,"Fortschrittspartei","Progress Party",,276,"fortschrittspartei",1871,1881,12.7,1881,5,276000030,"DEU"
"768","Germany",31,,"Freie Demokratische Partei","Free Democratic Party",,276,"freie demokratische partei",1949,2013,12.4,1961,18,276000031,"DEU"
