"country","party_id","party_abbrev","party_name","party_name_english","country_iso3","cmp_id","electionyear","vote","year_first","year_last"
"LAT",2401,"JL","Jaunais Laikas","New Era Party","LVA",87423,2002,23.9,2002,2006
"LAT",2402,"PCTVL; LKS","Par Cilveka Tiesibam Vienota Latvija; Latvijas Krievu savieniba","For Human Rights in United Latvia; Latvian Russian Union","LVA",87422,2002,19,2002,2014
"LAT",2403,"TP","Tautas Partija","People’s Party","LVA",87610,2006,19.6,2002,2006
"LAT",2404,"LPP","Latvijas Pirma Partija","Lativa’s First Party","LVA",87521,2002,9.5,2002,2006
"LAT",2405,"ZZS","Zaļo un Zemnieku Savieniba","Union of Greens and Farmers","LVA",87110,2014,19.5,2002,2014
"LAT",2406,"TB-LNNK; NA","Nacionala apvieniba “Visu Latvijai!”; “Tevzemei un Brivibai / LNNK”","National Alliance “All For Latvia!”; “For Fatherland and Freedom / LNNK”","LVA",87723,2014,16.6,2002,2014
"LAT",2407,"LC","Latvijas Celš","Latvia’s Way","LVA",87410,2002,4.9,2002,2006
"LAT",2408,"LSDSP","Latvijas Socialdemokratiska Stradnieku Partija","Latvian Social Democratic Labour Party","LVA",,2002,4,2002,2006
"LAT",2410,"SC; SDPS","Saskanas Centrs; Socialdemokratiska Partija “Saskaņa""","Harmony Centre; Social Democratic Party “Harmony”","LVA",,2011,28.4,2006,2014
"LAT",2411,"ZRP","Zatlera Reform Partija","Zatler’s Reform Party","LVA",,2011,20.8,2010,2010
"LAT",2412,"V","Vienotiba","Unity","LVA",,2014,21.9,2010,2014
"LAT",2413,"NSL","No sirds Latvijai","For Latvia from the Heart","LVA",,2014,6.9,2014,2014
"LAT",2414,"LRA","Latvijas Reǵionu apvieniba","Latvian Association of Regions","LVA",,2014,6.7,2014,2014
"LITH",2501,"LSDP","Lietuvos socialdemokrat partija","Social Democratic Party of Lithuania","LTU",88320,2000,27.4,2002,2014
"LITH",2502,"NDP","Naujosios demokratijos partija","New Democratic Party","LTU",,2000,2.1,2002,2002
"LITH",2503,"LRS","Lietuvos rus sąjunga","Lithuanian Russian Union","LTU",,2000,2.1,2002,2002
"LITH",2504,"NS","Naujoji sąjunga (socialliberalai)","New Union (Social Liberals)","LTU",88410,2000,19.6,2002,2010
"LITH",2505,"LLS; LiCS","Lietuvos liberal sąjunga; Liberalu ir centro sąjunga","Liberal Union of Lithuanian; Liberal and Centre Union","LTU",88422,2000,17.3,2002,2010
"LITH",2506,"TS-LKD","Tėvynės sąjunga—Lietuvos krikščionys demokratai","Homeland Union—Lithuanian Christian Democrats","LTU",88620,2008,19.6,2002,2014
"LITH",2507,"LVP; LVLS; LVZS","Lietuvos valstieči partija; Valstieciu ir Naujosios demokratijos partiju sajungos; Lietuvos valstieči ir Žalij sąjunga","Lithuanian Peasant Party; Lithuanian Peasant Popular Union; Lithuanian Peasant and Greens Union","LTU",88820,2004,6.6,2002,2014
"LITH",2508,"LKDP","Lietuvos krikščionys demokratai","Lithuanian Christian Democrats","LTU",88521,2000,3.1,2002,2002
"LITH",2509,"LCS","Lietuvos centro sąjunga","Center Union of Lithuania","LTU",88420,2000,2.9,2002,2002
"LITH",2510,"NKS","Nuosaikiuju konservatoriu sąjunga","Moderate Conservative Union","LTU",,2000,2,2002,2002
"LITH",2511,"LLRA","Lietuvos lenk rinkim akcija","Electoral Action of Lithuania’s Poles","LTU",88951,2012,5.8,2002,2014
"LITH",2512,"LLS","Lietuvos laisvės sąjunga","Lithuanian Liberty Union","LTU",,2000,1.3,2002,2002
"LITH",2513,"JL-PKS","Lietuviu Nacionaline Partija—“Jaunoji Lietuva”","Young Lithuania—New Nationalists and Political Prisoner’s Union","LTU",,2000,1.2,2002,2002
"LITH",2514,"MKDS","Moderniji krikščioni demokrat sąjunga","Modern Christian-Democratic Union","LTU",,,,2014,2014
"LITH",2515,"TT","Tvarka ir teisingumas","Order and Justice","LTU",88460,2008,12.7,2006,2014
"LITH",2516,"DP","Darbo partija","Labour Party","LTU",88440,2004,28.4,2006,2014
"LITH",2517,"TPP","Tautos prisikelimo partija","National Resurrection Party","LTU",,2008,15.1,2010,2010
"LITH",2518,"LRLS","Lietuvos Respublikos Liberal Sąjudis; Liberal Sąjudis","Liberals’ Movement of the Republic of Lithuania; Liberal Movement","LTU",88450,2012,8.6,2010,2014
"LITH",2519,"FRONT","Fronto Partija","Front Party","LTU",,2008,3.2,2010,2010
"LITH",2520,"DK","Drąsos Kelias","The Way of Courage","LTU",88952,2012,8,2014,2014
"POL",2601,"SLD","Sojusz Lewicy Demokratycznej","Alliance of Democratic Left","POL",92210,2001,38.1,2002,2014
"POL",2602,"UP","Unia Pracy","Union of Labour","POL",92322,2001,2.9,2002,2002
"POL",2603,"PO","Platforma Obywatelska","Civic Platform","POL",92435,2007,41.5,2002,2014
"POL",2604,"S","Samoobrona RP","Self Defense of the Polish Republic","POL",92622,2005,11.4,2002,2010
"POL",2605,"PiS","Prawo i Sprawiedliwość","Law and Justice Party","POL",92436,2007,32.1,2002,2014
"POL",2606,"PSL","Polskie Stronnictwo Ludowe","Polish People’s Party","POL",92811,2001,9,2002,2014
"POL",2607,"LPR","Liga Polskich Rodzin","League of Polish Families","POL",92713,2005,8,2002,2010
"POL",2608,"AWSP","Koalicja Akcja Wyborcza Solidarność Prawicy","Coalition Electoral Action Solidarity of the Right","POL",92620,2001,5.6,2002,2002
"POL",2609,"UW; PD","Unia Wolności; Partia Demokratyczna","Freedom Union; Democratic Party","POL",92434,2001,3.1,2002,2006
"POL",2611,"SDPL","Socjaldemokracja Polska","Social Democracy of Poland","POL",,2005,3.9,2006,2010
"POL",2612,"SD","Stronnictwo Demokratyczne","Democratic Party","POL",92211,2007,0.7,2010,2010
"POL",2613,"RP","Twój Ruch (Ruch Palikota)","Your Movement (Palikot’s Movement)","POL",92440,2011,10,2014,2014
"POL",2614,"KNP","Kongres Nowej Prawicy","Congress of the New Right","POL",,2011,1.1,2014,2014
"POL",2615,"PR","Polska Razem","Poland Together","POL",,2011,0.2,2014,2014
"POL",2616,"SP","Solidarna Polska","United Poland","POL",,,,2014,2014
"ROM",2701,"PSD","Partidul Social Democrat","Social Democratic Party","ROU",93223,2000,36.6,2002,2014
"ROM",2702,"PUR; PC","Partidul Umanist din Romania; Partidul Conservator","Romanian Humanist Party; Conservative Party","ROU",,2004,5.3,2002,2014
"ROM",2703,"PRM","Partidul România Mare","Party of Great Romania","ROU",93712,2000,19.5,2002,2010
"ROM",2704,"PDL","Partidul Democrat","Democratic Party","ROU",93530,2008,32.4,2002,2014
"ROM",2705,"PNL","Partidul Naţional Liberal","National Liberal Party","ROU",93430,2012,21.5,2002,2014
"ROM",2706,"UDMR","Uniunea Democratǎ Maghiarǎ din România","Hungarian Democratic Union of Romania","ROU",93951,2000,6.8,2002,2014
"ROM",2707,"CDR 2000","Convenţia Democratǎ Românǎ","Romanian Democratic Convention 2000","ROU",93411,2000,5,2002,2002
"ROM",2708,"FDGR","Forumul Democrat al Germanilor din România","Democratic Forum of Germans of Romania","ROU",,,,2014,2014
"ROM",2709,"UNPR","Uniunea Naionalǎ pentru Progresul României","National Union for the Progress of Romania","ROU",,2012,2.1,2014,2014
"ROM",2710,"PP-DD","Partidul Poporului—Dan Diaconescu","People’s Party—Dan Diaconescu","ROU",93981,2012,14,2014,2014
"ROM",2711,"PMP","Partidul Micarea Popularǎ","People’s Movement Party","ROU",,,,2014,2014
"ROM",2712,"PLR","Partidul Liberal Reformator","Liberal Reformist Party","ROU",,,,2014,2014
"SLO",2801,"LS-HZDS","Ludová strana-Hnutie za demokratické Slovensko","People’s Party-Movement for a Democratic Slovakia","SVK",96711,2002,19.5,2002,2010
"SLO",2802,"SDKU; SDKU-DS","Slovenská demokratická a krestanská únia; Slovenská demokratická a krestanská unia—Demokratická strana","Slovak Democratic and Christian Union; Slovak Democratic and Christian Union—Democratic Party","SVK",96523,2006,18.4,2002,2014
"SLO",2803,"Smer; Smer-SD","Strana Smer-Tretia Cesta; Smer-sociálna demokracia","Direction-Third Way; Direction—Social Democracy","SVK",96423,2012,44.4,2002,2014
"SLO",2804,"SMK; SMK-MKP","Strana madarskej koalície—Magyar Koalíció Pártja","Party of the Hungarian Coalition","SVK",96952,2006,11.7,2002,2014
"SLO",2805,"KDH","Kresťanskodemokratické hnutie","Christian Democratic Movement","SVK",96521,2012,8.8,2002,2014
"SLO",2806,"ANO","Aliancia Nového Občana","Alliance for a New Citizen","SVK",96424,2002,8,2002,2002
"SLO",2807,"KSS","Komunistická strana Slovenska","Communist Party of Slovakia","SVK",96222,2002,6.3,2002,2010
"SLO",2808,"PSNS","Pravá Slovenská národná strana","Right Slovak National Party","SVK",,2002,3.7,2002,2002
"SLO",2809,"SNS","Slovenská národná strana","Slovak National Party","SVK",96710,2006,11.7,2002,2014
"SLO",2810,"HZD","Hnutie za demokraciu","Movement for Democracy","SVK",,2002,3.3,2002,2002
"SLO",2811,"SF","Slobodné fórum","Free Forum","SVK",,2006,3.5,2006,2010
"SLO",2812,"SaS","Sloboda a Solidarita","Freedom and Solidarity","SVK",96440,2010,12.1,2010,2014
"SLO",2813,"Most","Most-Hid","Bridge","SVK",96955,2010,8.1,2010,2014
"SLO",2814,"OLaNO","Obyčajní Ľudia a nezávislé osobnosti","Ordinary People and Independent Personalities","SVK",96620,2012,8.6,2014,2014
"SLO",2815,"NOVA","Nová Väčšina","New Majority","SVK",,,,2014,2014
"SLO",2816,"Siet","Sieť","Net / Network","SVK",,,,2014,2014
"SLE",2901,"LDS","Liberalna demoracija Slovenije","Liberal Democracy of Slovenia","SVN",97421,2000,36.3,2002,2010
"SLE",2902,"SDS","Socialdemokratska stranka Slovenije; Slovenska demokratska stranka","Social Democratic Party of Slovenia; Slovenian Democratic Party","SVN",97330,2008,29.3,2002,2014
"SLE",2903,"ZLSD; SD","Združena lista socialnih demokratov; Socijalni Demokrati","United List of Social Democrats; Social Democrats","SVN",97322,2008,30.5,2002,2014
"SLE",2904,"SLS-SKD; SLS","Slovenska ljudska stranka","Slovenian People’s Party-Slovenian Christian Democrats; Slovenian People’s Party","SVN",97620,2000,9.6,2002,2014
"SLE",2905,"NSI","Nova Slovenija—Kršcanska ljudska stranka","New Slovenia—Christian People’s Party","SVN",97522,2004,9,2002,2014
"SLE",2906,"DeSUS","Demokratična stranka upokojencev Slovenije","Democratic Party of Pensioners of Slovenia","SVN",97951,2014,10.2,2002,2014
"SLE",2907,"SNS","Slovenska nacionalna stranka","Slovenian National Party","SVN",97710,2004,6.3,2002,2010
"SLE",2908,"SMS","Stranka Mladih Slovenije","Party of the Slovenia Youth","SVN",97952,2000,4.3,2002,2002
"SLE",2909,"AS","Aktivna Slovenija","Active Slovenia","SVN",,2004,3,2006,2006
"SLE",2910,"Zares","Zares","Zares—For Real","SVN",97440,2008,9.4,2010,2010
"SLE",2911,"SMC","Stranka Mira Cerarja","Party of Miro Cerar","SVN",,2014,34.5,2014,2014
"SLE",2912,"ZL","Združena Levica","United Left","SVN",,2014,6,2014,2014
"SLE",2913,"ZaAB","Zavezništvo Alenke Bratušek","Alliance of Alenka Bratušek","SVN",,2014,4.4,2014,2014
"SLE",2914,"PS","Pozitivna Slovenija","Positive Slovenia","SVN",97340,2014,3,2014,2014
"CRO",3101,"HDZ","Hrvatska Demokratska Zajednica","Croatian Democratic Union","HRV",81711,2011,21.9,2014,2014
"CRO",3102,"SDP","Socialdemokratska Partija Hrvatske","Social Democratic Party of Croatia","HRV",81223,2011,31.3,2014,2014
"CRO",3103,"HSS","Hrvatska Seljačka Stranka","Croatian Peasant Party","HRV",81810,2011,0.6,2014,2014
"CRO",3104,"HSLS","Hrvatska Socijalno Liberalna Stranka","Croatian Social Liberal Party","HRV",81410,2011,3,2014,2014
"CRO",3105,"HNS","Hrvatska Narodna Stranka—Liberalni Demokrati","Croatian People’s Party—Liberal Democrats","HRV",81712,2011,6.7,2014,2014
"CRO",3106,"IDS","Istarski Demokratski Sabor","Istrian Democratic Assembly","HRV",81953,2011,1.5,2014,2014
"CRO",3107,"HDSSB","Hrvatski Demokrtski Sabor Slavonije i Baranje","Croatian Democratic Assembly of Slavonija and Baranja","HRV",81952,2011,3,2014,2014
"CRO",3109,"HSP","Hrvatska Stranka Prava","Croatian Party of Rights","HRV",81713,2011,3,2014,2014
"CRO",3112,"HL-SR","Hrvatski Laburisti–Stranka Rada","Croatian Labourists–Labour Party","HRV",81230,2011,4.2,2014,2014
"CRO",3113,"HSP-AS","Hrvatska stranka prava dr. Ante Starčević","Croatian Party of Rights dr. Ante Starcevic","HRV",81713,2011,0.6,2014,2014
"CRO",3114,"ORaH","Održivi Razvoj Hrvatske","Croatian Sustainable Development","HRV",,,,2014,2014
"MAL",3701,"PL","Partit Laburista","Labour Party","MLT",54320,2013,54.8,2014,2014
"MAL",3702,"PN","Partit Nazzjonalista","Nationalist Party","MLT",54620,2013,43.3,2014,2014
"LUX",3801,"CSV","Chrëschtlech Sozial Vollekspartei","Christian Social People’s Party","LUX",23520,2013,33.7,2014,2014
"LUX",3802,"Greng","Déi Gréng","The Greens","LUX",23113,2013,10.1,2014,2014
"LUX",3803,"DP","Demokratesch Partei","Democratic Party","LUX",23420,2013,18.3,2014,2014
"LUX",3804,"LSAP","Lëtzebuerger Sozialistesch Aarbechterpartei","Luxembourg Socialist Workers’ Party","LUX",23320,2013,20.3,2014,2014
"LUX",3805,"ADR","Alternativ Demokratesch Reformpartei","Alternative Democratic Reform Party","LUX",23951,2013,6.6,2014,2014
"LUX",3806,"DL","Déi Lénk","The Left","LUX",23230,2013,4.9,2014,2014
"CYP",4001,"DISY","Dimokratikós Sinagermós","Democratic Rally","CYP",55711,2011,34.3,2014,2014
"CYP",4002,"Evroko","Evropaiko Komma","European Party","CYP",55430,2011,3.9,2014,2014
"CYP",4003,"AKEL","Anorthotikó Kómma Ergazómenou Laoú","Progressive Party of Working People","CYP",55321,2011,32.7,2014,2014
"CYP",4004,"DIKO","Dimokratikó Kómma","Democratic Party","CYP",55422,2011,15.8,2014,2014
"CYP",4005,"EDEK","Kinima Sosialdimokraton EDEK","Movement for Social Democracy EDEK","CYP",55322,2011,8.9,2014,2014
"CYP",4006,"KOP","Kinima Oikologon Perivallontiston","Ecological and Environmental Movement","CYP",55110,2011,2.2,2014,2014
"TUR",3401,"AKP","Adalet ve Kalkinma Partisi","Justice and Development Party","TUR",,,,2014,2014
"TUR",3402,"CHP","Cumhuriyet Halk Patisi","Republican People’s Party","TUR",,,,2014,2014
"TUR",3403,"MHP","Milliyetci Hareket Partisi","Nationalist Movement Party","TUR",,,,2014,2014
"TUR",3407,"HDP","Halklarin Demokratik Partisi","Peoples’ Democratic Party","TUR",,,,2014,2014
"NOR",3501,"Ap","Arbeiderpartiet","Labour Party","NOR",,,,2014,2014
"NOR",3502,"FrP","Fremskrittspartiet","Progress Party","NOR",,,,2014,2014
"NOR",3503,"H","Høyre","Conservative Party","NOR",,,,2014,2014
"NOR",3504,"SV","Sosialistisk Venstreparti","Socialist Left Party","NOR",,,,2014,2014
"NOR",3505,"Sp","Senterpartiet","Centre Party","NOR",,,,2014,2014
"NOR",3506,"KrF","Kristelig Folkeparti","Christian Democratic Party","NOR",,,,2014,2014
"NOR",3507,"V","Venstre","Liberal Party","NOR",,,,2014,2014
"NOR",3508,"MDG","Miljøpartiet De Grønne","Green Party","NOR",,,,2014,2014
"SWI",3601,"SVP/UDC","","Swiss People’s Party","CHE",,,,2014,2014
"SWI",3602,"SP/PS","","Social Democratic Party of Switzerland","CHE",,,,2014,2014
"SWI",3603,"FDP/PLR","","FDP. The Liberals","CHE",,,,2014,2014
"SWI",3604,"CVP/PVC","","Christian Democratic People’s Party","CHE",,,,2014,2014
"SWI",3605,"GPS/PES","","Green Party","CHE",,,,2014,2014
"SWI",3606,"GLP/PVL","","Green Liberal Party","CHE",,,,2014,2014
"SWI",3607,"EVP/PEV","","Evangelical People’s Party","CHE",,,,2014,2014
"SWI",3608,"EDU/UDF","","Federal Democratic Union","CHE",,,,2014,2014
"SWI",3610,"LdT","","Ticino League","CHE",,,,2014,2014
"SWI",3611,"CSP/PCS","","Christian Social Party","CHE",,,,2014,2014
"SWI",3612,"BDP","","Conservative Democratic Party","CHE",,,,2014,2014
"BIH",3001,"SDA","Stranka Demokratske Akcije","Party of Democratic Action","BIH",,,,2014,2014
"BIH",3003,"SDP","Socijaldemokratska Partija Bosne i Hercegovine","Social Democratic Party of Bosnia and Herzegovina","BIH",,,,2014,2014
"BIH",3004,"HDZ BiH","Hrvatska Demokratska Zajednica Bosne i Hercegovine","Croatian Democratic Union of BiH","BIH",,,,2014,2014
"BIH",3005,"HDZ 1990","Hrvatska Demokratska Zajednica 1990","Croatian Democratic Union 1990","BIH",,,,2014,2014
"BIH",3006,"SNSD","Savez nezavisnih socijaldemokrata","Alliance of Independent Social Democrats","BIH",,,,2014,2014
"BIH",3007,"SDS","Srpska Demokratska Stranka","Serb Democratic Party","BIH",,,,2014,2014
"BIH",3008,"DF","Demokratska Fronta","Democratic Front","BIH",,,,2014,2014
"BIH",3009,"SBB BiH","Savez za bolju budućnost BiH","Union for a Better Future of BiH","BIH",,,,2014,2014
"BIH",3010,"BPS","Bosanskohercegovacka Patriotska Stranka","Bosnian-Herzegovian Patriotic Party","BIH",,,,2014,2014
"BIH",3011,"PDP","Partija Demokratskog progresa","Party of Democratic Progress","BIH",,,,2014,2014
"BIH",3012,"NDP","Narodni Demokratski Pokret","People’s Democratic Movement","BIH",,,,2014,2014
"BIH",3013,"DNS","Demokratski Narodni Savez","Democratic People’s Alliance","BIH",,,,2014,2014
"MKD",3201,"VMRO-DPMNE","VMRO-DPMNE-koalicija","VMRO-DPMNE-led coalition","MKD",,,,2014,2014
"MKD",3202,"SDSM","“Za podobra Makedonija” SDSM-koalicija","""For a Better Macedonia"" SDSM-led coalition","MKD",,,,2014,2014
"MKD",3204,"DUI","Bashkimi Demokratik për Integrim / Demokratska Unija za Integracija","Democratic Union for Integration","MKD",,,,2014,2014
"MKD",3205,"DPA","Partia Demokratike Shqiptare / Demokratska Partija na Albancite","Democratic Party of Albanians","MKD",,,,2014,2014
"MKD",3208,"GROM","Gragjanska opcija za Makedonija-koalicija","Citizen Option for Macedonia-led coalition","MKD",,,,2014,2014
"SER",3209,"NDP","Rilindja Demokratike Kombëtare / Nacionalna Demokratska Prerodba","National Democratic Revival","SRB",,,,2014,2014
"SER",3302,"DS","Demokratska Stranka","Democratic Party","SRB",,,,2014,2014
"SER",3303,"DSS","Demokratska Stranka Srbije","Democratic Party of Serbia","SRB",,,,2014,2014
"SER",3307,"SPS","Socijalisticka Partija Srbije","Socialist Party of Serbia","SRB",,,,2014,2014
"SER",3308,"LDP","Liberalno-demokratska Partija","Liberal Democratic Party","SRB",,,,2014,2014
"SER",3310,"SNS","Srpska Napredna Stranka","Serbian progressive party","SRB",,,,2014,2014
"SER",3311,"SDP","Socijaldemokratska partija Srbije","Social Democratic Party of Serbia","SRB",,,,2014,2014
"SER",3312,"PUPS","Partija Ujedinjenih Penzionera Srbije","Party of United Pensioners of Serbia","SRB",,,,2014,2014
"SER",3313,"SDS","Socilajdemokratska Stranka","Socialdemocratic Party","SRB",,,,2014,2014
"SER",3314,"LSV","Liga socijaldemokrata Vojvodine","League of Social Democrats of Vojvodina","SRB",,,,2014,2014
"SER",3315,"Dveri","Dveri","Dveri","SRB",,,,2014,2014
"ALB",4101,"PS","Partia Socialiste e Shqipërisë","Socialist Party of Albania","ALB",,,,2014,2014
"ALB",4102,"LSI","Levizja Socialiste për Integrim","Socialist Movement for Integration","ALB",,,,2014,2014
"ALB",4103,"PBDNJ","Partia Bashkimi për të Drejtat e Njeriut","Unity for Human Rights Party","ALB",,,,2014,2014
"ALB",4104,"PKDSH","Partia Kristian Demokrate e Shqipërisë","Christian Democratic Party of Albania","ALB",,,,2014,2014
"ALB",4105,"PD","Partia Demokratike e Shqipërisë","Democratic Party of Albania","ALB",,,,2014,2014
"ALB",4106,"PR","Partia Republikane Shqiptare","Albanian Republican Party","ALB",,,,2014,2014
"ALB",4107,"PDIU","Partia Drejtësi, Integrim dhe Unitet","Justice, Integration and Unity Party","ALB",,,,2014,2014
"KOS",4201,"PDK","Partia Demokratike e Kosovës","Democratic Party of Kosovo","XKX",,,,2014,2014
"KOS",4202,"LDK","Lidhja Demokratike e Kosovës","Democratic League of Kosovo","XKX",,,,2014,2014
"KOS",4203,"LV","Lëvizja Vetëvendosje!","Self-Determination Movement!","XKX",,,,2014,2014
"KOS",4204,"AAK","Aleanca për Ardhmërinë e Kosovës","Alliance for the Future of Kosovo","XKX",,,,2014,2014
"KOS",4205,"SL","Srpska Lista","Serb List","XKX",,,,2014,2014
"KOS",4206,"NPK","Nisma për Kosovën","Initiative for Kosovo","XKX",,,,2014,2014
"KOS",4207,"AKR","Aleanca Kosova e Re","New Kosovo Alliance","XKX",,,,2014,2014
"MNE",4301,"DPS","Demokratska Partija Socijalista Crne Gore","Democratic Party of Socialists of Montenegro","MNE",,,,2014,2014
"MNE",4302,"SDP","Socijaldemokratska Partija Crne Gore","Social Democratic Party of Montenegro","MNE",,,,2014,2014
"MNE",4303,"LPCG","Liberalna Partija Crne Gore","Liberal Party of Montenegro","MNE",,,,2014,2014
"MNE",4304,"NOVA","Nova srpska demokratija","New Serb Democracy","MNE",,,,2014,2014
"MNE",4305,"PzP","Pokret za Promjene","Movement for Changes","MNE",,,,2014,2014
"MNE",4306,"SNP","Socijalistička narodna partija Crne Gore","Socialist People’s Party of Montenegro","MNE",,,,2014,2014
"MNE",4307,"PCG","Pozitivna Crna Gora","Positive Montenegro","MNE",,,,2014,2014
"MNE",4308,"BS","Bošnjačka Stranka","Bosniak Party","MNE",,,,2014,2014
"UKR",4401,"NF","Narodnyy Front","Popular Front","UKR",,,,2014,2014
"UKR",4402,"BPP","Blok Petra Poroshenka","Petro Poroshenko Bloc","UKR",,,,2014,2014
"UKR",4403,"SAMOPOMICH","Samopomich","Self Reliance Party","UKR",,,,2014,2014
"UKR",4404,"OB","Opozytsiynyy Blok","Opposition Bloc","UKR",,,,2014,2014
"UKR",4405,"RP","Radikalna Partiya Oleha Lyashka","Radical Party of Oleh Lyashko","UKR",,,,2014,2014
"UKR",4406,"BATKIVSHCHYNA","Batkivshchyna","All-Ukrainian Union ""Fatherland""","UKR",,,,2014,2014
"UKR",4407,"SVOBODA","Svoboda","Freedom","UKR",,,,2014,2014
"UKR",4408,"KPU","Komunistychna Partiya Ukrayiny","Communist Party of Ukraine","UKR",,,,2014,2014
"UKR",4409,"SU","Sylna Ukraina","Strong Ukraine","UKR",,,,2014,2014
"UKR",4410,"GP","Hromadianska pozytsiia (Anatolii Grytsenko)","Civic Position (Anatolii Grytsenko)","UKR",,,,2014,2014
"UKR",4411,"ZASTUP","Vseukrayins’ke ahrarne ob’yednannya “ZASTUP”","Zastup","UKR",,,,2014,2014
"UKR",4412,"PS","Pravyy sektor","Right Sector","UKR",,,,2014,2014
