statename,party,first,last,country,name_english,name,chisols_first,party_id
Estonia,ERL,2003,2007,EST,People's Union of Estonia,,,EST-ERL
Estonia,ERSP,1992,1994,EST,Moderates and Estonian National Independence Party,,,EST-ERSP
Estonia,ESTP,1928,1932,EST,Estonian Socialist Party of Workers,,1928 Rei (ESTP),EST-ESTP
Estonia,ETE,1919,1932,EST,Labor Party,,1919 Strandman (ETE),EST-ETE
Estonia,I,1936,1940,EST,Fatherland League,,,EST-I
Estonia,IERSP,1999,2002,EST,,,1999 Laar (IERSP),EST-IERSP
Estonia,IRL,2008,2008,EST,Pro Patria and Res Publica Union,,,EST-IRL
Estonia,Isamaa,1992,1994,EST,,,1992 Laar (Isamaa),EST-Isamaa
Estonia,Kesk,2002,2007,EST,,,,EST-Kesk
Estonia,KMU-K,1995,1999,EST,,,1997 Siimann (KMU-K),EST-KMU-K
Estonia,KRE,1921,1931,EST,Christian People’s Party,,1924 Akel (KRE),EST-KRE
Estonia,Moderates,1992,2002,EST,,,,EST-Moderates
Estonia,NCP,1932,1932,EST,National Centre Party,,,EST-NCP
Estonia,PK,1921,1935,EST,Unions of Farmers,,1921 Pats (PK),EST-PK
Estonia,PKK,1932,1932,EST,,,1932 Teemant (PKK),EST-PKK
Estonia,R,1991,1996,EST,,,1991 Savisaar (R),EST-R
Estonia,RE,1999,2008,EST,,,2002 Kallas (RE),EST-RE
Estonia,ResP,2003,2005,EST,,,2003 Parts (ResP),EST-ResP
Estonia,SDE,1919,2008,EST,,,,EST-SDE
Ethiopia,EPRDF,1991,2008,ETH,,,,ETH-EPRDF
Ethiopia,EWP,1977,1991,ETH,,,1991 Gebre Kidan (EWP),ETH-EWP
Ethiopia,TPLF,1991,2008,ETH,,,1991 Zenawi (TPLF),ETH-TPLF
Fiji,CA,2002,2006,FJI,Conservative Alliance/Matanitu Vanua,,,FJI-CA
Fiji,FAP,1970,2000,FJI,Fijian Alliance Party,,1970 Mara (FAP),FJI-FAP
Fiji,FLP,1987,2006,FJI,Fiji Labour Party,,1987 Bavadra (FLP),FJI-FLP
Fiji,FPP-SVT,1992,1999,FJI,,,,FJI-FPP-SVT
Fiji,FUP-SDL,2002,2006,FJI,Fijian United Party,,,FJI-FUP-SDL
Fiji,GVP,1995,1999,FJI,General Voter’s Party,,,FJI-GVP
Fiji,LU,2002,2006,FJI,Labour Unity,,,FJI-LU
Fiji,NFP,1987,1987,FJI,National Federation Party,,,FJI-NFP
Fiji,PANU,1999,2000,FJI,Party of National Unity,,,FJI-PANU
Finland,ED,1919,1944,FIN,National Progressive Party (Kansallinen Edistyspuolue),,1919 Stahlberg (ED),FIN-ED
Finland,KESK,1956,1981,FIN,,,,FIN-KESK
Finland,KOK,1931,1956,FIN,National Coalition Party,,1931 Svinhufvud (KOK),FIN-KOK
Finland,ML,1925,1981,FIN,Agrarian Party,,1925 Relander (ML),FIN-ML
Finland,SDP,1981,2008,FIN,Social Democratic Party,,1981 Koivisto (SDP),FIN-SDP
France,AD,1927,1928,FRA,,Alliance démocratique,,FRA-AD
France,ARS,1920,1940,FRA,,Action Republicaine et Socieale (later Action Democractique et Sociale),,FRA-ARS
France,CR,1934,1936,FRA,,Centre Republucan,,FRA-CR
France,DP,1930,1932,FRA,,Démocrate Populaire (also Parti Démocrate Populaire),,FRA-DP
France,ERD,1920,1940,FRA,,Eentente Republicane democratique (or the Groupe de l'Entente Républicaine),1940 Reynaud (ERD),FRA-ERD
France,FR,1935,1936,FRA,,Federation Republicane,,FRA-FR
France,GAUL,1948,1958,FRA,,Gaulliste,1950 Pleven (GAUL),FRA-GAUL
France,GD,1919,1940,FRA,,Gouche Democratique,1930 Steeg (GD),FRA-GD
France,GR,1919,1934,FRA,,Gauche Républicaine Démocratique,,FRA-GR
France,GRad,1925,1937,FRA,,Gauche Radicale,,FRA-GRad
France,GRep,1926,1926,FRA,,Gauche Républicaine,,FRA-GRep
France,GSR,1932,1932,FRA,,Gauche Sociale et radicale,,FRA-GSR
France,Ind,1969,1974,FRA,,Independent,1969 Poher (Ind),FRA-Ind
France,IND,1948,1958,FRA,,Centre National des Indépendants et Paysans,1952 Pinay (IND),FRA-IND
France,MRP,1946,1958,FRA,,Mouvement Républicain Populaire,1946 Bidault (MRP),FRA-MRP
France,PCF,1946,1947,FRA,,Parti Communiste Français,,FRA-PCF
France,PRS,1920,1940,FRA,,Republican Socialiste (Parti Républicain-Socialiste),1921 Briand (PRS),FRA-PRS
France,PS,1938,1995,FRA,,Parti Socialiste Français,1938 Blum (PS),FRA-PS
France,PSF,1946,1958,FRA,,Parti Socialiste Français,1946 Gouin (PSF),FRA-PSF
France,Rad,1930,1930,FRA,,Radical Socialiste,,FRA-Rad
France,RAD,1919,1940,FRA,,Radical Socialiste,1924 Herriot (RAD),FRA-RAD
France,RAIS,1936,1936,FRA,,Radicaux indépendants,,FRA-RAIS
France,RG,1919,1936,FRA,,Reopublican de Gauche,1920 Leygues (RG),FRA-RG
France,RI,1974,1981,FRA,,Fédération Nationale des Républicains Indépendants,1974 Giscard D'Estaing (RI),FRA-RI
France,RIAS,1934,1935,FRA,,Groupe Républicain et Social (later Groupe des Républicains Indépendants d'Action Sociale),,FRA-RIAS
France,RPR,1995,2002,FRA,,Rassemblement Pour la République,,FRA-RPR
France,RSP,1946,1958,FRA,,Parti radical-socialiste,1948 Marie (RSP),FRA-RSP
France,SEIO,1933,1933,FRA,,,,FRA-SEIO
France,SF,1932,1936,FRA,,Section Française,,FRA-SF
France,SFIO,1933,1940,FRA,,Section Française de l’Internationale Ouvrière,1936 Blum (SFIO),FRA-SFIO
France,UDR,1930,1974,FRA,,Union Democratique et radical,1969 Pompidou (UDR),FRA-UDR
France,UMP,2003,2008,FRA,,Union pour un Mouvement Populaire,2007 Sarkozy (UMP),FRA-UMP
France,UNR,1959,1969,FRA,,Union pour la nouvelle république [Gaulliste],,FRA-UNR
France,UR,1919,1940,FRA,,Union Republicane,1922 Poincare (UR),FRA-UR
France,URD,1924,1935,FRA,,Groupe de l'Union Républicaine Démocratique,,FRA-URD
France,URS,1939,1940,FRA,,,,FRA-URS
France,US,1936,1936,FRA,,Union Sciate,,FRA-US
France,USR,1937,1938,FRA,,Union socialiste et republicane,,FRA-USR
Gabon,BDG,1960,1968,GAB,,Bloc Démocratique Gabonais,1960 Mba (BDG),GAB-BDG
Gabon,PDG,1969,2008,GAB,,,,GAB-PDG
Gambia,APRC,1997,2008,GMB,Alliance for Patriotic Reorientation and Construction,,,GMB-APRC
Gambia,PPP,1965,1994,GMB,People's Progressive Party,,1965 Jawara (PPP),GMB-PPP
Georgia,BDA,2003,2008,GEO,Burdzhanadze-Demokratiuli Aliansi,,2003 Burdzhanadze (BDA),GEO-BDA
Georgia,ENM,2004,2008,GEO,Natshhionakhuri Modraoba– Demokrathebi,,2004 Saakashvili (ENM),GEO-ENM
Georgia,MM-TS,1991,1992,GEO,Round Table-Free Georgia,,,GEO-MM-TS
Georgia,SMK,1996,2003,GEO,Sakartvelos Mokalaketa Kavshiri,,,GEO-SMK
German Democratic Republic,SED,1954,1989,DDR,Socialist Unity Party,,1971 Honecker (SED),DDR-SED
German Democratic Republic,SED-PDS,1989,1990,DDR,Party of Democratic Socialism,,1989 Gysi (SED-PDS),DDR-SED-PDS
German Federal Republic,CDU,1955,1990,DEU,Christian Democratic Union,,1963 Erhard (CDU),DEU-CDU
German Federal Republic,DP,1955,1960,DEU,,,,DEU-DP
German Federal Republic,FDP,1955,1990,DEU,Free Democrats,,,DEU-FDP
German Federal Republic,GBHE,1955,1955,DEU,,,,DEU-GBHE
German Federal Republic,SPD,1967,1982,DEU,Social Democratic Party,,1969 Brandt (SPD),DEU-SPD
Germany,BVP,1924,1932,DEU,Bavarian People’s Party,,,DEU-BVP
Germany,DDP,1919,1931,DEU,German Democratic Party,Deutsche Demokratische Partei,,DEU-DDP
Germany,DNVP,1925,1933,DEU,,,,DEU-DNVP
Germany,DSTP,1932,1932,DEU,,,,DEU-DSTP
Germany,DVP,1920,1931,DEU,,,1923 Stresemann (DVP),DEU-DVP
Germany,FPD,1990,1998,DEU,,,,DEU-FPD
Germany,Greens,1998,2005,DEU,,,,DEU-Greens
Germany,KVP,1930,1932,DEU,,,,DEU-KVP
Germany,LV,1932,1933,DEU,,,,DEU-LV
Germany,NSDAP,1933,1945,DEU,,,1933 Hitler (NSDAP),DEU-NSDAP
Germany,WP,1930,1930,DEU,Wirtschaftspartei,,,DEU-WP
Germany,Z,1919,1932,DEU,Center Party,Zentrum,1920 Fehrenbach (Z),DEU-Z
Ghana,CPP,1957,1966,GHA,Convention People’s Party,,,GHA-CPP
Ghana,NDC,1993,2001,GHA,,,,GHA-NDC
Ghana,NPP,2001,2008,GHA,New Patriotic Party,,2001 Kufuor (NPP),GHA-NPP
Ghana,PNP,1979,1981,GHA,People's National Party,,1979 Limann (PNP),GHA-PNP
Ghana,PP,1969,1972,GHA,Progress Party,,1969 Busia (PP),GHA-PP
Greece,CR,1924,1925,GRC,Conservative Republican Party,,1924 Michalakopoulos (CR),GRC-CR
Greece,CU,1963,1965,GRC,Center Union,,1963 G. Papandreou (CU),GRC-CU
Greece,DE,1924,1932,GRC,Republican Union,,1924 Papanastasiou (DE),GRC-DE
Greece,Diss-CU,1965,1966,GRC,,,1965 Tsirimokos (Diss-CU),GRC-Diss-CU
Greece,EEK,1945,1945,GRC,National Unionist Party,,1945 Kanellopoulos (EEK),GRC-EEK
Greece,EK,1944,1945,GRC,Center Union,,1944 G. Papandreou (EK),GRC-EK
Greece,EPEK,1950,1952,GRC,National Progressive Center Union,,1950 Plastiras (EPEK),GRC-EPEK
Greece,ERE,1957,1974,GRC,National Radical Union,,1958 Karamanlis (ERE),GRC-ERE
Greece,ERK,1926,1926,GRC,,,1926 Kondilis (ERK),GRC-ERK
Greece,FLP,1926,1928,GRC,Farmer-Labour Party,,,GRC-FLP
Greece,FOP,1926,1928,GRC,Free Opion Party,,,GRC-FOP
Greece,GRAL,1952,1956,GRC,Hellenic Union,,1952 Papagos (GRAL),GRC-GRAL
Greece,KF,1919,1936,GRC,Liberal Party,,1924 Venizelos (KF),GRC-KF
Greece,LIB,1946,1952,GRC,Liberal Party,,1950 S. Venizelos (LIB),GRC-LIB
Greece,LIB-?,1950,1950,GRC,,,1949 Diomidis (LIB-?),GRC-LIB-?
Greece,LIB-Nat,1946,1947,GRC,National Liberal Party,,,GRC-LIB-Nat
Greece,LIB-Ref,1946,1947,GRC,Refugees’ Liberal Party,,,GRC-LIB-Ref
Greece,LIB-Sof,1945,1950,GRC,Sophoulis,,1945 Sophoulis (LIB-Sof),GRC-LIB-Sof
Greece,LIB-Ven,1947,1950,GRC,Venizelian Liberals,,,GRC-LIB-Ven
Greece,LK,1920,1935,GRC,People’s Party,,1920 Rallis (LK),GRC-LK
Greece,LKK,1955,1955,GRC,People’s Social Party,,1955 Stephanopoulos (LKK),GRC-LKK
Greece,ND,1975,2008,GRC,,,1980 Rallis (ND),GRC-ND
Greece,NP,1947,1949,GRC,National Party,,,GRC-NP
Greece,NPU,1946,1947,GRC,National Political Union,,,GRC-NPU
Greece,NRP,1935,1935,GRC,National Radical Party,,1935 Kondylis (NRP),GRC-NRP
Greece,NU,1949,1950,GRC,,,,GRC-NU
Greece,NUP,1950,1950,GRC,,,,GRC-NUP
Greece,PASOK,1981,2004,GRC,Panhellenic Socialist Movement,,1981 Papandreou (PASOK),GRC-PASOK
Greece,POP,1946,1950,GRC,People’s Party,,1946 Tsaldaris (POP),GRC-POP
Greece,PP,1965,1966,GRC,Progressive Party,,,GRC-PP
Greece,ProgLib,1926,1928,GRC,,,,GRC-ProgLib
Greece,SocDem,1947,1951,GRC,Social Democrats,,,GRC-SocDem
Greece,SYN,1989,1990,GRC,,,,GRC-SYN
Guatemala,FRG,2000,2004,GTM,,,2000 Portillo (FRG),GTM-FRG
Guatemala,GANA,2004,2008,GTM,,,2004 Berger (GANA),GTM-GANA
Guatemala,Lib,1919,1944,GTM,,,1920 Herrera y Luna (Lib),GTM-Lib
Guatemala,MAS,1991,1993,GTM,Espina Salguero,,1991 Serrano Elias (MAS),GTM-MAS
Guatemala,PAN,1957,2000,GTM,,,1957 Gonzalez Lopez (PAN),GTM-PAN
Guatemala,PAR,1945,1954,GTM,,,1945 Arevalo (PAR),GTM-PAR
Guatemala,PDCG,1986,1991,GTM,,,1986 Cerezo (PDCG),GTM-PDCG
Guatemala,PRDN,1958,1963,GTM,,,1958 Ydigoras Fuentes (PRDN),GTM-PRDN
Guatemala,UNE,2008,2008,GTM,,,2008 Colom (UNE),GTM-UNE
Guinea,PDG,1958,1984,GIN,Parti Démocratique de Guinée / Ahmed Sekou Touré,,1958 Toure (PDG),GIN-PDG
Guinea,PUP,1992,2008,GIN,Parti de l'Unité et du Progrès,,2008 Sompare (PUP),GIN-PUP
Guinea-Bissau,PAIGC,1974,2008,GNB,,,1974 Cabral (PAIGC),GNB-PAIGC
Guinea-Bissau,PRS,2000,2003,GNB,,,2000 Iala (PRS),GNB-PRS
Guyana,PNC-R,1966,1992,GUY,"People’s National Conference, Reform branch",,1966 Burnham (PNC-R),GUY-PNC-R
Guyana,PPP-C,1992,2008,GUY,"People Progressive Party, Civic branch",,1992 Ch. Jagan (PPP-C),GUY-PPP-C
Guyana,UF,1966,1969,GUY,United Force,,,GUY-UF
Haiti,FL,2001,2004,HTI,,,2001 Aristide (FL),HTI-FL
Haiti,FLP,2006,2008,HTI,,,2006 Preval (FLP),HTI-FLP
Haiti,FNCD,1991,1996,HTI,,,1991 Aristide (FNCD),HTI-FNCD
Haiti,MOP,1957,1957,HTI,,,1957 Executive Council (MOP),HTI-MOP
Haiti,OPL,1994,2001,HTI,,,1996 Preval (OPL),HTI-OPL
Haiti,PUN,1957,1971,HTI,,,1957 F. Duvalier (PUN),HTI-PUN
Haiti,RDNP,1988,1988,HTI,,,1988 Manigat (RDNP),HTI-RDNP
Honduras,PLH,1919,2008,HND,Honduran Liberal Party,,1919 Bogran (PLH),HND-PLH
Honduras,PNH,1919,2006,HND,Liberal Party,,1925 Paz Barahona (PNH),HND-PNH
Hungary,F48,1919,1919,HUN,,,,HUN-F48
Hungary,Fidesz,1998,2002,HUN,,,1998 Orban (Fidesz),HUN-Fidesz
Hungary,FKGP,1998,2002,HUN,,,,HUN-FKGP
Hungary,FKPG,1990,1994,HUN,,,,HUN-FKPG
Hungary,KDNP,1990,1994,HUN,,,,HUN-KDNP
Hungary,KNEP,1919,1920,HUN,Christian National Union Party,,1919 Friedrich (KNEP),HUN-KNEP
Hungary,MDF,1990,2002,HUN,Hungarian Democratic Forum,,1990 Antall (MDF),HUN-MDF
Hungary,MDP,1945,1956,HUN,,,1956 Nagy (MDP),HUN-MDP
Hungary,MKP,1945,1956,HUN,,,1945 Rakosi (MKP),HUN-MKP
Hungary,MSzMP,1956,1989,HUN,,,1956 Kadar (MSzMP),HUN-MSzMP
Hungary,MSzP,1919,2008,HUN,,,1919 Kun (MSzP),HUN-MSzP
Hungary,MSZP,1989,1990,HUN,,,1989 Szuros (MSZP),HUN-MSZP
Hungary,NEP,1922,1944,HUN,,,,HUN-NEP
Hungary,SzDP,1919,1919,HUN,,,1919 Peidl (SzDP),HUN-SzDP
Hungary,SZDSZ,1994,2008,HUN,,,,HUN-SZDSZ
India,BJP,1989,1996,IND,,,1996 Vajpayee (BJP),IND-BJP
India,BJP-NDA,1998,2004,IND,,,,IND-BJP-NDA
India,Christians,1947,1952,IND,,,,IND-Christians
India,INC,1947,1977,IND,Indian National Congress,,1947 Nehru (INC),IND-INC
India,INC-I,1980,1996,IND,,,1980 Gandhi I. (INC-I),IND-INC-I
India,INC-O,1979,1980,IND,,,,IND-INC-O
India,INC-UPA,2004,2008,IND,,,2004 Manmohan Singh (INC-UPA),IND-INC-UPA
India,JD-S,1990,1991,IND,Janata Dal-Shekhar,,1990 Shekhar (JD-S),IND-JD-S
India,JP,1977,1979,IND,,,1977 Desai (JP),IND-JP
India,JP-S,1979,1980,IND,,,1979 Charan Singh (JP-S),IND-JP-S
India,LF,1989,1990,IND,,,,IND-LF
India,Mhas,1947,1952,IND,,,,IND-Mhas
India,NF-JD,1989,1990,IND,National Front-Janata Dal,,1989 Pratap Singh (NF-JD),IND-NF-JD
India,Parsee,1947,1952,IND,,,,IND-Parsee
India,Sikh,1947,1952,IND,,,,IND-Sikh
India,UF-DMK,1997,1998,IND,,,1997 Gujral (UF-DMK),IND-UF-DMK
India,UF-JD,1996,1997,IND,United Front-Janata Dal,,1996 Gowda (UF-JD),IND-UF-JD
Indonesia,Golkar,1966,1999,IDN,,,1966 Suharto (Golkar),IDN-Golkar
Indonesia,PD,2004,2008,IDN,Partai Demokrat,,2004 Bambang Yudhoyono (PD),IDN-PD
Indonesia,PDI-P,2001,2004,IDN,,,2001 Megawati Sukarnoputri (PDI-P),IDN-PDI-P
Indonesia,PKB,1999,2001,IDN,National Awakening Party,,1999 Wahid (PKB),IDN-PKB
Indonesia,PNI,1949,1966,IDN,,,1949 Sukarno (PNI),IDN-PNI
Iran,AII,2005,2008,IRN,,,2005 Ahmadinejad (AII),IRN-AII
Iran,NF,1951,1953,IRN,,,1951 Mohammad Mossadeg (NF),IRN-NF
Iraq,Ba'ath,1968,2003,IRQ,,,1979 Saddam Hussein (Ba'ath),IRQ-Ba'ath
Iraq,IDM,2005,2008,IRQ,Islamic Da’wah Party,,2005 al-Jaafari (IDM),IRQ-IDM
Iraq,IIA,1963,1968,IRQ,,,1963 Salem Aref (IIA),IRQ-IIA
Iraq,INA,2004,2005,IRQ,Iraqi National Accord,,2004 Allawi (INA),IRQ-INA
Iraq,United States,2003,2004,IRQ,,,2003 Franks (United States),IRQ-United States
Ireland,CG,1922,1932,IRL,pro-Treatyite Cumann na nGaedheal,,,IRL-CG
Ireland,CNP,1948,1951,IRL,Clann na Poblachta,,,IRL-CNP
Ireland,CNT,1948,1957,IRL,Clann na Talmhan,,,IRL-CNT
Ireland,DL,1994,1997,IRL,Democratic Left,,,IRL-DL
Ireland,FF,1932,2008,IRL,anti-Treatyite Fianna Fáil,,1932 de Valera (FF),IRL-FF
Ireland,"FF,FF",1989,1989,IRL,,,,"IRL-FF,FF"
Ireland,FG,1948,1997,IRL,Fine Gael,,1948 Costello (FG),IRL-FG
Ireland,GP,2008,2008,IRL,Green Party,,,IRL-GP
Ireland,LAB,1948,1997,IRL,The National Labor Party,,,IRL-LAB
Ireland,PD,1989,2008,IRL,Progressive Democrats,,,IRL-PD
Israel,AA,1956,1966,ISR,Ahdut HaAvoda,,,ISR-AA
Israel,AIS,1992,1992,ISR,Agudat Israel,,,ISR-AIS
Israel,AY,2006,2006,ISR,Agudat Yisrael,,,ISR-AY
Israel,CP,1999,2003,ISR,Center Party,,,ISR-CP
Israel,CRIT,1974,1974,ISR,Movement for Civil Rights and Peace,,,ISR-CRIT
Israel,DASH,1978,1981,ISR,,,,ISR-DASH
Israel,DH,2006,2006,ISR,Yahadut Ha’Thorah - Degel Ha’Thora,,,ISR-DH
Israel,GHAL,1970,1970,ISR,,,,ISR-GHAL
Israel,GIL,2007,2008,ISR,,,,ISR-GIL
Israel,GZ,1953,1955,ISR,General Zionists,,,ISR-GZ
Israel,HDASH,1995,1996,ISR,,,,ISR-HDASH
Israel,HMIZ,1953,1955,ISR,Mizrachi HaMizrahi,,,ISR-HMIZ
Israel,HRUT,1968,1969,ISR,Herut,,,ISR-HRUT
Israel,IL,2001,2008,ISR,Yisrael Beitenu,,,ISR-IL
Israel,ILIB,1967,1977,ISR,Independent Liberal Party,,,ISR-ILIB
Israel,KAD,2006,2008,ISR,Kadima,,2006 Olmert (KAD),ISR-KAD
Israel,LAB,1984,1996,ISR,Israel Labor Party,,1984 Peres (LAB),ISR-LAB
Israel,LAB-Gesher-Meimad,1999,2000,ISR,,,1999 Barak (LAB-Gesher-Meimad),ISR-LAB-Gesher-Meimad
Israel,LAB-Meimad,2001,2008,ISR,,,,ISR-LAB-Meimad
Israel,LIK,1977,2006,ISR,,,1977 Begin (LIK),ISR-LIK
Israel,MAPAI,1951,1961,ISR,,,,ISR-MAPAI
Israel,MIZR,1953,1955,ISR,,,,ISR-MIZR
Israel,MMPAI-ALNM,1969,1969,ISR,,,,ISR-MMPAI-ALNM
Israel,MPAI,1948,1966,ISR,,,1948 Ben Gurion (MPAI),ISR-MPAI
Israel,MPAI-ALNM,1967,1973,ISR,AA into Alignment,,1969 Allon (MPAI-ALNM),ISR-MPAI-ALNM
Israel,MPAI-LAB,1974,1977,ISR,,,1974 Rabin (MPAI-LAB),ISR-MPAI-LAB
Israel,MPAM,1956,1969,ISR,,,,ISR-MPAM
Israel,MRET,1993,2000,ISR,,,,ISR-MRET
Israel,MSHA,1984,1988,ISR,Morasha,,,ISR-MSHA
Israel,NRP,1956,2004,ISR,National Religious Party,,,ISR-NRP
Israel,NRP(Shamir),1992,1992,ISR,,,,ISR-NRP(Shamir)
Israel,OMET,1984,1988,ISR,Ometz,,,ISR-OMET
Israel,One,2001,2002,ISR,,,,ISR-One
Israel,PROG,1948,1961,ISR,,,,ISR-PROG
Israel,RAFI,1968,1969,ISR,,,,ISR-RAFI
Israel,SEPH,1948,1951,ISR,,,,ISR-SEPH
Israel,Shas,2001,2003,ISR,,,,ISR-Shas
Israel,SHAS,1984,2008,ISR,,,,ISR-SHAS
Israel,SNUI,1984,2004,ISR,Shinui,,,ISR-SNUI
Israel,TAMI,1982,1984,ISR,,,,ISR-TAMI
Israel,THYA,1983,1992,ISR,,,,ISR-THYA
Israel,TW,1996,1999,ISR,,,,ISR-TW
Israel,TZOM,1991,1991,ISR,,,,ISR-TZOM
Israel,URF,1948,1952,ISR,United Religious Front,,,ISR-URF
Israel,UTJ,1996,2002,ISR,Yahadut Ha’Thorah,,,ISR-UTJ
Israel,YB,1996,2003,ISR,Yisrael BaAliyah,,,ISR-YB
Israel,YIUD,1995,1996,ISR,,,,ISR-YIUD
Italy,AN,1994,2008,ITA,,,,ITA-AN
Italy,AP,1945,1946,ITA,Action Party,,1945 Parri (AP),ITA-AP
Italy,CCD-CDU,2001,2005,ITA,,,,ITA-CCD-CDU
Italy,Daisy,2006,2008,ITA,,,,ITA-Daisy
Italy,DC,1945,1994,ITA,"Action Party, the Christian Democratic Party",,1945 de Gasperi (DC),ITA-DC
Italy,DCpA,2008,2008,ITA,Democracy for the Autonomies,,,ITA-DCpA
Italy,DEM,2000,2001,ITA,Democrats,,,ITA-DEM
Italy,Des,1919,1919,ITA,,,,ITA-Des
Italy,DS,2000,2008,ITA,,,,ITA-DS
Italy,FI,1994,2008,ITA,Forza Italia,,1994 Berlusconi (FI),ITA-FI
Italy,Greens,1996,2008,ITA,,,,ITA-Greens
Italy,IdV,2006,2008,ITA,,,,ITA-IdV
Italy,IND,1998,2008,ITA,,,,ITA-IND
Italy,LN,1994,2008,ITA,,,,ITA-LN
Italy,LVERDE,1993,1993,ITA,Lega Verde,,,ITA-LVERDE
Italy,OT,2006,2008,ITA,,,2006 Prodi (OT),ITA-OT
Italy,PCDI,2000,2001,ITA,,,,ITA-PCDI
Italy,PCI,1945,1947,ITA,Communist Party,,,ITA-PCI
Italy,PDCI,1998,2000,ITA,Italian Communists,,,ITA-PDCI
Italy,PDL,1945,1946,ITA,Democratic Labour,,,ITA-PDL
Italy,PDS,1993,1998,ITA,Democratic Left,,,ITA-PDS
Italy,PDS-DS,1998,1999,ITA,,,1998 D'Alema (PDS-DS),ITA-PDS-DS
Italy,PL,1920,1922,ITA,Liberal Party,,1920 Giolitti (PL),ITA-PL
Italy,PLI,1945,1994,ITA,Liberal Party,,,ITA-PLI
Italy,PNF,1922,1943,ITA,,,1922 Mussolini (PNF),ITA-PNF
Italy,PPI,1996,2001,ITA,,,1996 Prodi (PPI),ITA-PPI
Italy,PRI,1947,2006,ITA,DC/PCI/PSI/PLI/Republican Party,,1981 Spadolini (PRI),ITA-PRI
Italy,PSDI,1948,1993,ITA,,,,ITA-PSDI
Italy,PSI,1945,2006,ITA,Socialist Party,,1983 Craxi (PSI),ITA-PSI
Italy,PSI+PSU,1970,1972,ITA,,,,ITA-PSI+PSU
Italy,PSIU,1947,1947,ITA,,,,ITA-PSIU
Italy,PSRI,1921,1922,ITA,Italian Social Reform Party,,1921 Bonomi (PSRI),ITA-PSRI
Italy,Rad,1919,1920,ITA,Radical Party,,1919 Nitti (Rad),ITA-Rad
Italy,RC,2006,2008,ITA,Communist Refoundation,,,ITA-RC
Italy,RI,1996,2001,ITA,Italian Renewal,,,ITA-RI
Italy,Rose,2006,2008,ITA,,,,ITA-Rose
Italy,SDI,1998,2001,ITA,"RI, Italian Democratic Socialists",,,ITA-SDI
Italy,UD,1996,1998,ITA,Democratic Union,,,ITA-UD
Italy,UDC,2006,2006,ITA,,,,ITA-UDC
Italy,UDEUR,2000,2008,ITA,,,,ITA-UDEUR
Italy,UDR,1998,1999,ITA,"PPI, Union of Republican Democrats",,,ITA-UDR
Ivory Coast,FPI,2000,2008,CIV,Front Populaire Ivorien,,2000 Gbagbo (FPI),CIV-FPI
Ivory Coast,PDCI,1960,1999,CIV,Parti Démocratique de Côte d'Ivoire-Rassemblement Démocratique Africain,,1960 Houphouet-Boigny (PDCI),CIV-PDCI
Jamaica,JLP,1962,2008,JAM,Jamaican Labor Party,,1962 Bustamante (JLP),JAM-JLP
Jamaica,PNP,1972,2007,JAM,People´s National Party,,1972 Manley (PNP),JAM-PNP
Japan,CD,1929,1931,JPN,,,1929 Hamaguchi (CD),JPN-CD
Japan,Con,1924,1927,JPN,,,1924 Takaaki Kato (Con),JPN-Con
Japan,DP,1954,1954,JPN,Democratic Party,,,JPN-DP
Japan,DSP,1993,1994,JPN,,,,JPN-DSP
Japan,FC,1919,1932,JPN,,,1921 Takahashi K. (FC),JPN-FC
Japan,IRAA,1940,1941,JPN,,,1940 Konoe F. (IRAA),JPN-IRAA
Japan,JD,1955,1955,JPN,,,,JPN-JD
Japan,JNP,1993,1994,JPN,Japan New Party,,1993 Hosokawa (JNP),JPN-JNP
Japan,KAIS,1994,1994,JPN,Renewal Party,,1994 Hata (KAIS),JPN-KAIS
Japan,KOME,1993,1994,JPN,,,,JPN-KOME
Japan,Komei,2004,2008,JPN,,,,JPN-Komei
Japan,Komeito,2000,2003,JPN,,,,JPN-Komeito
Japan,LDP,1956,2008,JPN,,,1956 Ishibashi (LDP),JPN-LDP
Japan,LP,1952,2000,JPN,Liberal Party,,1952 Yoshida (LP),JPN-LP
Japan,NCP,2000,2003,JPN,,,,JPN-NCP
Japan,NLC,1984,1986,JPN,,,,JPN-NLC
Japan,SAKI,1993,1996,JPN,Sakigaki,,,JPN-SAKI
Japan,SDP,1993,1994,JPN,,,,JPN-SDP
Japan,SDPJ,1994,1996,JPN,,,1994 Murayama (SDPJ),JPN-SDPJ
Japan,SHAM,1993,1994,JPN,,,,JPN-SHAM
Japan,SHIN,1993,1994,JPN,,,,JPN-SHIN
Kazakhstan,Nur-Otan,2006,2008,KAZ,,,,KAZ-Nur-Otan
Kazakhstan,OTAN,2000,2005,KAZ,“Fatherland” Party,,,KAZ-OTAN
Kazakhstan,PUKU,1996,1999,KAZ,People’s Union of Kazakhstan Unity,,,KAZ-PUKU
Kenya,DP,2002,2007,KEN,Democratic Party,,2002 Kibaki (DP),KEN-DP
Kenya,KANU,1963,2002,KEN,Kenya African National Union,,1963 Kenyatta (KANU),KEN-KANU
Kenya,NRC,2002,2007,KEN,National Rainbow Coalition,,,KEN-NRC
Kenya,PNU,2008,2008,KEN,Party of National Unity,,,KEN-PNU
Kosovo,PDK,2008,2008,XKX,,,,XKX-PDK
Kuwait,Iraq,1990,1991,KWT,,,1990 Saddam Hussein (Iraq),KWT-Iraq
