ctr_n,ctr,pty_n,pty,yr_first,yr_last,pv1_share_max,pv1_share_max_yr,n_election,ctr_pty
Cambodia,116,human rights party,4,2008,2008,6.6,2008,1,116000004
Cambodia,116,norodom ranariddth party,9,2008,2008,5.6,2008,1,116000009
Cambodia,116,Social Republican Party/Sam Rainsy Party,10,2003,2008,22.7,2003,2,116000010
Cambodia,116,"United National Front for an Independent, Neutral, Peaceful and Cooperative Cambodia",2,2003,2013,21.4,2003,3,116000002
Cameroon,120,rassemblement démocratique  du peuple camerounais,10,1997,2002,64.8,2002,2,120000010
Cameroon,120,social democratic front,11,1997,2002,21.9,1997,2,120000011
Cameroon,120,union démocratique du cameroun,12,1997,2002,2.1,1997,2,120000012
Cameroon,120,union nationale pour la démocratie et le progrès,17,1997,2002,13.3,1997,2,120000017
Canada,124,anti-confederate,5,1867,1867,7.9,1867,1,124000005
Canada,124,bloc populaire canadien,7,1945,1945,3.3,1945,1,124000007
Canada,124,bloc québécois,8,1993,2015,13.5,1993,8,124000008
Canada,124,canadian alliance,11,2e3,2e3,25.5,2000,1,124000011
Canada,124,co-operative commonwealth federation,26,1930,1958,15.6,1945,8,124000026
Canada,124,conservative,21,1867,2015,48.3,1930,20,124000021
Canada,124,conservative party of canada,23,2004,2008,37.7,2008,3,124000023
Canada,124,government,37,1917,1917,56.9,1917,1,124000037
Canada,124,green party of canada,38,1984,2015,6.8,2008,10,124000038
Canada,124,labour,39,1900,1949,2.8,1921,13,124000039
Canada,124,labour progressive party,41,1945,1958,2.1,1945,5,124000041
Canada,124,liberal,42,1867,2015,51.2,1940,41,124000042
Canada,124,liberal-conservative,49,1867,1911,16.3,1878,12,124000049
Canada,124,national government,56,1940,1940,29.2,1940,1,124000056
Canada,124,new democratic party,72,1962,2015,30.6,2011,18,124000072
Canada,124,opposition,75,1917,1917,38.8,1917,1,124000075
Canada,124,patrons of industry,83,1896,1896,4.3,1896,1,124000083
Canada,124,progressive,85,1921,1930,21.1,1921,4,124000085
Canada,124,progressive conservative,88,1945,2015,53.7,1958,19,124000088
Canada,124,ralliement créditiste,94,1965,1968,4.7,1965,2,124000094
Canada,124,reconstruction party,95,1935,1935,8.8,1935,1,124000095
Canada,124,reform party of canada,96,1988,1997,19.4,1997,3,124000096
Canada,124,social credit party of canada,100,1935,1988,11.9,1963,17,124000100
Canada,124,unknown,3999,1867,1962,33.6,1867,21,124003999
Cape Verde,132,ADM,1,2001,2001,6.1,2001,1,132000001
Cape Verde,132,MPD,2,1995,2016,61.3,1995,5,132000002
Cape Verde,132,PAICV,3,1995,2016,52.7,2011,5,132000003
Cape Verde,132,PCD,4,1995,1995,6.7,1995,1,132000004
Cape Verde,132,PRD,5,2001,2006,3.4,2001,2,132000005
Cape Verde,132,UCID,7,1995,2016,6.9,2016,4,132000007
Cayman Islands,136,Coalition for Cayman,5,2013,2013,17.9,2013,1,136000005
Cayman Islands,136,People's National Alliance,6,2013,2013,2.4,2013,1,136000006
Cayman Islands,136,People’s Democratic Alliance,1,2005,2005,7.5,2005,1,136000001
Cayman Islands,136,People’s Progressive Movement,2,2005,2013,41.1,2005,3,136000002
Cayman Islands,136,United Democratic Party,3,2005,2013,55.8,2009,3,136000003
Cayman Islands,136,West Bay Alliance,4,2005,2005,12.1,2005,1,136000004
Chile,152,Authentic Socialist Party,8,1945,1945,5.7,1945,1,152000008
Chile,152,COMUNISTA DE CHILE,1,2001,2001,5.2,2001,1,152000001
Chile,152,Conservative,9,1945,1945,23.1,1945,1,152000009
Chile,152,Democratic Party,10,1945,1945,5.2,1945,1,152000010
Chile,152,Liberal,12,1945,1945,18,1945,1,152000012
Chile,152,National Falange,14,1945,1945,2.6,1945,1,152000014
Chile,152,National Progressive Party,15,1945,1945,10.4,1945,1,152000015
Chile,152,PARTIDO HUMANISTA,3,1997,2013,3.4,2013,3,152000003
Chile,152,Progressive Liberal Party,17,1945,1945,2.2,1945,1,152000017
Chile,152,Radical Party,18,1945,1945,20.3,1945,1,152000018
Chile,152,Socialist,19,1945,1945,7.3,1945,1,152000019
Colombia,170,coalicion,5,1998,2002,10.4,2002,2,170000005
Colombia,170,movimiento alas equipo colombia,15,2002,2006,4.3,2006,2,170000015
Colombia,170,movimiento apertura liberal,18,1998,2010,2.6,2006,4,170000018
Colombia,170,movimiento convergencia ciudadana,32,1998,2006,4.5,2006,3,170000032
Colombia,170,movimiento convergencia popular civica,33,1998,2002,2.3,2002,2,170000033
Colombia,170,Movimiento Independiente De Renovación Absoluta - Mira,49,2002,2010,3.4,2010,3,170000049
Colombia,170,movimiento nacional,50,2002,2006,2,2006,2,170000050
Colombia,170,movimiento nacional conservador,51,1998,1998,3.5,1998,1,170000051
Colombia,170,movimiento popular unido mpu,73,2002,2006,2.1,2002,2,170000073
Colombia,170,Partido Alas,116,2010,2010,2,2010,1,170000116
Colombia,170,partido cambio radical,91,2002,2010,10.7,2006,3,170000091
Colombia,170,partido colombia democratica,92,2006,2006,2.5,2006,1,170000092
Colombia,170,partido conservador colombiano,95,1998,2010,21.5,2010,4,170000095
Colombia,170,Partido De Integración Nacional,119,2010,2010,7.5,2010,1,170000119
Colombia,170,partido liberal colombiano,99,1998,2010,47.4,1998,4,170000099
Colombia,170,partido social de unidad nacional,102,2006,2010,26.1,2010,2,170000102
Colombia,170,partido verde oxigeno,105,2002,2010,3.1,2010,2,170000105
Colombia,170,polo democratico alternativo,107,2006,2010,8,2006,2,170000107
Comoros,174,convention pour le renouveau des comores,2,2015,2015,7.2,2015,1,174000002
Comoros,174,parti juwa,9,2015,2015,18,2015,1,174000009
Comoros,174,parti orange,10,2015,2015,6,2015,1,174000010
Comoros,174,rassemblement démocratique des comores,12,2015,2015,10.4,2015,1,174000012
Comoros,174,rassemblement pour une alternative de développement harmonieux et intégré,14,2015,2015,3.6,2015,1,174000014
Costa Rica,188,accesibilidad sin exclusion,1,2006,2014,9,2010,3,188000001
Costa Rica,188,acción ciudadana,2,2002,2014,25.3,2006,4,188000002
Costa Rica,188,acción democrática popular,56,1962,1962,2.5,1962,1,188000056
Costa Rica,188,acción socialista,57,1970,1974,5.5,1970,2,188000057
Costa Rica,188,demócrata,20,1953,1998,21.2,1953,6,188000020
Costa Rica,188,demócrata cristiano,62,1970,1974,2.5,1970,2,188000062
Costa Rica,188,frente amplio,21,2006,2014,13.8,2014,3,188000021
Costa Rica,188,frente nacional,63,1970,1970,3.1,1970,1,188000063
Costa Rica,188,fuerza democratica,23,1994,2006,5.8,1998,4,188000023
Costa Rica,188,independiente,25,1958,1998,9.8,1958,8,188000025
Costa Rica,188,integracion nacional,27,1998,2014,2.8,1998,5,188000027
Costa Rica,188,liberación nacional,29,1953,2014,64.7,1953,16,188000029
Costa Rica,188,movimiento libertario,32,1998,2014,14.5,2010,5,188000032
Costa Rica,188,movimiento nacional,33,1982,1982,3.6,1982,1,188000033
Costa Rica,188,nacional independiente,35,1974,1998,10,1974,5,188000035
Costa Rica,188,Patria Nueva,91,2014,2014,2.2,2014,1,188000091
Costa Rica,188,renovacion costarricense,42,1998,2014,3.9,2010,5,188000042
Costa Rica,188,renovación democrática,71,1974,1974,7.7,1974,1,188000071
Costa Rica,188,republicano,74,1958,1962,33.5,1962,2,188000074
Costa Rica,188,republicano nacional,43,1958,1986,4.9,1974,3,188000043
Costa Rica,188,republicano nacional independiente,76,1953,1953,7.2,1953,1,188000076
Costa Rica,188,restauracion nacional,45,2006,2014,4,2014,3,188000045
Costa Rica,188,unidad social cristiana,47,1986,2014,46.2,1990,8,188000047
Costa Rica,188,unificación nacional,81,1966,1978,43.2,1966,4,188000081
Costa Rica,188,unión cívico revolucionaria,82,1958,1966,5.5,1966,2,188000082
Costa Rica,188,union generaleña,50,1986,1994,2.4,1990,3,188000050
Costa Rica,188,unión nacional,51,1953,2006,21.4,1958,5,188000051
Costa Rica,188,union para el cambio,52,2006,2006,2.4,2006,1,188000052
Croatia,191,hrvatska demokratska zajednica,13,2007,2015,35.5,2007,3,191000013
Croatia,191,hrvatska narodna stranka-liberalni demokrati,17,2007,2007,6.6,2007,1,191000017
Croatia,191,hrvatska seljacka stranka,56,2011,2011,2,2011,1,191000056
Croatia,191,hrvatska socijalno-liberalna stranka,57,2011,2011,2.7,2011,1,191000057
Croatia,191,hrvatska stranka prava,20,2007,2011,3.4,2007,2,191000020
Croatia,191,hrvatska stranka umirovljenika,21,2007,2007,3.6,2007,1,191000021
Croatia,191,hrvatski demokratski savez slavonije i baranje,23,2007,2015,2.8,2011,3,191000023
Croatia,191,hrvatski laburisti-stranka rada,58,2011,2011,5,2011,1,191000058
Croatia,191,most nezavisnih lista,97,2015,2015,13.6,2015,1,191000097
Croatia,191,neovisna lista - dr.sc. ivan grubisic,66,2011,2011,2.7,2011,1,191000066
Croatia,191,socijaldemokratska partija hrvatske,47,2007,2007,30.4,2007,1,191000047
Croatia,191,zivi zid,121,2015,2015,3.9,2015,1,191000121
Curacao,531,Movement for the Future of Curaçao,1,2012,2012,21.2,2012,1,531000001
Curacao,531,National People’s Party,2,2012,2012,5.9,2012,1,531000002
Curacao,531,New Antilles Movement,3,2012,2012,9.5,2012,1,531000003
Curacao,531,PAIS,4,2012,2012,17.6,2012,1,531000004
Curacao,531,Party for the Restructured Antilles,6,2012,2012,19.8,2012,1,531000006
Curacao,531,Party Workers’ Liberation Front 30th of May,5,2012,2012,2.1,2012,1,531000005
Curacao,531,Sovereign People,7,2012,2012,22.7,2012,1,531000007
Cyprus,196,Citizen's Alliance,19,2016,2016,6.3,2016,1,196000019
Cyprus,196,Democratic Party,4,2001,2016,17.9,2006,4,196000004
Cyprus,196,Democratic Rally,5,2001,2016,35.9,2011,4,196000005
Cyprus,196,Ecological and Environmental Movement,6,2001,2016,6,2016,4,196000006
Cyprus,196,European Party,8,2006,2011,5.7,2006,2,196000008
Cyprus,196,Fighting Democratic Movement,9,2001,2001,2.2,2001,1,196000009
Cyprus,196,Movement for Social Democracy,11,2001,2016,8.9,2006,4,196000011
Cyprus,196,National People's Front,12,2011,2016,2.3,2016,2,196000012
Cyprus,196,New Horizons,13,2001,2001,3,2001,1,196000013
Cyprus,196,Progressive Party of Working People,15,2001,2016,34.7,2001,4,196000015
Cyprus,196,Solidarity Movement,22,2016,2016,5.9,2016,1,196000022
Cyprus,196,United Democrats,16,2001,2006,2.6,2001,2,196000016
Czech Republic,203,ANO_2011,80,2013,2013,18.7,2013,1,203000080
Czech Republic,203,ceskoslovenská sociální demokracie,58,1990,1990,4.1,1990,1,203000058
Czech Republic,203,ceskoslovenská sociální demokracie,11,1992,2013,32.3,1998,7,203000011
Czech Republic,203,cs.strana socialistická,14,1990,1990,2.7,1990,1,203000014
Czech Republic,203,demokratické unie,17,1996,1998,2.8,1996,2,203000017
Czech Republic,203,hnutí duchodcu za životní jistoty,20,1992,1998,3.8,1992,3,203000020
Czech Republic,203,hnutí za samosprávnou demokracii - spolecnost pro moravu a slezsko,23,1990,1992,10,1990,2,203000023
Czech Republic,203,klub angažovaných nestraníku,27,1992,2013,2.7,1992,2,203000027
Czech Republic,203,komunistická strana cech a moravy,29,1996,2013,18.5,2002,6,203000029
Czech Republic,203,komunistická strana ceskoslovenska,30,1990,1990,13.2,1990,1,203000030
Czech Republic,203,krestanská a demokratická unie - ceskoslovenská strana lidová,32,1992,2013,9,1998,6,203000032
Czech Republic,203,obcanská demokratická aliance,44,1992,2002,6.4,1996,3,203000044
Czech Republic,203,obcanská demokratická strana,45,1996,2013,35.4,2006,6,203000045
Czech Republic,203,obcanská hnutí,46,1992,1992,4.6,1992,1,203000046
Czech Republic,203,obcanské fórum,48,1990,1990,49.5,1990,1,203000048
Czech Republic,203,Pirati,92,2010,2013,2.7,2013,2,203000092
Czech Republic,203,sdružení pro republiku-republikánská strana ceskoslovenska,56,1992,1998,8,1996,3,203000056
Czech Republic,203,snk evropští demokraté,57,2006,2006,2.1,2006,1,203000057
Czech Republic,203,spojenectví zemedel.a venkova,59,1990,1990,4.1,1990,1,203000059
Czech Republic,203,SPOZ,94,2010,2013,4.3,2010,2,203000094
Czech Republic,203,sruzeni nezavislych,60,2002,2002,2.8,2002,1,203000060
Czech Republic,203,"strana ceskoslovenských podnikatelu, živnostníku a rolníku",63,1992,1992,3.1,1992,1,203000063
Czech Republic,203,strana zelených,71,1990,2013,6.3,2006,6,203000071
Czech Republic,203,Suveren,98,2010,2013,3.7,2010,2,203000098
Czech Republic,203,svobodné demokraté-liberální strana národne sociální,72,1996,1996,2,1996,1,203000072
Czech Republic,203,Svobodni,99,2010,2013,2.5,2013,2,203000099
Czech Republic,203,TOP_09,100,2010,2013,16.7,2010,2,203000100
Czech Republic,203,unie svobody,74,1998,1998,8.6,1998,1,203000074
Czech Republic,203,Usvit,101,2013,2013,6.9,2013,1,203000101
Czech Republic,203,VV,102,2010,2010,10.9,2010,1,203000102
Denmark,208,'no' votes against uncontested candidate,3998,1852,1915,8.5,1915,20,208003998
Denmark,208,alternativet,40,2015,2015,4.1,2015,1,208000040
Denmark,208,bondepartiet,2,1935,1939,3.2,1935,2,208000002
Denmark,208,centrum demokraterne,5,1981,2005,8.3,1981,8,208000005
Denmark,208,danks folkeparti,6,1998,2015,22.3,2015,6,208000006
Denmark,208,danmarks kommunistiske parti,7,1939,1979,12.5,1945,11,208000007
Denmark,208,danmarks nationalsocialistiske arbejderparti,8,1939,1943,2.2,1943,2,208000008
Denmark,208,de uafhængige,9,1953,1960,3.3,1960,3,208000009
Denmark,208,det radikale venstre,10,1903,2015,18.5,1913,42,208000010
Denmark,208,enhedslisten - de rød-grønne,11,1990,2015,8.1,2015,8,208000011
Denmark,208,erhverspartiet,12,1920,1920,2.9,1920,2,208000012
Denmark,208,forenede venstre,13,1881,1884,3.2,1884,2,208000013
Denmark,208,forhandlende venstre,14,1892,1909,21.2,1892,7,208000014
Denmark,208,fremskridtspartiet,15,1973,2001,15.9,1973,12,208000015
Denmark,208,højre,17,1849,1915,41.8,1866,32,208000017
Denmark,208,konservative folkeparti,18,1920,2015,23.4,1984,37,208000018
Denmark,208,kristeligt folkeparti,19,1975,2001,5.3,1975,7,208000019
Denmark,208,liberal alliance,32,2011,2015,6.6,2015,2,208000032
Denmark,208,ny alliance,34,2007,2007,2.8,2007,1,208000034
Denmark,208,retsforbundet,20,1939,1957,8.2,1950,6,208000020
Denmark,208,socialdemokratiet,22,1872,2015,46.1,1935,56,208000022
Denmark,208,socialistisk folkeparti,23,1960,2015,14.6,1987,21,208000023
Denmark,208,unknown,3999,1849,1913,45.7,1858,20,208003999
Denmark,208,"venstre, danmarks liberale parti",24,1849,2015,65.9,1873,69,208000024
Denmark,208,venstresocialisterne,25,1977,1987,3.7,1979,5,208000025
Djibouti,262,Democratic Renewal Party,1,1997,1997,19.2,1997,1,262000001
Djibouti,262,National Democratic Party,2,1997,1997,2.3,1997,1,262000002
Djibouti,262,Union for a Democratic Alternative,3,2003,2003,37.6,2003,1,262000003
Djibouti,262,Union for a Presidential Majority,4,2003,2003,62.4,2003,1,262000004
Dominica,212,dominica freedom party,1,1995,2005,35.8,1995,3,212000001
Dominica,212,dominica labour party,2,1995,2005,52,2005,3,212000002
Dominica,212,united workers' party,3,1995,2005,43.7,2005,3,212000003
Dominican Republic,214,bloque institucional socialdemocrata,6,1994,2006,2.5,2006,4,214000006
Dominican Republic,214,movimiento de conciliacion nacional,11,1970,1998,3.7,1970,5,214000011
Dominican Republic,214,movimiento de integracion democratica,12,1970,1982,20.4,1970,3,214000012
Dominican Republic,214,movimiento municipal del pueblo,19,1974,1982,4.4,1974,2,214000019
Dominican Republic,214,movimiento nacional de la juventud,21,1970,1970,4.3,1970,1,214000021
Dominican Republic,214,movimiento voluntad popular,27,1974,1974,5,1974,1,214000027
Dominican Republic,214,partido de la liberacion dominicana,33,1978,2010,54.6,2010,8,214000033
Dominican Republic,214,partido democrata popular,38,1974,2006,13.9,1974,5,214000038
Dominican Republic,214,partido liberal de la republica dominicana (la estructura),42,1986,2006,5.3,1986,2,214000042
Dominican Republic,214,partido nacionalista revolucionario democratico,46,1962,1966,3.5,1962,2,214000046
Dominican Republic,214,partido quiqueyano democrata,49,1970,2002,13.6,1970,7,214000049
Dominican Republic,214,partido reformista,51,1966,1982,56.5,1966,4,214000051
Dominican Republic,214,partido reformista - movimiento nacional de la juventud,52,1974,1974,76.7,1974,1,214000052
Dominican Republic,214,partido reformista social cristiano,53,1986,2010,40.5,1986,6,214000053
Dominican Republic,214,partido revolucionario dominicano,55,1962,2010,56.7,1962,10,214000055
Dominican Republic,214,partido revolucionario independiente,57,1994,2010,2.5,1994,5,214000057
Dominican Republic,214,partido revolucionario social cristiano,58,1962,1978,5.2,1962,4,214000058
Dominican Republic,214,unidad democrática,63,1986,1998,2.4,1994,3,214000063
Dominican Republic,214,union civica nacional,64,1962,1982,30.2,1962,4,214000064
Ecuador,218,Coalición Institucionalista Democrata,2,1979,1979,6.3,1979,1,218000002
Ecuador,218,Concentración de Fuerzas Populares,3,1979,2006,31,1979,4,218000003
Ecuador,218,Democracia Popular,4,1984,1998,19,1998,6,218000004
Ecuador,218,Frente Amplio de Izquierda,5,1988,1988,6.9,1988,1,218000005
Ecuador,218,Frente Radical Alfarista,7,1984,1998,8,1984,4,218000007
Ecuador,218,"Movimiento Alianza Pais, Patria Altiva I Soberana",14,2013,2013,51.4,2013,1,218000014
Ecuador,218,Movimiento Ciudadano Nuevo País,17,1998,2006,9.2,1998,2,218000017
Ecuador,218,"Movimiento CREO, Creando Oportunidades",20,2013,2013,10.9,2013,1,218000020
Ecuador,218,Movimiento Patria Altiva I Soberana,29,2009,2009,41.1,2009,1,218000029
Ecuador,218,Movimiento Red Ética y Democracia,30,2006,2006,3.6,2006,1,218000030
Ecuador,218,Movimiento Ruptura,33,2013,2013,2.4,2013,1,218000033
Ecuador,218,"Movimiento SUMA, Sociedad Unida MÃ¡s AcciÃ³n",34,2013,2013,3.2,2013,1,218000034
Ecuador,218,Movimiento Unidad Plurinacional Pachakutik - Nuevo Pais,39,1996,2009,10.8,1996,3,218000039
Ecuador,218,Partido Acción Popular Revolucionaria Ecuatoriana,44,1996,1996,3,1996,1,218000044
Ecuador,218,Partido Avanza,45,2013,2013,3.1,2013,1,218000045
Ecuador,218,Partido Conservador Ecuatoriano,46,1979,1998,7.8,1979,5,218000046
Ecuador,218,Partido Demócrata,47,1984,1984,9.1,1984,1,218000047
Ecuador,218,Partido Izquierda Democratica,48,1979,2009,21.8,1988,9,218000048
Ecuador,218,Partido Liberal Radical,49,1979,1979,8,1979,1,218000049
Ecuador,218,Partido Movimiento Popular Democrática,50,1979,2009,6.1,1984,8,218000050
Ecuador,218,Partido Nacionalista Revolucionario,51,1979,1979,7.5,1979,1,218000051
Ecuador,218,Partido Renovador Institucional Acción Nacional,52,2006,2013,16.3,2006,3,218000052
Ecuador,218,Partido Roldosista Ecuatoriano,53,1984,2013,20.4,1996,9,218000053
Ecuador,218,Partido Social Cristiano,54,1979,2013,30.4,1996,10,218000054
Ecuador,218,Partido Socialista - Frente Amplio,55,2006,2013,2.7,2006,3,218000055
Ecuador,218,Partido Socialista Ecuatoriana,56,1990,1992,8.9,1990,2,218000056
Ecuador,218,"Partido Sociedad PatriÃ³tica ""21 De Enero""",62,2009,2013,12.9,2009,2,218000062
Ecuador,218,Partido Sociedad Patriótica,57,2006,2006,8.1,2006,1,218000057
Ecuador,218,Partido Unidad Republicana,58,1992,1992,17.6,1992,1,218000058
Ecuador,218,Partido Union Democrata Cristiana,59,2006,2009,5.3,2006,2,218000059
El Salvador,222,Christian Democratic Party,1,1994,2015,17.9,1994,7,222000001
El Salvador,222,Christian Social Renewal Party,3,1997,1997,3.6,1997,1,222000003
El Salvador,222,Democratic Change,6,2006,2015,3.1,2006,4,222000006
El Salvador,222,Democratic Convergence,7,1994,1997,4.4,1994,2,222000007
El Salvador,222,Democratic Liberal Party,8,1997,2e3,3.2,1997,2,222000008
El Salvador,222,Farabundo Martí National Liberation Front,10,1994,2015,42.6,2009,8,222000010
El Salvador,222,Grand Alliance for National Unity,12,2012,2015,9.6,2012,2,222000012
El Salvador,222,National Action Party,14,2e3,2003,3.7,2000,2,222000014
El Salvador,222,National Coalition,15,2012,2015,6.8,2015,2,222000015
El Salvador,222,National Conciliation Party,16,1994,2009,13,2003,6,222000016
El Salvador,222,Nationalist Republican Alliance,18,1994,2015,45,1994,8,222000018
El Salvador,222,Political Party of Hope,20,2012,2012,2.2,2012,1,222000020
El Salvador,222,United Democratic Center,29,2e3,2003,6.3,2003,2,222000029
El Salvador,222,Unity Movement,30,1994,1997,2.5,1994,2,222000030
Equatorial Guinea,226,convención liberal democrática,1,1993,1993,2.5,1993,1,226000001
Equatorial Guinea,226,convergencia socialdemocráta popular,2,1993,1993,10.3,1993,1,226000002
Equatorial Guinea,226,partido democrático de guinea ecuatorial,3,1993,1993,69.8,1993,1,226000003
Equatorial Guinea,226,partido liberal,4,1993,1993,6.4,1993,1,226000004
Equatorial Guinea,226,unión demócrata social,8,1993,1993,7.4,1993,1,226000008
Estonia,233,eesti ettevõtjate erakond,3,1992,1992,2.4,1992,1,233000003
Estonia,233,eesti keskerakond,6,1995,2015,26.1,2007,6,233000006
Estonia,233,Eesti Konservatiivne Rahvaerakond,38,2015,2015,8.1,2015,1,233000038
Estonia,233,eesti koonderakond,7,1999,1999,7.6,1999,1,233000007
Estonia,233,eesti kristlik rahvapartei,8,1999,2003,2.4,1999,2,233000008
Estonia,233,eesti maarahva erakond,9,1999,1999,7.3,1999,1,233000009
Estonia,233,eesti pensionäride liit,10,1992,1992,3.7,1992,1,233000010
Estonia,233,eesti rahvusliku sõltumatuse partei,12,1992,1992,8.8,1992,1,233000012
Estonia,233,eesti reformierakond,13,1995,2015,28.6,2011,6,233000013
Estonia,233,Eesti Vabaerakond,39,2015,2015,9.1,2015,1,233000039
Estonia,233,eestimaa rahvaliit,18,2003,2011,13,2003,3,233000018
Estonia,233,eestimaa Ühendatud rahvapartei,19,1999,1999,6.1,1999,1,233000019
Estonia,233,eestimaa Ühendatud rahvapartei,36,1992,2003,2.2,2003,2,233000036
Estonia,233,Erakond Eestimaa Rohelised,21,2007,2015,7.1,2007,3,233000021
Estonia,233,erakond isamaaliit,23,1999,2003,16.1,1999,2,233000023
Estonia,233,Erakonda Isamaa Ja Res Publica Liit,22,2007,2015,20.5,2011,3,233000022
Estonia,233,mõõdukad,28,1999,1999,15.2,1999,1,233000028
Estonia,233,parempoolsed,30,1995,1995,5,1995,1,233000030
Estonia,233,põllumeeste kogu,31,1992,1999,2.9,1992,2,233000031
Estonia,233,rahvaerakond mõõdukad,32,2003,2003,7,2003,1,233000032
Estonia,233,Sotsiaaldemokraatilik Erakond,33,2007,2015,17.1,2011,3,233000033
Estonia,233,tuleviku eesti erakond,34,1995,1995,2.6,1995,1,233000034
Estonia,233,Ühendus vabariigi eest - res publica,35,2003,2003,24.6,2003,1,233000035
Estonia,233,vene erakond eestis,37,1999,2011,2,1999,4,233000037
Ethiopia,231,Afar National Democratic Party,1,2010,2010,3.4,2010,1,231000001
Ethiopia,231,Ethiopian Federal Democratic Unity Forum,13,2010,2010,4.8,2010,1,231000013
Ethiopia,231,Somali People's Democratic Party,34,2010,2010,9.1,2010,1,231000034
Faroe Islands,234,business party,5,1936,1936,8.1,1936,1,234000005
Faroe Islands,234,centre party,14,1994,2015,8.4,2008,7,234000014
Faroe Islands,234,faroese party,13,1994,1994,2.4,1994,1,234000013
Faroe Islands,234,funny party,16,2004,2004,2.4,2004,1,234000016
Faroe Islands,234,people's party,6,1940,2015,43.4,1945,22,234000006
Faroe Islands,234,progress party,9,1958,1998,8.2,1980,11,234000009
Faroe Islands,234,progress party,18,2011,2015,6.3,2011,2,234000018
Faroe Islands,234,progressionist's party,10,1988,1988,2.1,1988,1,234000010
Faroe Islands,234,republican party,8,1950,2015,23.9,1958,18,234000008
Faroe Islands,234,self-government party,2,1906,2015,51.7,1916,32,234000002
Faroe Islands,234,social democratic party,3,1928,2015,28.1,1946,25,234000003
Faroe Islands,234,socialist separatists party,11,1990,1990,2.3,1990,1,234000011
Faroe Islands,234,unionist party,1,1906,2015,72.3,1910,33,234000001
Faroe Islands,234,workers' movement,15,1994,1998,9.5,1994,2,234000015
Finland,246,demokraattinen vaihtoehto,1,1987,1987,4.3,1987,1,246000001
Finland,246,isänmaallinen kansanliike,2,1936,1939,8.3,1936,2,246000002
Finland,246,kansallinen edistyspuolue,3,1919,1948,13.8,1919,11,246000003
Finland,246,kansallinen kokoomuspuolue,4,1919,2015,23.2,1987,28,246000004
Finland,246,keskustapuolue,6,1966,1987,21.2,1966,6,246000006
Finland,246,liberaalinen kansanpuolue,7,1966,1999,6.5,1966,6,246000007
Finland,246,maalaisliitto,8,1907,1962,27.3,1930,23,246000008
Finland,246,nuorsuomalaienen puolue,9,1907,1916,14.9,1911,7,246000009
Finland,246,perussuomalaiset,38,1999,2015,19.1,2011,5,246000038
Finland,246,pientalonpojat,10,1962,1962,2.2,1962,1,246000010
Finland,246,ruotsalainen kansanpuolue-svenska folkspartiet,11,1907,2015,13.5,1910,37,246000011
Finland,246,sosialistinen työväen ja pienviljelijäin puolue,13,1929,1929,13.5,1929,1,246000013
Finland,246,suomalainen puolue,14,1907,1917,30.2,1917,8,246000014
Finland,246,suomen kansan demokraattinen liitto,15,1945,1987,23.2,1945,13,246000015
Finland,246,suomen kansanpuolue,17,1951,1962,7.9,1954,4,246000017
Finland,246,suomen keskusta,18,1991,2015,24.9,1991,7,246000018
Finland,246,suomen kristillinen liitto,19,1975,1999,4.8,1979,6,246000019
Finland,246,suomen kristillinen työväen puolue,20,1907,1917,2.7,1909,8,246000020
Finland,246,suomen kristillisdemokraatit,45,2003,2015,5.4,2003,4,246000045
Finland,246,suomen maaseudun puolue,21,1970,1991,10.5,1970,7,246000021
Finland,246,suomen pienviljelijäin puolue,23,1930,1945,3.4,1933,5,246000023
Finland,246,suomen sosialidemokraattinen puolue,24,1907,2015,47.3,1916,37,246000024
Finland,246,suomen sosialistinen työväenpuolue,25,1922,1922,14.8,1922,1,246000025
Finland,246,suomen työväenpuolue,26,1924,1927,12.1,1927,2,246000026
Finland,246,työväen ja pienviljelijäin sosialidemokraattinen liitto,27,1962,1966,4.4,1962,2,246000027
Finland,246,vasemmistoliitto,28,1991,2015,11.2,1995,7,246000028
Finland,246,vihreŠ liitto,29,1987,2015,9.3,2015,8,246000029
France,250,front national,7,1973,2012,15.6,1997,10,250000007
France,250,génération Écologie,8,1993,1993,3.7,1993,1,250000008
France,250,Left Front,32,2012,2012,6.9,2012,1,250000032
France,250,mouvement de citoyen,12,1997,1997,2.2,1997,1,250000012
France,250,New Center,30,2012,2012,2.2,2012,1,250000030
France,250,parti communiste français,17,1973,2007,21.3,1973,9,250000017
France,250,parti socialiste,19,1973,2012,29.4,2012,4,250000019
France,250,parti socialiste,26,1981,1993,36.2,1981,3,250000026
France,250,Radical Party of the Left,18,2002,2012,2.9,2012,3,250000018
France,250,rassemblement pour la république,23,1978,1997,22.3,1978,6,250000023
France,250,The Greens,9,1986,2012,5.5,2012,6,250000009
France,250,union pour un mouvement populaire,29,2002,2012,39.9,2007,3,250000029
Gambia,270,alliance for patriotic reorientation and construction,1,1997,2012,59.8,2007,3,270000001
Gambia,270,national reconciliation party,3,1997,2012,9.4,2012,3,270000003
Gambia,270,people's democratic organisation for independence and socialism,4,1997,1997,7.9,1997,1,270000004
Gambia,270,united democratic party,6,1997,2007,34.1,1997,2,270000006
Georgia,268,Georgian Dream,3,2012,2012,54.2,2012,1,268000003
Georgia,268,United National Movement,14,2012,2012,40.5,2012,1,268000014
Germany,276,antisemiten,1,1890,1903,3.7,1898,3,276000001
